SRS	ODS	RDS	OPT
0.4061988	0.3196457	0.3765413	0.3765413
0.374564	0.3454294	0.3146195	0.3146195
0.1936505	0.3962668	0.3929856	0.3929856
0.09467097	0.3304016	0.2825184	0.2825184
0.2408831	0.2604592	0.259531	0.259531
0.2632072	0.2473756	0.2579852	0.2579852
0.6132679	0.3538863	0.32236	0.32236
0.3351729	0.3460075	0.2918804	0.2918804
0.2030381	0.2371997	0.2308359	0.2308359
0.1529602	0.2295223	0.2712066	0.2712066
0.1545298	0.1975519	0.2528926	0.2528926
0.3410756	0.28758	0.2694803	0.2694803
0.3174236	0.3565086	0.3350758	0.3350758
0.3352751	0.428759	0.4039926	0.4039926
0.4176462	0.259327	0.2237776	0.2237776
0.3023602	0.3568627	0.2729102	0.2729102
0.1499445	0.2681721	0.2413734	0.2413734
0.4225644	0.3675383	0.3416988	0.3416988
0.4286332	0.3896166	0.4159548	0.4159548
0.2088012	0.236493	0.1822305	0.1822305
0.2200936	0.2005901	0.2611352	0.2611352
0.2889656	0.3094216	0.3026794	0.3026794
0.3190736	0.2613269	0.2849505	0.2849505
0.3352384	0.2425854	0.2393834	0.2393834
0.3006706	0.2904701	0.2974507	0.2974507
0.3599608	0.3995739	0.3264852	0.3264852
0.2907485	0.4545897	0.4548781	0.4548781
0.2504227	0.3442236	0.3300611	0.3300611
0.427878	0.3191045	0.3349344	0.3349344
0.5529759	0.3650943	0.3445321	0.3445321
0.2884805	0.3274756	0.2514148	0.2514148
0.3125315	0.2231562	0.2482194	0.2482194
0.1395569	0.3240657	0.3991722	0.3991722
0.3850116	0.2937337	0.2786889	0.2786889
0.3296912	0.212459	0.2503192	0.2503192
0.006828535	0.2567687	0.2793209	0.2793209
0.09883745	0.2797996	0.2681609	0.2681609
0.1740758	0.4147382	0.4129545	0.4129545
0.2287127	0.3438784	0.3688912	0.3688912
0.177793	0.221682	0.2381969	0.2381969
0.2706402	0.3104969	0.34693	0.34693
0.4584811	0.3037293	0.350033	0.350033
0.2594069	0.2595202	0.2591297	0.2591297
0.5529821	0.2612674	0.296315	0.296315
0.5634152	0.2698528	0.2034895	0.2034895
0.1793108	0.3545978	0.3833339	0.3833339
0.1300325	0.2196227	0.2648197	0.2648197
0.3438689	0.3161406	0.3273219	0.3273219
0.2159159	0.2762599	0.3600207	0.3600207
0.4442509	0.288073	0.2995352	0.2995352
0.2353065	0.2815536	0.2739426	0.2739426
0.2314769	0.1577415	0.2048443	0.2048443
0.5620333	0.2915393	0.337633	0.337633
0.4113414	0.3505485	0.3191222	0.3191222
0.3250696	0.3473222	0.374904	0.374904
0.3784467	0.2752369	0.2592644	0.2592644
0.15685	0.3210406	0.3272196	0.3272196
0.2880719	0.3423055	0.2787499	0.2787499
0.1555962	0.2322874	0.2239817	0.2239817
0.2848317	0.3220908	0.3448674	0.3448674
0.4487727	0.2474725	0.2206183	0.2206183
0.1216532	0.3486055	0.2871564	0.2871564
0.335627	0.2675117	0.2841593	0.2841593
0.3090846	0.2958764	0.3032578	0.3032578
0.448905	0.3185041	0.3613445	0.3613445
0.2433483	0.2235611	0.2358628	0.2358628
0.2679069	0.3079015	0.2744348	0.2744348
0.2268084	0.2200302	0.1954862	0.1954862
0.2097445	0.3058403	0.2226399	0.2226399
0.2570785	0.3463552	0.3042578	0.3042578
0.3287841	0.3602129	0.3644354	0.3644354
