SRS	ODS	RDS	OPT
-0.1376774	-0.006691683	-0.02985281	-0.05372041
-0.06845224	-0.04164008	-0.05719451	-0.09024029
0.1058229	-0.05930433	-0.1035395	-0.07114459
0.08702319	-0.04642637	-0.02078848	0.01259284
0.1197785	0.07658166	0.04767193	0.02232383
0.05604007	-0.04965178	-0.0146067	0.01734646
-0.292637	0.01480725	0.019871	-0.0006733927
0.1760242	0.09930781	0.121908	0.07641288
-0.01005084	0.1548421	0.1365152	0.1243568
0.1516109	-0.005159073	-0.004924934	0.04297409
-0.1462772	0.001594548	-0.0005987634	0.02917999
0.04511677	-0.009601963	0.05301327	0.07756942
-0.2388946	0.05503629	0.0332352	0.0542189
-0.03863392	-0.05313962	-0.06055402	-0.08611559
-0.1109342	-0.01166752	-0.05820959	-0.04799937
0.1191895	-0.05026078	-0.01815634	-0.04859156
-0.09703651	-0.05576691	-0.1081556	-0.0878942
0.1442232	0.04434706	0.05889663	0.05117743
-0.03831791	-0.05655459	-0.0558206	-0.005814728
0.005983976	0.02442874	-0.0026258	0.06826374
-0.05218501	-0.01295858	-0.01089137	-0.07806141
-0.09302038	0.04253228	-0.003366601	-0.00752442
0.1709728	0.0106582	-0.001520572	-0.03187967
0.07011972	0.08151768	0.03630787	0.05167838
0.06530562	-0.08282218	-0.102259	-0.1586584
-0.186919	0.002154526	-0.01310815	-0.08920077
-0.01064568	0.01398334	0.07083097	0.03755671
-0.01175436	-0.001954127	-0.0008885463	-0.007222534
0.05335141	0.1658371	0.1135695	0.09996729
0.07408027	0.01923369	0.01359433	-0.03586108
-0.09277978	0.1131694	0.06028656	0.08918125
-0.09143389	0.03464707	0.01284055	0.04207294
-0.02810123	-0.08694327	-0.04025718	-0.02607766
0.1170662	0.02362197	-0.01941223	-0.0009531145
-0.08110607	-0.09786543	-0.06425578	-0.04351267
-0.1371227	0.0754528	0.09755795	0.05611703
-0.1336155	0.08588665	0.06311338	0.07868002
0.02507492	-0.02981026	-0.01888642	-0.0642897
0.2577065	-0.07493868	-0.0148109	-0.01290779
-0.08317247	0.02749557	0.04482659	0.02059796
-0.09344212	-0.008375851	0.01076378	0.002480723
-0.08913496	-0.02583328	-0.02136253	-0.05191279
0.2486716	-0.008402367	-0.001957794	0.03612824
-0.1098527	-0.01578005	-0.09480838	-0.05094625
-0.3061643	0.007561823	0.01598869	-0.01405966
0.04648498	-0.0410812	-0.07966591	-0.09174835
-0.1120272	-0.02501553	0.008102775	0.007814652
-0.03348091	-0.0288818	0.03951721	-0.02743265
0.08430342	-0.07142969	-0.04918476	-0.04635494
-0.0751443	0.08313257	0.05753448	0.08561836
0.08029437	0.03683675	0.01659696	0.02418821
-0.03159833	-0.04403719	-0.09999863	-0.04496394
-0.387783	0.002538739	0.0007927561	0.008826193
0.06205135	-0.05239804	-0.03409139	-0.01029052
-0.05587987	-0.04242019	-0.03469244	-0.06407325
0.06139235	-0.06038912	-0.02952882	-0.08062884
0.08575355	0.05816534	0.06211424	0.0548337
0.02770114	0.2081026	0.1122448	0.1168032
0.07779141	-0.003995153	0.004673033	0.04244429
0.1270785	0.02371382	0.003104979	0.01697761
-0.08900856	0.03014819	0.009645606	-0.02213291
0.07841497	0.04847025	0.04649777	0.01024492
0.2076299	0.04635107	0.01929783	0.03910107
0.1557854	0.04864216	0.08681542	0.06880409
0.107981	0.0272416	-0.01354746	0.09347673
0.01998201	0.06644449	-0.0529707	-0.02108275
-0.1042086	-0.06412399	-0.05587037	-0.05643114
0.03671586	0.0252225	-0.01860655	0.05321056
0.03023529	0.05918807	0.1004024	0.07026175
