SRS	ODS	RDS	OPT
0.1240289	0.07959496	0.05471925	0.05223921
0.112912	0.09470886	0.05697008	0.0538858
0.1147631	0.09800388	0.05817807	0.05492262
0.116069	0.1050147	0.0570594	0.05386428
0.1179128	0.08890636	0.05661555	0.05366402
0.1238437	0.09396959	0.05800602	0.05435269
0.1263736	0.09690284	0.05734608	0.05396395
0.1179752	0.08817841	0.05505477	0.05230343
0.1243371	0.1024296	0.05717637	0.05395991
0.1206313	0.09120044	0.05676876	0.05393895
0.1170722	0.09052201	0.05731473	0.05421866
0.1193025	0.09083337	0.05521651	0.05252529
0.1158543	0.1147173	0.05965973	0.05587
0.1169905	0.09008671	0.05699597	0.05382701
0.119756	0.10236	0.05689415	0.05402741
0.1241518	0.08886723	0.05654587	0.0535669
0.122542	0.1068786	0.05747403	0.0545852
0.1278878	0.09984951	0.05889327	0.05545807
0.1225838	0.09137361	0.05655684	0.05371659
0.1258463	0.1042539	0.05818853	0.05496874
0.114501	0.0904678	0.05736763	0.05448671
0.1150161	0.08920226	0.05651915	0.05363531
0.1205643	0.09811744	0.05661363	0.05368216
0.1182685	0.1096898	0.05639737	0.05349066
0.1176258	0.08849749	0.05633205	0.05351857
0.1250896	0.08865955	0.05713123	0.0542863
0.1123504	0.09657535	0.05710795	0.05407738
0.1194487	0.09420756	0.0579046	0.05478593
0.1219416	0.09945785	0.05835964	0.05518851
0.1216618	0.09046201	0.05828662	0.05484137
0.1258471	0.09888956	0.0579623	0.05440677
0.1302087	0.09102223	0.05712803	0.05435639
0.1170246	0.107626	0.05835175	0.05509261
0.1211965	0.1168361	0.05846209	0.05497869
0.1185592	0.08974499	0.05629215	0.05353891
0.1157826	0.09222402	0.05839522	0.05531973
0.1186169	0.09787504	0.05651649	0.05369034
0.1222241	0.08945388	0.05684002	0.05408909
0.117856	0.1040633	0.05759894	0.05448196
0.1159256	0.08719257	0.05727402	0.05417008
0.1204208	0.09765244	0.05698957	0.05400216
0.1204599	0.09029794	0.05735257	0.05404655
0.1198684	0.09787238	0.0598817	0.05652618
0.1270469	0.09241875	0.05604752	0.05283962
0.1212546	0.09297207	0.0564563	0.05341121
0.1211284	0.09432809	0.05704052	0.0538992
0.1225962	0.08334134	0.05714624	0.05396876
0.121219	0.09146602	0.05536623	0.05274189
0.1136539	0.09203833	0.05801221	0.05482125
0.1306315	0.09191189	0.05638165	0.05347163
0.1173102	0.09524215	0.05641232	0.05352996
0.1156801	0.09493548	0.05593965	0.05309814
0.1239308	0.09311021	0.05781468	0.0547532
0.1221384	0.09604054	0.0570505	0.05398007
0.1193563	0.08874003	0.05573201	0.05291968
0.1188222	0.0897876	0.05676003	0.05406268
0.116911	0.08655587	0.05801264	0.05442688
0.1212234	0.0992084	0.0585468	0.05526391
0.110287	0.08961974	0.05649868	0.05355945
0.1231235	0.1021258	0.05775934	0.05483917
0.1207048	0.09469922	0.05779715	0.05444507
0.1111321	0.1079001	0.05803619	0.05505857
0.1274547	0.09015005	0.0552086	0.05231793
0.1233198	0.1043917	0.05788311	0.05491766
0.1178686	0.08727718	0.05664417	0.05353404
0.1282455	0.1043017	0.05822106	0.05517701
0.1168105	0.1046649	0.05720181	0.05401316
0.1210758	0.08865953	0.05814687	0.05472287
0.1229335	0.09855828	0.05708688	0.05411158
0.1215709	0.08683876	0.05563083	0.05281834
0.1194394	0.1008391	0.05681198	0.05378116
0.1225468	0.08976683	0.05668507	0.05368369
0.1203741	0.09123783	0.05776977	0.05457361
0.1295167	0.09982761	0.05861194	0.05545677
0.1183405	0.09288214	0.05802982	0.05482929
0.1186583	0.0894972	0.05661726	0.05390842
0.1096747	0.09698049	0.0573766	0.05415368
0.1190634	0.0910987	0.05656778	0.05338422
0.1269298	0.08907446	0.05736344	0.05444827
0.1211535	0.09482282	0.05763728	0.0546658
0.1275612	0.09309559	0.05665919	0.05369516
0.1245342	0.1100049	0.05774983	0.05463067
0.1195603	0.09591172	0.05665903	0.05396258
0.1202466	0.09198929	0.0562999	0.05326995
0.1231927	0.1094439	0.05786867	0.05457414
0.1288729	0.09113325	0.05745593	0.05399734
0.1235732	0.1010153	0.05803758	0.05495056
0.1192995	0.08012845	0.05607128	0.0531186
0.119576	0.1043192	0.05784523	0.05532828
0.1165132	0.1048437	0.05675422	0.05401665
0.1176417	0.09688415	0.05904648	0.05529277
0.114126	0.08585182	0.05598438	0.05292985
0.1177065	0.1001067	0.05913958	0.05553382
0.1206796	0.09700477	0.05881444	0.05536735
0.1298134	0.1122864	0.05852005	0.05528279
0.1214571	0.1040302	0.05778385	0.05451037
0.1235682	0.09179926	0.05827105	0.05498816
0.1255872	0.102177	0.05710503	0.05391841
0.1222851	0.1001341	0.05755679	0.05430846
0.1171413	0.08519608	0.05517798	0.05224021
0.1204513	0.1031423	0.05840965	0.05567678
0.1155289	0.0936729	0.05801926	0.05426413
0.1247645	0.08492818	0.0555592	0.05278704
0.1163108	0.09026178	0.05706628	0.05400517
0.1270137	0.09150925	0.05670574	0.05359746
0.1237883	0.09196129	0.05863747	0.05533937
0.1237888	0.1006661	0.05787635	0.05474177
0.116722	0.1037085	0.05727126	0.05419158
0.1269307	0.1015233	0.05783886	0.05458685
0.120258	0.09089092	0.05741923	0.05452366
0.1239712	0.1008971	0.05799592	0.05506186
0.1237714	0.1089963	0.05712138	0.05410844
0.109594	0.08378042	0.05678838	0.05378795
0.1266499	0.09512179	0.05662058	0.05334395
0.1190482	0.08612612	0.05653957	0.05387276
0.1170263	0.08581086	0.05620312	0.05345277
0.109695	0.09203361	0.05698865	0.05409955
0.1178842	0.09446289	0.05558482	0.05265533
0.1219852	0.09866885	0.05832741	0.05509521
0.1157545	0.09024	0.05646743	0.05381233
0.1134091	0.09563116	0.05638782	0.05309552
0.1240941	0.09393005	0.05868481	0.0554876
0.1206676	0.09097162	0.05685399	0.05409122
0.1172649	0.09487036	0.05670825	0.05391695
0.1143794	0.08279826	0.05786297	0.0546265
0.1284186	0.09583408	0.05660713	0.05409129
0.1257956	0.09526482	0.05682378	0.05404448
0.1281776	0.085838	0.05774542	0.05442243
0.1246372	0.09334813	0.05642161	0.05361741
0.11612	0.09449404	0.05830776	0.05493356
0.1274817	0.1130812	0.05870081	0.05548837
0.1159605	0.1001122	0.05869766	0.05545451
0.1205517	0.1106799	0.05858162	0.05522848
0.1123272	0.08889502	0.05672157	0.05359901
0.1271196	0.09253035	0.05828766	0.05518158
0.1299761	0.1028776	0.05802317	0.05463939
0.1243291	0.0857734	0.05761193	0.05423972
0.1108644	0.08623199	0.05626622	0.05326213
0.1193927	0.09066247	0.05679258	0.05372183
0.1194466	0.1120928	0.05764851	0.05448424
0.1216713	0.09764605	0.05754059	0.05443358
0.114483	0.09653515	0.05665933	0.0536023
0.1167211	0.09999745	0.05772128	0.054796
0.1164037	0.08971213	0.05604188	0.05319631
0.1311241	0.1010532	0.05924722	0.0556795
0.1232162	0.10093	0.05773519	0.05459432
0.11579	0.09216451	0.05583779	0.05329166
0.1197785	0.09595762	0.05813455	0.05465773
0.1222848	0.1001684	0.05761149	0.05411309
0.1192121	0.0898812	0.0565517	0.05358823
0.1235469	0.1076205	0.05804711	0.05484349
0.1230293	0.09903121	0.05926079	0.05557887
0.1277873	0.09793925	0.05883518	0.05517786
0.1185496	0.08673868	0.05707119	0.05378208
0.1239816	0.0981918	0.05723044	0.05387621
0.11455	0.1039958	0.05677134	0.05384069
0.1211792	0.09410033	0.05687988	0.05403527
0.1262136	0.07963054	0.05819677	0.05499755
0.1221643	0.09276589	0.05739587	0.05442864
0.1162595	0.09206418	0.05698231	0.0539011
0.1118888	0.08523229	0.05745213	0.05437344
0.1256904	0.1046954	0.05725923	0.05413454
0.1108947	0.08649554	0.0561061	0.05311785
0.1174014	0.09554091	0.05744614	0.05447465
0.1217973	0.08609931	0.05577829	0.05292281
0.1198849	0.09558925	0.05713057	0.05378515
0.1094796	0.1019496	0.05785599	0.05477698
0.1205619	0.1005037	0.0581357	0.05476825
0.1218042	0.08543068	0.05685809	0.05415901
0.1243557	0.103002	0.05763549	0.05475692
0.1207264	0.08545203	0.05718032	0.05426718
0.1220362	0.09999146	0.05696398	0.05394997
0.1174347	0.08746788	0.05572131	0.05291856
0.1234023	0.09884727	0.05770546	0.05487544
0.1172188	0.09776254	0.05800218	0.05458036
0.1309862	0.09533672	0.05712536	0.05410898
0.1210405	0.09942482	0.05696325	0.05413705
0.1200697	0.07813062	0.05688775	0.05371348
0.1120868	0.07845215	0.05508324	0.0525144
0.1189958	0.08606423	0.05760603	0.05449745
0.1245701	0.08322797	0.0562445	0.05321945
0.116584	0.09400939	0.05712176	0.05408032
0.1269109	0.09975864	0.0559975	0.05362131
0.1155355	0.08308699	0.05670995	0.05390889
0.1209011	0.09235041	0.05682448	0.0540681
0.1239511	0.09639075	0.05809282	0.05476612
0.1208292	0.09654168	0.05866812	0.05520201
0.1149107	0.08858484	0.05572158	0.05281599
0.118686	0.09977319	0.05834812	0.05480038
0.118952	0.08730502	0.05475825	0.05177256
0.1188375	0.09577762	0.05879152	0.05502678
0.1202911	0.07961305	0.0542781	0.05166125
0.1195784	0.09809022	0.05601174	0.05313316
0.1158039	0.1017213	0.05808015	0.05489716
0.1293412	0.08559573	0.05599156	0.05308468
0.1148712	0.09548062	0.05700785	0.05384875
0.1175337	0.09841409	0.05703721	0.05392849
0.1260054	0.09382605	0.05715765	0.0542378
0.1170838	0.08522918	0.05677738	0.05375394
0.1183549	0.09140262	0.0565492	0.05369893
0.1192672	0.1077784	0.05625203	0.05325437
0.1168522	0.1022821	0.05767685	0.05446789
0.1315251	0.09893581	0.05893505	0.05548554
0.1152839	0.0830659	0.05567253	0.05254146
0.1141475	0.09309236	0.058153	0.05505399
0.1104632	0.1114226	0.05724269	0.05409484
0.1183602	0.09607308	0.0565957	0.05362932
0.1237768	0.1053426	0.05897861	0.05574648
0.1202067	0.08912531	0.05652772	0.05357954
0.116235	0.09146215	0.05526583	0.05241347
0.1177843	0.08533315	0.05637035	0.05360493
0.1214684	0.1077207	0.05867823	0.05537788
0.1181025	0.09540723	0.05638086	0.0534108
0.1211793	0.09994149	0.05734041	0.05422578
0.1155238	0.09897304	0.05728902	0.05397765
0.1259184	0.09825559	0.05725756	0.05439342
0.1227928	0.1098943	0.05912626	0.05569797
0.1213505	0.106377	0.05836292	0.05527268
0.1158002	0.09019549	0.0577024	0.05453133
0.1248373	0.1028301	0.05600674	0.05310957
0.1190292	0.09881244	0.05601705	0.05297162
0.1060255	0.08346509	0.0553563	0.05254308
0.1233026	0.08778864	0.05716219	0.05411204
0.1193233	0.09479611	0.05766363	0.05434043
0.1206445	0.1018399	0.0579448	0.05476794
0.1198292	0.0946664	0.05662391	0.05337391
0.1123923	0.09204779	0.05801222	0.05460996
0.1179671	0.09626947	0.05759806	0.05438026
0.1176451	0.1036979	0.05848952	0.05506813
0.1240175	0.1097584	0.05648553	0.05361669
0.1225814	0.08402541	0.05632284	0.05384978
0.1155185	0.09895828	0.0560478	0.05341192
0.1169184	0.09264141	0.05625227	0.05343283
0.1253216	0.1079825	0.05745466	0.05428576
0.1185767	0.1061528	0.05740576	0.05426653
0.1290037	0.09441284	0.05790294	0.05472316
0.1316947	0.08989114	0.05655873	0.05394185
0.1175466	0.09691598	0.05659201	0.05379471
0.1175913	0.08788327	0.05795047	0.05462221
0.1226045	0.1037726	0.05616677	0.05356703
0.1166072	0.1005883	0.05705837	0.0541993
0.1219897	0.1026087	0.05789659	0.0550121
0.1196714	0.1039425	0.05688888	0.05371138
0.1180241	0.09714759	0.05823352	0.05526733
0.1304383	0.09791531	0.06014004	0.05651619
0.1184229	0.09769236	0.05496858	0.05238189
0.1206238	0.09983801	0.05691043	0.05399832
0.1220898	0.1025257	0.05797538	0.05479089
0.1156436	0.1006878	0.05584616	0.05331487
0.1209896	0.08467317	0.05589387	0.05300214
0.1274545	0.103592	0.05674152	0.0537598
0.1183902	0.09041863	0.05725455	0.05396143
0.1272434	0.1069988	0.05684452	0.05402067
0.1209429	0.09219743	0.05753614	0.05423989
0.1245024	0.08622826	0.05477932	0.0524179
0.1231765	0.09560274	0.05814415	0.05523045
0.110121	0.09227054	0.05591272	0.05310088
0.1149373	0.09767432	0.05737366	0.05430745
