SRS	ODS	RDS	OPT
0.1232668	0.06348523	0.05388293	0.05151317
0.1113995	0.06539456	0.05557567	0.05273493
0.1127897	0.06854208	0.05681702	0.05384669
0.1143713	0.06890769	0.05593887	0.05300985
0.1164922	0.06807387	0.05549295	0.05279464
0.1212569	0.06663362	0.05635222	0.05326943
0.1239064	0.06832498	0.05604049	0.05286522
0.1165425	0.06646583	0.05421684	0.05141951
0.1216474	0.06672326	0.05587337	0.05277734
0.1187322	0.06704825	0.05588834	0.05309635
0.1152722	0.06764438	0.05616485	0.05325609
0.1173867	0.06588905	0.05436443	0.05160989
0.1137356	0.0759336	0.05875665	0.05506986
0.1147356	0.0679191	0.05602222	0.05294395
0.117859	0.06780152	0.05554711	0.05268583
0.1219456	0.06667659	0.05567229	0.05269494
0.1200178	0.07368172	0.05632906	0.05349321
0.1270459	0.07375174	0.0578015	0.05464054
0.121132	0.06624345	0.05582438	0.05287971
0.1234938	0.06828151	0.05728389	0.05387583
0.1121736	0.06423664	0.05619336	0.05344922
0.113127	0.06699687	0.05531072	0.05256909
0.1182664	0.06779265	0.05550114	0.05258633
0.1165301	0.07296592	0.05555862	0.05262816
0.1157921	0.06583051	0.0550047	0.05248544
0.1228412	0.06860962	0.05624012	0.05344717
0.1111755	0.06859781	0.05653399	0.0533279
0.1176865	0.06921945	0.05676187	0.05377146
0.1202799	0.07352306	0.05773505	0.05449123
0.1215498	0.06808518	0.05739331	0.05400912
0.1237627	0.06915659	0.05666297	0.05348557
0.1274632	0.06739254	0.05612682	0.05319858
0.1154526	0.06776493	0.05703054	0.05392766
0.1181641	0.07606224	0.0574139	0.05372758
0.1166765	0.06467219	0.05507622	0.05239843
0.1133122	0.06747698	0.05714155	0.05425131
0.1152135	0.06502037	0.05501846	0.05240792
0.1197383	0.06503491	0.05606546	0.05318754
0.1164066	0.07265617	0.05621728	0.05343701
0.11298	0.06783019	0.05610867	0.05321858
0.117573	0.06468622	0.05580188	0.0530703
0.1190696	0.06722958	0.0563314	0.05332848
0.118316	0.06880324	0.05880693	0.05524695
0.1248736	0.06662946	0.05499088	0.05196347
0.1200273	0.06777697	0.05555366	0.05257166
0.1179351	0.06749429	0.05593457	0.05297172
0.1206056	0.0642105	0.05583497	0.05295494
0.1190098	0.06409903	0.05447094	0.05176285
0.111169	0.0689976	0.05677044	0.05369519
0.1289419	0.06708936	0.0552895	0.05259073
0.1158732	0.06710973	0.05539921	0.05276644
0.1139889	0.06468369	0.05489659	0.05208465
0.1213273	0.06809863	0.05681608	0.05357963
0.1205563	0.06936351	0.05617121	0.05320767
0.1182064	0.06449949	0.05496538	0.05223429
0.1165343	0.06623848	0.0556408	0.05289038
0.1143106	0.06710855	0.05648193	0.05333418
0.1201157	0.07295488	0.05769802	0.05444
0.1076965	0.06490132	0.05526644	0.05244821
0.1206172	0.068656	0.05638152	0.05373587
0.1189179	0.06825162	0.05675359	0.05335156
0.1095382	0.07087327	0.05720755	0.05417486
0.125948	0.06887192	0.05397702	0.05140297
0.1213224	0.06842478	0.05685415	0.05404014
0.1166047	0.06509025	0.05568053	0.0527583
0.1256569	0.06981944	0.0569484	0.05399266
0.1156093	0.06877137	0.05590372	0.05306379
0.119794	0.06828873	0.05691937	0.0535707
0.1206519	0.06786206	0.05601375	0.05301989
0.1198459	0.06819302	0.05474397	0.05190349
0.1177012	0.07001072	0.05592962	0.05292762
0.1203766	0.06417617	0.05566724	0.05270641
0.1176171	0.06226492	0.05657457	0.0536149
0.127472	0.07009313	0.05767868	0.05464818
0.1171189	0.06750758	0.05697268	0.05393363
0.1171614	0.06584879	0.05576752	0.05303039
0.1072275	0.06991886	0.05588619	0.05293582
0.1185239	0.06489041	0.05517312	0.05219572
0.1239808	0.06825581	0.05621251	0.05329625
0.1196424	0.07022633	0.05624369	0.05344659
0.1262085	0.06923609	0.05556282	0.05286906
0.1220187	0.07067231	0.05626695	0.05347524
0.1176849	0.06830494	0.05572599	0.05298705
0.1188678	0.06719355	0.05525415	0.0523226
0.1220152	0.07237555	0.05649649	0.05336058
0.1261444	0.06853421	0.05634395	0.05296166
0.1221635	0.07121742	0.05672076	0.05383057
0.1176111	0.06260337	0.05498521	0.05219824
0.1177322	0.06880767	0.05685329	0.05429263
0.1149453	0.07355355	0.05597479	0.05325195
0.1148988	0.07116988	0.05784372	0.05438314
0.1130384	0.0623842	0.05463368	0.0518584
0.1146924	0.07391003	0.05790349	0.05451551
0.1186671	0.06986486	0.05754155	0.05442701
0.1291482	0.07696559	0.05759448	0.05423565
0.1182434	0.07260831	0.05659795	0.05330874
0.1208674	0.06642672	0.05718313	0.05398271
0.1245605	0.07035148	0.05616965	0.05312782
0.120111	0.07322436	0.05656835	0.05343025
0.1142867	0.06342588	0.05401278	0.05132499
0.1180798	0.07173209	0.05789352	0.05480131
0.1150078	0.06942061	0.05694422	0.05350592
0.1235133	0.06412998	0.05463072	0.05186485
0.1156557	0.06903382	0.05607252	0.05329302
0.1240267	0.06664983	0.05534215	0.05259937
0.1231908	0.06698819	0.05775683	0.05462826
0.1212946	0.06969685	0.05686421	0.05374597
0.1142297	0.07082046	0.05619831	0.05320685
0.123473	0.07082598	0.05660921	0.05330113
0.1179295	0.06816279	0.05656554	0.05361333
0.1216144	0.06751849	0.05694085	0.0539986
0.1217925	0.07307287	0.05595461	0.05309854
0.1070642	0.06633612	0.05565284	0.05273425
0.1235441	0.06978076	0.05543041	0.05233258
0.1169361	0.06625717	0.05545642	0.05297205
0.1152208	0.0631624	0.05538695	0.05252312
0.1083462	0.06762286	0.05574186	0.05301743
0.1145851	0.06517883	0.05460879	0.05160057
0.1210597	0.07079402	0.0573968	0.05413254
0.1139628	0.06751826	0.05551944	0.05295617
0.1105942	0.06831793	0.05531667	0.0522238
0.1220228	0.06818303	0.0576985	0.05466504
0.1175894	0.0690317	0.0557009	0.05293204
0.1164722	0.06777464	0.05581278	0.05291366
0.1127482	0.06468464	0.05707384	0.05382505
0.1255034	0.06634777	0.05554265	0.05308726
0.1242054	0.06928735	0.0557596	0.05315946
0.1258386	0.06493902	0.05636634	0.05347891
0.1226296	0.06718028	0.0551833	0.05252563
0.1147521	0.06932234	0.05736718	0.05408722
0.1251677	0.07430313	0.05813849	0.05472498
0.1142321	0.06889764	0.0572008	0.05448224
0.1180739	0.0704263	0.0573782	0.05417883
0.1110702	0.06641065	0.05521372	0.05251701
0.124664	0.06818204	0.05683173	0.05412833
