SRS	ODS	RDS	OPT
0.1222227	0.06217687	0.05704937	0.05409478
0.1210908	0.06325833	0.05811963	0.05500542
0.1164889	0.06474207	0.057937	0.0549341
0.1132945	0.06552941	0.05723564	0.05418912
0.1249388	0.06365879	0.05787869	0.0546861
0.124021	0.06654447	0.05849105	0.0552337
0.1239956	0.06420721	0.05888611	0.05523339
0.1183612	0.06312316	0.05721898	0.05377056
0.120571	0.06219743	0.05538296	0.05294545
0.1291231	0.06375997	0.05874351	0.05554277
0.1161388	0.0643759	0.05834885	0.05515513
0.1250035	0.06462046	0.05770394	0.05456011
0.1207626	0.06532564	0.05895077	0.05554543
0.1170615	0.06734925	0.05736013	0.05443842
0.128293	0.06229595	0.05717396	0.05430332
0.1193121	0.06264433	0.05699816	0.05394037
0.1247774	0.06418794	0.05866498	0.05552654
0.1291736	0.0652916	0.0589501	0.05572977
0.1300152	0.06639382	0.05890707	0.05550421
0.1254509	0.06051529	0.05668595	0.05397084
0.1212761	0.06193881	0.05681146	0.05421975
0.1197213	0.06716564	0.0587305	0.05533236
0.1256525	0.06337003	0.05730212	0.05433511
0.122354	0.06254026	0.05634008	0.05353682
0.1126643	0.0643782	0.0576399	0.05469957
0.1240357	0.06451312	0.05815041	0.05514629
0.1237223	0.06441447	0.05878698	0.05526882
0.1236178	0.06157169	0.05659525	0.05380963
0.1237064	0.06254472	0.05619985	0.05320677
0.1167306	0.0665752	0.05871824	0.05553258
0.1254323	0.06761727	0.05816401	0.0552801
0.1280459	0.06693489	0.05920082	0.05568283
0.1191098	0.0641573	0.05826581	0.05492184
0.1233531	0.06581864	0.05714824	0.05405949
0.117158	0.06646651	0.05849654	0.05524634
0.124838	0.06313655	0.05756951	0.05478057
0.1200683	0.06348794	0.05761004	0.05443082
0.1210603	0.06441683	0.05887755	0.05544155
0.1205346	0.06464758	0.05754196	0.05441065
0.1212952	0.06318044	0.05815005	0.05497812
0.1221369	0.06235848	0.05656373	0.05372129
0.1167248	0.06291725	0.0573521	0.05434197
0.1185355	0.06348685	0.05837429	0.05533891
0.1243226	0.06601925	0.05808047	0.05459849
0.1212939	0.06217764	0.05706942	0.05436246
0.1236539	0.06417713	0.05812925	0.05484263
0.1225404	0.06450826	0.05857015	0.05536846
0.1213934	0.06433637	0.05789444	0.05476512
0.1244365	0.06580401	0.05944505	0.05630267
0.1232034	0.06714858	0.05755979	0.05425309
0.1128611	0.06052145	0.05699023	0.0541024
0.1198492	0.0640118	0.05732762	0.05419749
0.1294075	0.06371819	0.05746837	0.054481
0.1236328	0.06610692	0.05804874	0.05507028
0.1213187	0.06169245	0.05658849	0.05366134
0.1252063	0.06106766	0.05727352	0.05467727
0.1271895	0.06424327	0.05754907	0.05442339
0.1220852	0.06432152	0.05691268	0.05401518
0.113071	0.06449232	0.05907429	0.05578171
0.1261577	0.06253814	0.05747653	0.05435633
0.1210035	0.06262288	0.05752369	0.05442023
0.1147322	0.06773142	0.06001298	0.05676301
0.120568	0.06233621	0.05659852	0.05346487
0.1167645	0.06498894	0.05975912	0.05594063
0.1225806	0.06424203	0.05874346	0.05560941
0.1291047	0.06519624	0.059348	0.05626933
0.1192788	0.06541079	0.05843072	0.05530919
0.115579	0.06157322	0.05692247	0.05384219
