SRS	ODS	RDS	OPT
0.1222227	0.05710129	0.05704937	0.05409478
0.1210908	0.05807748	0.05811963	0.05500542
0.1164889	0.05787718	0.057937	0.0549341
0.1132945	0.05720408	0.05723564	0.05418912
0.1249388	0.05785598	0.05787869	0.0546861
0.124021	0.05844271	0.05849105	0.0552337
0.1239956	0.05868205	0.05888611	0.05523339
0.1183612	0.05719735	0.05721898	0.05377056
0.120571	0.05541054	0.05538296	0.05294545
0.1291231	0.05876271	0.05874351	0.05554277
0.1161388	0.05849863	0.05834885	0.05515513
0.1250035	0.05774414	0.05770394	0.05456011
0.1207626	0.05896484	0.05895077	0.05554543
0.1170615	0.05747356	0.05736013	0.05443842
0.128293	0.05717884	0.05717396	0.05430332
0.1193121	0.05693556	0.05699816	0.05394037
0.1247774	0.05870503	0.05866498	0.05552654
0.1291736	0.0589501	0.0589501	0.05572977
0.1300152	0.0589069	0.05890707	0.05550421
0.1254509	0.05677318	0.05668595	0.05397084
0.1212761	0.05675865	0.05681146	0.05421975
0.1197213	0.05869278	0.0587305	0.05533236
0.1256525	0.05730212	0.05730212	0.05433511
0.122354	0.05632766	0.05634008	0.05353682
0.1126643	0.05758189	0.0576399	0.05469957
0.1240357	0.05810218	0.05815041	0.05514629
0.1237223	0.05868166	0.05878698	0.05526882
0.1236178	0.05655392	0.05659525	0.05380963
0.1237064	0.05623448	0.05619985	0.05320677
0.1167306	0.05875625	0.05871824	0.05553258
0.1254323	0.05823634	0.05816401	0.0552801
0.1280459	0.05920082	0.05920082	0.05568283
0.1191098	0.05824823	0.05826581	0.05492184
0.1233531	0.05713063	0.05714824	0.05405949
0.117158	0.05849654	0.05849654	0.05524634
0.124838	0.05756951	0.05756951	0.05478057
0.1200683	0.05756258	0.05761004	0.05443082
0.1210603	0.05884348	0.05887755	0.05544155
0.1205346	0.05754196	0.05754196	0.05441065
0.1212952	0.05808554	0.05815005	0.05497812
0.1221369	0.05648237	0.05656373	0.05372129
0.1167248	0.05735707	0.0573521	0.05434197
0.1185355	0.05850415	0.05837429	0.05533891
0.1243226	0.05806291	0.05808047	0.05459849
0.1212939	0.05702691	0.05706942	0.05436246
0.1236539	0.05804282	0.05812925	0.05484263
0.1225404	0.05857015	0.05857015	0.05536846
0.1213934	0.05784907	0.05789444	0.05476512
0.1244365	0.0595271	0.05944505	0.05630267
0.1232034	0.05757074	0.05755979	0.05425309
0.1128611	0.05706537	0.05699023	0.0541024
0.1198492	0.05732762	0.05732762	0.05419749
0.1294075	0.05747748	0.05746837	0.054481
0.1236328	0.0582045	0.05804874	0.05507028
0.1213187	0.05649453	0.05658849	0.05366134
0.1252063	0.05735157	0.05727352	0.05467727
0.1271895	0.05754907	0.05754907	0.05442339
0.1220852	0.05698579	0.05691268	0.05401518
0.113071	0.05907429	0.05907429	0.05578171
0.1261577	0.05748785	0.05747653	0.05435633
0.1210035	0.05764428	0.05752369	0.05442023
0.1147322	0.0601057	0.06001298	0.05676301
0.120568	0.05645043	0.05659852	0.05346487
0.1167645	0.05977704	0.05975912	0.05594063
0.1225806	0.05888186	0.05874346	0.05560941
0.1291047	0.059348	0.059348	0.05626933
0.1192788	0.05846652	0.05843072	0.05530919
0.115579	0.05709261	0.05692247	0.05384219
0.1231574	0.05816718	0.05824351	0.05478365
0.1189364	0.05634643	0.05634643	0.05341463
0.1169092	0.05566332	0.0556137	0.05278792
0.120686	0.05910604	0.0590123	0.05575814
0.1202377	0.05729834	0.05702074	0.05392113
0.1233019	0.05636073	0.05644614	0.05372009
