				Empirical standard error of $\widehat{\beta}$					Efficiency relative to SRS		
$p_0$	$p_1$	$\beta$	$\gamma$	SRS	ODS	RDS	OPT		ODS	RDS	OPT
0.7	0.7	0	0	0.1093418	0.05314094	0.05311121	0.05311121		4.233637	4.238378	4.238378
0.7	0.7	0	0.5	0.1093418	0.05821971	0.05311121	0.05311121		3.527215	4.238378	4.238378
0.7	0.7	0	1	0.1093418	0.08080512	0.05311121	0.05311121		1.831025	4.238378	4.238378
0.7	0.7	0.3	0	0.107623	0.05407559	0.05417076	0.05417076		3.961027	3.947121	3.947121
0.7	0.7	0.3	0.5	0.107623	0.06004604	0.05417076	0.05417076		3.212489	3.947121	3.947121
0.7	0.7	0.3	1	0.107623	0.08226064	0.05417076	0.05417076		1.711694	3.947121	3.947121
0.7	0.7	0.5	0	0.1037036	0.05702743	0.05700352	0.05700352		3.306895	3.309669	3.309669
0.7	0.7	0.5	0.5	0.1037036	0.06227398	0.05700352	0.05700352		2.773159	3.309669	3.309669
0.7	0.7	0.5	1	0.1037036	0.08334943	0.05700352	0.05700352		1.548042	3.309669	3.309669
0.5	0.9	0	0	0.122181	0.05855421	0.05843484	0.05458968		4.354024	4.371831	5.009402
0.5	0.9	0	0.5	0.122181	0.06526437	0.05843484	0.05458968		3.504731	4.371831	5.009402
0.5	0.9	0	1	0.122181	0.09049954	0.05843484	0.05458968		1.822696	4.371831	5.009402
0.5	0.9	0.3	0	0.1172518	0.05947043	0.05958469	0.05521348		3.887203	3.872309	4.509715
0.5	0.9	0.3	0.5	0.1172518	0.06752105	0.05958469	0.05521348		3.015511	3.872309	4.509715
0.5	0.9	0.3	1	0.1172518	0.09473105	0.05958469	0.05521348		1.531985	3.872309	4.509715
0.5	0.9	0.5	0	0.1096905	0.06138667	0.06108005	0.05613765		3.192935	3.225072	3.817946
0.5	0.9	0.5	0.5	0.1096905	0.07006436	0.06108005	0.05613765		2.451003	3.225072	3.817946
0.5	0.9	0.5	1	0.1096905	0.09662033	0.06108005	0.05613765		1.288847	3.225072	3.817946
0.1	0.5	0	0	0.1232092	0.05900214	0.05900155	0.05511717		4.360646	4.360732	4.997036
0.1	0.5	0	0.5	0.1232092	0.06563885	0.05900155	0.05511717		3.52342	4.360732	4.997036
0.1	0.5	0	1	0.1232092	0.09127998	0.05900155	0.05511717		1.821945	4.360732	4.997036
0.1	0.5	0.3	0	0.1178828	0.05986446	0.05991481	0.05620991		3.8776	3.871085	4.398203
0.1	0.5	0.3	0.5	0.1178828	0.06766756	0.05991481	0.05620991		3.03487	3.871085	4.398203
0.1	0.5	0.3	1	0.1178828	0.09565527	0.05991481	0.05620991		1.51874	3.871085	4.398203
0.1	0.5	0.5	0	0.1101475	0.06173496	0.06169627	0.05713014		3.183366	3.18736	3.717221
0.1	0.5	0.5	0.5	0.1101475	0.07061811	0.06169627	0.05713014		2.432858	3.18736	3.717221
0.1	0.5	0.5	1	0.1101475	0.09745087	0.06169627	0.05713014		1.277549	3.18736	3.717221
