				Analytical standard error of $\widehat{\beta}$					Efficiency relative to SRS		
$p_0$	$p_1$	$\beta$	$\gamma$	SRS	ODS	RDS	OPT		ODS	RDS	OPT
0.7	0.7	0	0	0.1093029	0.05204203	0.05202016	0.05202016		4.411182	4.414891	4.414891
0.7	0.7	0	0.5	0.1093029	0.05794467	0.05202016	0.05202016		3.55825	4.414891	4.414891
0.7	0.7	0	1	0.1093029	0.07951811	0.05202016	0.05202016		1.889432	4.414891	4.414891
0.7	0.7	0.3	0	0.1082806	0.05155698	0.05153556	0.05153556		4.410894	4.414561	4.414561
0.7	0.7	0.3	0.5	0.1082806	0.05729362	0.05153556	0.05153556		3.571815	4.414561	4.414561
0.7	0.7	0.3	1	0.1082806	0.07819625	0.05153556	0.05153556		1.917474	4.414561	4.414561
0.7	0.7	0.5	0	0.1065359	0.05073958	0.05071808	0.05071808		4.408577	4.412315	4.412315
0.7	0.7	0.5	0.5	0.1065359	0.05619787	0.05071808	0.05071808		3.593788	4.412315	4.412315
0.7	0.7	0.5	1	0.1065359	0.07601426	0.05071808	0.05071808		1.964274	4.412315	4.412315
0.5	0.9	0	0	0.1215672	0.05786068	0.05783739	0.05471957		4.41434	4.417895	4.935686
0.5	0.9	0	0.5	0.1215672	0.06443624	0.05783739	0.05471957		3.559365	4.417895	4.935686
0.5	0.9	0	1	0.1215672	0.08857067	0.05783739	0.05471957		1.883879	4.417895	4.935686
0.5	0.9	0.3	0	0.1204563	0.05757973	0.05720644	0.05415049		4.37643	4.433732	4.948281
0.5	0.9	0.3	0.5	0.1204563	0.06725405	0.05720644	0.05415049		3.207911	4.433732	4.948281
0.5	0.9	0.3	1	0.1204563	0.09603349	0.05720644	0.05415049		1.573308	4.433732	4.948281
0.5	0.9	0.5	0	0.1185452	0.05706794	0.0561454	0.05318991		4.315029	4.457998	4.967179
0.5	0.9	0.5	0.5	0.1185452	0.06835796	0.0561454	0.05318991		3.007392	4.457998	4.967179
0.5	0.9	0.5	1	0.1185452	0.09906289	0.0561454	0.05318991		1.432011	4.457998	4.967179
0.1	0.5	0	0	0.1215519	0.05785046	0.05782513	0.05471063		4.414785	4.418653	4.936052
0.1	0.5	0	0.5	0.1215519	0.06442486	0.05782513	0.05471063		3.559724	4.418653	4.936052
0.1	0.5	0	1	0.1215519	0.08846371	0.05782513	0.05471063		1.887961	4.418653	4.936052
0.1	0.5	0.3	0	0.1204315	0.05757295	0.05720061	0.05414515		4.375657	4.432808	4.947219
0.1	0.5	0.3	0.5	0.1204315	0.06724738	0.05720061	0.05414515		3.207225	4.432808	4.947219
0.1	0.5	0.3	1	0.1204315	0.09599727	0.05720061	0.05414515		1.573847	4.432808	4.947219
0.1	0.5	0.5	0	0.1185168	0.05706583	0.05614345	0.05318723		4.313278	4.456169	4.965295
0.1	0.5	0.5	0.5	0.1185168	0.06835995	0.05614345	0.05318723		3.005774	4.456169	4.965295
0.1	0.5	0.5	1	0.1185168	0.09904357	0.05614345	0.05318723		1.431882	4.456169	4.965295
