$p_0$	$p_1$	$\beta$	$\gamma$	SRS	ODS	RDS	OPT
0.7	0.7	0	0	0.0003898278	0.0005177319	0.0004351149	0.0004351149
0.7	0.7	0	0.5	0.0003898278	0.000140938	0.0004351149	0.0004351149
0.7	0.7	0	1	0.0003898278	-0.0002985952	0.0004351149	0.0004351149
0.7	0.7	0.3	0	0.001381492	0.002795914	0.002783775	0.002783775
0.7	0.7	0.3	0.5	0.001381492	0.003503731	0.002783775	0.002783775
0.7	0.7	0.3	1	0.001381492	0.003485	0.002783775	0.002783775
0.7	0.7	0.5	0	0.001658836	0.004388773	0.004294823	0.004294823
0.7	0.7	0.5	0.5	0.001658836	0.005142661	0.004294823	0.004294823
0.7	0.7	0.5	1	0.001658836	0.00658742	0.004294823	0.004294823
0.5	0.9	0	0	-0.0003932536	0.0001789914	0.0002063012	-0.0002823984
0.5	0.9	0	0.5	-0.0003932536	0.0001223257	0.0002063012	-0.0002823984
0.5	0.9	0	1	-0.0003932536	-0.0006754465	0.0002063012	-0.0002823984
0.5	0.9	0.3	0	-0.0007951322	0.002379986	0.00231736	0.001432015
0.5	0.9	0.3	0.5	-0.0007951322	0.003598444	0.00231736	0.001432015
0.5	0.9	0.3	1	-0.0007951322	0.00331006	0.00231736	0.001432015
0.5	0.9	0.5	0	-0.0006844196	0.003928084	0.003847872	0.002121844
0.5	0.9	0.5	0.5	-0.0006844196	0.005950242	0.003847872	0.002121844
0.5	0.9	0.5	1	-0.0006844196	0.00640135	0.003847872	0.002121844
0.1	0.5	0	0	0.0007704976	-0.0003429616	-0.0003277143	-0.0007813553
0.1	0.5	0	0.5	0.0007704976	-0.000783809	-0.0003277143	-0.0007813553
0.1	0.5	0	1	0.0007704976	-0.001865156	-0.0003277143	-0.0007813553
0.1	0.5	0.3	0	0.0004813258	0.00171608	0.001807225	0.0004722018
0.1	0.5	0.3	0.5	0.0004813258	0.002440146	0.001807225	0.0004722018
0.1	0.5	0.3	1	0.0004813258	0.003187716	0.001807225	0.0004722018
0.1	0.5	0.5	0	0.0006417612	0.003616109	0.003355099	0.001413297
0.1	0.5	0.5	0.5	0.0006417612	0.00441104	0.003355099	0.001413297
0.1	0.5	0.5	1	0.0006417612	0.006295872	0.003355099	0.001413297
