prob_Z	case	beta	gamma	SCC	ODS	YDS	OPT_FIX_VAR	OPT
0.5	1	0	0	1.019902	0.9868863	1.350373	1.36188	1.36188
0.5	1	0	0.5	1.019543	1.00589	1.437494	1.501448	1.501448
0.5	1	0	1	1.071229	1.008797	1.57654	1.939032	1.939032
0.5	1	0.3	0	0.9972931	1.004779	1.384215	1.405927	1.405927
0.5	1	0.3	0.5	1.018712	0.9956979	1.495246	1.558027	1.558027
0.5	1	0.3	1	1.022515	0.9799706	1.621504	2.001691	2.001691
0.5	1	0.5	0	1.006319	0.9794228	1.42769	1.432105	1.432105
0.5	1	0.5	0.5	0.9901621	0.9346083	1.522787	1.601741	1.601741
0.5	1	0.5	1	1.039525	0.933312	1.654015	2.047292	2.047292
0.5	2	0	0	0.9873209	0.9745042	1.344356	1.340587	1.616785
0.5	2	0	0.5	1.05294	0.9722956	1.392258	1.15454	1.685071
0.5	2	0	1	1.134609	0.9902229	1.501375	1.381346	1.820343
0.5	2	0.3	0	1.023195	0.9784755	1.366605	1.301928	1.736083
0.5	2	0.3	0.5	1.102476	1.00257	1.47838	1.104846	1.86664
0.5	2	0.3	1	1.130547	0.9484848	1.503312	1.34656	1.842298
0.5	2	0.5	0	1.067451	0.9788796	1.445344	1.288231	1.896674
0.5	2	0.5	0.5	1.132975	0.9790953	1.509839	1.088367	1.993244
0.5	2	0.5	1	1.170853	0.9377486	1.506174	1.316264	1.893208
0.5	3	0	0	0.993311	0.9519215	1.303641	1.302945	1.564798
0.5	3	0	0.5	0.9796688	0.9366333	1.455536	1.762555	1.862191
0.5	3	0	1	0.960938	0.9289343	1.634706	2.334757	2.33473
0.5	3	0.3	0	1.016283	0.9586248	1.381367	1.431422	1.619285
0.5	3	0.3	0.5	0.9824983	0.8960147	1.489856	1.871737	1.904196
0.5	3	0.3	1	1.005091	0.9428528	1.779654	2.500622	2.500622
0.5	3	0.5	0	0.9648539	0.9271218	1.399195	1.465446	1.607751
0.5	3	0.5	0.5	1.002194	0.9142707	1.583884	1.983866	1.996995
0.5	3	0.5	1	1.001253	0.9199657	1.729809	2.426171	2.426171
