prob_Z	case	beta	gamma	GCC	SCC	ODS	YDS	OPT_FIX_VAR	OPT
0.5	1	0	0	-0.002567573	-0.00166462	0.000983068	0.001275709	0.0009641389	0.0009641389
0.5	1	0	0.5	-0.002003261	-0.002649552	0.0002563646	0.00123032	0.0007463613	0.0007463613
0.5	1	0	1	-0.0004728816	-0.003219779	0.00102781	-0.0004379094	0.0008457952	0.0008457952
0.5	1	0.3	0	0.002276218	0.00291553	0.001868362	0.003718159	0.004328201	0.004328201
0.5	1	0.3	0.5	-0.0004766932	0.002787008	0.001244444	0.00231738	0.002530797	0.002530797
0.5	1	0.3	1	0.002187326	-0.0005165371	0.001879466	0.0007446344	0.002971014	0.002971014
0.5	1	0.5	0	0.002211201	0.007002979	-0.0006410627	0.005483506	0.004960275	0.004960275
0.5	1	0.5	0.5	-0.0001771687	0.006086782	-0.001871633	0.00396444	0.00374397	0.00374397
0.5	1	0.5	1	0.001906047	0.002623579	-0.001490811	0.002665629	0.004638719	0.004638719
0.5	2	0	0	-0.004546889	0.003020878	-0.0007720129	0.001311441	0.0004018208	0.0006587319
0.5	2	0	0.5	0.002719132	0.002849739	-0.003083176	0.0005093969	0.003336992	0.001367816
0.5	2	0	1	-0.000556977	0.003479527	7.274237e-05	0.000572417	0.005338834	0.002170765
0.5	2	0.3	0	0.002053655	0.0050533	0.003200354	0.003215864	0.003505247	0.002063771
0.5	2	0.3	0.5	0.005733625	0.006129105	8.083318e-05	0.003699616	0.007682469	0.002448263
0.5	2	0.3	1	0.002878868	0.00473128	0.001436012	0.00246821	0.01063973	0.004192394
0.5	2	0.5	0	0.006657361	0.00272809	0.003861988	0.004434128	0.004869609	0.002863648
0.5	2	0.5	0.5	0.007980852	0.003358128	0.0009811595	0.005370965	0.0118348	0.003081246
0.5	2	0.5	1	0.006417924	0.004206713	0.002539241	0.005342029	0.01381112	0.005210496
0.5	3	0	0	0.002867541	1.023987e-05	-5.737488e-05	-0.003236163	-0.002488743	-0.0007920285
0.5	3	0	0.5	0.001740784	0.003028903	0.001986013	-0.003515827	-0.00121861	-0.001583817
0.5	3	0	1	0.001309194	0.004765381	0.002296797	-0.001821569	-0.0004548848	-0.0004521098
0.5	3	0.3	0	0.0036657	0.003868315	0.002327861	-0.001528485	-0.001218672	0.0003936238
0.5	3	0.3	0.5	0.0031861	0.003624395	0.002867418	-0.001938719	-0.0004481423	0.0003840087
0.5	3	0.3	1	0.0004766963	0.002921546	0.002653774	-0.0002205809	0.0006215013	0.0006215013
0.5	3	0.5	0	0.003669753	0.005827839	0.004055823	-2.408172e-05	0.0005830098	0.001433725
0.5	3	0.5	0.5	0.001847859	0.002916505	0.003027813	-0.0006735186	0.0001428595	0.0003637633
0.5	3	0.5	1	0.003056925	0.002148308	0.002423273	0.0005797015	0.001161504	0.001161504
