prob_Z	case	beta	gamma	GCC	SCC	ODS	YDS	OPT_FIX_VAR	OPT
0.5	1	0	0	0.2047597	0.202752	0.2061156	0.1762047	0.1754587	0.1754587
0.5	1	0	0.5	0.1992985	0.1973792	0.1987142	0.1662268	0.1626481	0.1626481
0.5	1	0	1	0.1936216	0.1870737	0.1927755	0.154206	0.1390469	0.1390469
0.5	1	0.3	0	0.2083147	0.2085972	0.2078187	0.177059	0.1756865	0.1756865
0.5	1	0.3	0.5	0.2008343	0.1989813	0.2012677	0.164241	0.160898	0.160898
0.5	1	0.3	1	0.1926152	0.1904828	0.1945737	0.1512626	0.136142	0.136142
0.5	1	0.5	0	0.2131289	0.2124587	0.2153561	0.1783715	0.1780964	0.1780964
0.5	1	0.5	0.5	0.2041669	0.2051787	0.2111886	0.1654496	0.1613204	0.1613204
0.5	1	0.5	1	0.1931895	0.1894812	0.1999724	0.1502151	0.1350186	0.1350186
0.5	2	0	0	0.2261863	0.227634	0.229126	0.1950784	0.1953524	0.1778853
0.5	2	0	0.5	0.2287877	0.222962	0.2320243	0.1938978	0.2129258	0.1762478
0.5	2	0	1	0.2321181	0.2179144	0.2332612	0.1894368	0.1974957	0.1720411
0.5	2	0.3	0	0.2270091	0.2244213	0.2294924	0.1941877	0.1989527	0.1722891
0.5	2	0.3	0.5	0.2328226	0.2217382	0.2325239	0.1914838	0.2215002	0.1704099
0.5	2	0.3	1	0.2287365	0.2151251	0.2348661	0.1865567	0.1971163	0.1685215
0.5	2	0.5	0	0.2325128	0.2250468	0.2350078	0.1934022	0.2048566	0.1688304
0.5	2	0.5	0.5	0.2362973	0.2219978	0.2388066	0.1923063	0.2265015	0.1673704
0.5	2	0.5	1	0.2310537	0.2135315	0.2385996	0.1882675	0.2013916	0.1679244
0.5	3	0	0	0.2255461	0.2263043	0.2311718	0.1975406	0.1975933	0.1803044
0.5	3	0	0.5	0.2143093	0.2165216	0.22144	0.1776354	0.1614246	0.1570467
0.5	3	0	1	0.2000266	0.2040516	0.2075368	0.1564472	0.1309082	0.1309089
0.5	3	0.3	0	0.2211951	0.2194159	0.2259182	0.1882006	0.1848808	0.1738257
0.5	3	0.3	0.5	0.2052974	0.2071179	0.2168832	0.1681943	0.1500587	0.1487742
0.5	3	0.3	1	0.1949993	0.1945048	0.2008219	0.1461723	0.123313	0.123313
0.5	3	0.5	0	0.215059	0.2189409	0.2233517	0.1818103	0.1776531	0.1696088
0.5	3	0.5	0.5	0.2043297	0.2041059	0.2136948	0.1623565	0.1450692	0.1445916
0.5	3	0.5	1	0.187006	0.186889	0.1949708	0.1421859	0.120059	0.120059
