prob_Z	case	beta	gamma	SCC	NCC	CM	YDS	OPT_FIX_VAR	OPT
0.5	1	0	0	1.012571	1.010853	0.9725079	1.062032	1.074096	1.074096
0.5	1	0	0.5	1.022397	1.015606	0.9542017	1.08323	1.116903	1.116903
0.5	1	0	1	1.108223	1.070543	0.8963923	1.165845	1.284618	1.284618
0.5	1	0.3	0	1.02488	1.024772	0.9973194	1.087404	1.102486	1.102486
0.5	1	0.3	0.5	1.049037	1.029073	0.9848165	1.127654	1.15571	1.15571
0.5	1	0.3	1	1.060869	1.042568	0.872649	1.122845	1.233543	1.233543
0.5	1	0.5	0	0.9984515	1.030959	1.017679	1.112597	1.109819	1.109819
0.5	1	0.5	0.5	1.008425	1.015679	0.9651544	1.106372	1.135844	1.135844
0.5	1	0.5	1	1.02989	1.033016	0.8957465	1.136376	1.238112	1.238112
0.5	2	0	0	0.9889006	1.028471	1.037708	1.082482	1.115389	1.183061
0.5	2	0	0.5	0.9635651	1.034724	1.034049	1.086295	1.042892	1.125308
0.5	2	0	1	0.9603789	1.029694	0.991348	1.123041	1.083763	1.146128
0.5	2	0.3	0	0.9680627	1.022771	1.022926	1.077561	1.062497	1.165478
0.5	2	0.3	0.5	0.9531995	1.046815	1.066949	1.13956	1.073076	1.144526
0.5	2	0.3	1	0.9493687	1.040328	1.005537	1.151935	1.080581	1.147897
0.5	2	0.5	0	0.9753608	1.014277	1.047821	1.111003	1.074809	1.174913
0.5	2	0.5	0.5	0.929902	1.040307	1.05202	1.122318	1.045401	1.120036
0.5	2	0.5	1	0.9307777	1.023436	0.9829206	1.143095	1.054083	1.122018
0.5	3	0	0	0.9696436	1.008549	0.992334	1.055466	1.058165	1.141084
0.5	3	0	0.5	1.056271	1.023659	0.9349322	1.087318	1.182965	1.264488
0.5	3	0	1	1.216331	1.057394	0.8233561	1.148968	1.362148	1.429134
0.5	3	0.3	0	1.01152	0.9860465	0.9780698	1.056622	1.07143	1.134157
0.5	3	0.3	0.5	1.064853	1.045472	0.9239024	1.09246	1.212149	1.262021
0.5	3	0.3	1	1.190352	1.050865	0.812769	1.166631	1.403149	1.432025
0.5	3	0.5	0	1.028235	1.033645	1.017039	1.103618	1.120074	1.167374
0.5	3	0.5	0.5	1.095833	1.046105	0.9400769	1.138073	1.253578	1.282033
0.5	3	0.5	1	1.166392	1.065143	0.8127934	1.181316	1.408911	1.439078
