prob_Z	case	beta	gamma	CC	SCC	NCC	CM	YDS	OPT_FIX_VAR	OPT
0.5	1	0	0	-0.005087479	-0.003239846	-0.002909121	-0.001565798	-0.0001680766	-0.002500303	-0.002500303
0.5	1	0	0.5	0.00280924	0.004111845	0.00132447	-0.002410726	0.00023014	-0.00156756	-0.00156756
0.5	1	0	1	0.002625413	0.006037009	0.002796522	-0.003028351	0.0006611207	0.0003885423	0.0003885423
0.5	1	0.3	0	0.006957506	0.00294443	0.002937855	0.002157221	0.003264252	0.0006976073	0.0006976073
0.5	1	0.3	0.5	0.0006357669	0.004948318	0.0007667582	0.0005768381	0.003116419	0.001643299	0.001643299
0.5	1	0.3	1	-0.003026997	-0.001087123	-0.0001670404	-0.001536329	0.002079966	0.002564267	0.002564267
0.5	1	0.5	0	0.006702997	0.006774138	0.003106314	0.004445023	0.005341594	0.002292571	0.002292571
0.5	1	0.5	0.5	0.005968491	0.005854391	0.004814356	0.001433795	0.004152215	0.003493264	0.003493264
0.5	1	0.5	1	0.005718615	0.00491544	0.003860702	-0.0005613546	0.002415382	0.00389856	0.00389856
0.5	2	0	0	0.003376427	0.003213225	-0.0007012105	0.003959513	0.001902824	0.0009781768	0.001251915
0.5	2	0	0.5	-0.001466107	-0.002221745	-7.240349e-06	0.001924261	-0.0003719334	0.002808662	0.002421351
0.5	2	0	1	-0.002761879	0.001887235	-0.004896081	-0.000934553	0.001085753	0.003816014	0.003856014
0.5	2	0.3	0	0.0007151111	0.00441214	-0.0004586555	0.006274055	0.005084097	0.006499763	0.006516001
0.5	2	0.3	0.5	0.003753261	0.003537115	0.005376344	0.004293451	0.00391655	0.006749307	0.005939452
0.5	2	0.3	1	0.002839246	0.008687833	0.005336746	0.001239374	0.003309533	0.004907375	0.006021178
0.5	2	0.5	0	0.003736635	0.005676403	0.00270059	0.008973961	0.006003073	0.006939902	0.007365101
0.5	2	0.5	0.5	0.006833588	0.00673344	0.004264309	0.005625383	0.006723468	0.005931355	0.00709932
0.5	2	0.5	1	0.003220818	0.005339542	0.002800617	0.002502547	0.004785117	0.00684843	0.007092665
0.5	3	0	0	-9.833754e-05	0.001090268	-0.0005933844	0.0007790832	-0.001038848	0.001468682	0.001493377
0.5	3	0	0.5	-0.0003706326	-0.003380489	-0.002239718	-0.0005692978	-0.001530711	0.0009905253	0.0002748775
0.5	3	0	1	0.001187748	-0.003573048	-0.000484447	-0.000593295	-0.002716563	-0.0002797327	-0.0007660293
0.5	3	0.3	0	-0.002599168	0.001251255	0.0004364001	0.004459462	0.001826429	0.001933462	0.003301635
0.5	3	0.3	0.5	0.004453598	0.002190822	0.003365535	0.00206568	-0.0003351463	0.001842313	0.002414639
0.5	3	0.3	1	0.001637564	-0.001573285	-0.001472328	0.0002969426	-0.00213786	0.0006276842	0.000409116
0.5	3	0.5	0	0.013909	0.01477171	0.01050222	0.005416333	0.003145554	0.005195629	0.005386459
0.5	3	0.5	0.5	0.002449565	0.006796821	0.004165003	0.001364038	0.0003854103	0.001511641	0.003373273
0.5	3	0.5	1	0.003474919	0.003305629	0.003794591	-0.0004116454	-0.0009394398	0.001188834	0.00154182
