prob_Z	case	beta	gamma	CC	SCC	NCC	CM	YDS	OPT_FIX_VAR	OPT
0.5	1	0	0	0.2863643	0.2845812	0.284823	0.2903838	0.2778754	0.2763104	0.2763104
0.5	1	0	0.5	0.2502401	0.247484	0.2483101	0.2561751	0.2404343	0.2367823	0.2367823
0.5	1	0	1	0.2174847	0.2065927	0.2101971	0.2297098	0.2014226	0.1918853	0.1918853
0.5	1	0.3	0	0.2676355	0.264367	0.2643809	0.267995	0.2566541	0.2548926	0.2548926
0.5	1	0.3	0.5	0.2347965	0.2292431	0.231456	0.2365996	0.2211076	0.2184073	0.2184073
0.5	1	0.3	1	0.1971604	0.1914207	0.1930934	0.2110571	0.186063	0.177518	0.177518
0.5	1	0.5	0	0.2563954	0.2565942	0.2525164	0.2541586	0.2430756	0.2433796	0.2433796
0.5	1	0.5	0.5	0.2204018	0.2194791	0.218694	0.2243452	0.2095388	0.2068025	0.2068025
0.5	1	0.5	1	0.1878224	0.1850768	0.1847966	0.1984517	0.1761921	0.168798	0.168798
0.5	2	0	0	0.321845	0.3236461	0.3173589	0.3159432	0.3093401	0.3047429	0.2958988
0.5	2	0	0.5	0.2874536	0.2928379	0.2825892	0.2826814	0.2757997	0.2814804	0.2709769
0.5	2	0	1	0.2562594	0.261492	0.2525374	0.2573752	0.2418142	0.2461572	0.2393664
0.5	2	0.3	0	0.2919961	0.2967736	0.2887273	0.2887054	0.2812912	0.2832783	0.2704736
0.5	2	0.3	0.5	0.2677484	0.2742426	0.2616929	0.2592119	0.2508177	0.2584708	0.250273
0.5	2	0.3	1	0.236167	0.2423827	0.2315442	0.2355158	0.2200418	0.2271907	0.2204285
0.5	2	0.5	0	0.2784832	0.2819787	0.2765162	0.2720542	0.2642052	0.2686169	0.256919
0.5	2	0.5	0.5	0.2506997	0.2599772	0.245795	0.2444228	0.2366442	0.2451954	0.2368851
0.5	2	0.5	1	0.2221834	0.2302972	0.2196248	0.2241054	0.2078119	0.2164084	0.2097547
0.5	3	0	0	0.3188366	0.323789	0.3174824	0.3200658	0.3103459	0.3099499	0.298476
0.5	3	0	0.5	0.2711813	0.2638591	0.2680291	0.2804592	0.2600647	0.2493295	0.2411584
0.5	3	0	1	0.226134	0.2050406	0.2199113	0.2492138	0.2109657	0.1937553	0.18916
0.5	3	0.3	0	0.2960338	0.2943433	0.298121	0.2993342	0.2879927	0.2859956	0.2779744
0.5	3	0.3	0.5	0.2510403	0.2432757	0.2455201	0.2611743	0.2401821	0.2280161	0.2234653
0.5	3	0.3	1	0.2099941	0.1924728	0.204849	0.232929	0.1944197	0.1772781	0.1754817
0.5	3	0.5	0	0.2875413	0.2835659	0.2828228	0.2851225	0.2737101	0.271692	0.2661309
0.5	3	0.5	0.5	0.2413405	0.2305462	0.2359622	0.2489135	0.2262273	0.2155532	0.2131477
0.5	3	0.5	1	0.2003088	0.1854718	0.1940868	0.2221826	0.1842965	0.1687557	0.1669775
