				$\Exp(Z)=0.3$			$\Exp(Z)=0.5$			$\Exp(Z)=0.7$		
$p_0$	$p_1$	$\beta$	$\gamma$	SCC	OPT		SCC	OPT		SCC	OPT	
0.7	0.7	0	0	0.9847967	1.002527		1.034233	1.044833		0.9733696	0.9961333	
0.7	0.7	0	1	1.043919	1.049998		1.076019	1.097893		1.025565	1.068513	
0.7	0.7	0	2	1.231032	1.270303		1.302042	1.289006		1.180489	1.189639	
0.7	0.7	0.3	0	0.9634494	1.014432		1.038125	1.049327		0.9686277	0.996394	
0.7	0.7	0.3	1	1.041792	1.068252		1.088409	1.073131		1.04565	1.028164	
0.7	0.7	0.3	2	1.237974	1.277127		1.221998	1.256558		1.166844	1.189619	
0.7	0.7	0.5	0	0.9891769	1.010819		1.018423	0.9953127		1.014205	1.039014	
0.7	0.7	0.5	1	1.07652	1.095896		1.048957	1.070993		1.044012	1.07146	
0.7	0.7	0.5	2	1.277442	1.327296		1.230086	1.260786		1.13356	1.150314	
0.5	0.9	0	0	0.8358004	1.197438		1.023667	1.446766		1.25032	1.768473	
0.5	0.9	0	1	0.9013417	1.294964		1.14674	1.655748		1.441783	2.041939	
0.5	0.9	0	2	1.098986	1.63759		1.558216	2.180195		1.714854	2.512208	
0.5	0.9	0.3	0	0.8320702	1.186986		0.9985162	1.468345		1.265312	1.848428	
0.5	0.9	0.3	1	0.9146844	1.308783		1.158105	1.650865		1.448152	2.078259	
0.5	0.9	0.3	2	1.107936	1.558117		1.51574	2.168305		1.815203	2.618939	
0.5	0.9	0.5	0	0.8179066	1.231139		1.015621	1.498047		1.290872	1.952158	
0.5	0.9	0.5	1	0.9216725	1.310873		1.142475	1.719188		1.46965	2.163547	
0.5	0.9	0.5	2	1.124368	1.579247		1.573225	2.179287		1.859786	2.745935	
0.1	0.5	0	0	1.222348	1.798824		0.9838734	1.462994		0.848163	1.213924	
0.1	0.5	0	1	1.290688	1.904258		0.9857948	1.467263		0.8633382	1.217547	
0.1	0.5	0	2	1.517549	2.095045		1.124399	1.583468		0.9028445	1.27558	
0.1	0.5	0.3	0	1.199175	1.733407		1.01142	1.460483		0.8449842	1.199858	
0.1	0.5	0.3	1	1.287568	1.842034		1.00926	1.405251		0.8387525	1.172639	
0.1	0.5	0.3	2	1.577724	2.1855		1.104628	1.583152		0.868646	1.232457	
0.1	0.5	0.5	0	1.2166	1.741491		0.9778511	1.370499		0.8418559	1.160636	
0.1	0.5	0.5	1	1.272444	1.803547		1.002446	1.408274		0.8741289	1.200989	
0.1	0.5	0.5	2	1.533113	2.107264		1.161806	1.577347		0.8908616	1.228463	
