				$\Exp(Z)=0.3$				$\Exp(Z)=0.5$				$\Exp(Z)=0.7$			
$p_0$	$p_1$	$\beta$	$\gamma$	CC	SCC	OPT		CC	SCC	OPT		CC	SCC	OPT	
0.7	0.7	0	0	-0.0006964553	-0.001389515	0.001598655		-0.002925885	0.0003347664	0.001927522		0.000975145	-0.003091759	0.0006259569	
0.7	0.7	0	1	0.001349244	0.003429993	-0.00158958		0.00120272	0.0009692759	0.002112448		0.001594265	-0.001597571	0.003833438	
0.7	0.7	0	2	-1.010527e-06	0.002133447	0.0007917524		-0.002312072	0.00125705	0.005821626		-0.0007888856	-0.001335935	8.996195e-05	
0.7	0.7	0.3	0	0.002279962	0.00682935	0.003615357		0.003673535	-0.001488734	0.004000161		-0.001335567	-0.002099604	0.0004552378	
0.7	0.7	0.3	1	-0.0002107354	0.002303892	-0.004717202		-0.0006602334	-0.0002377384	0.001815191		0.002795601	0.0003061343	0.0009651573	
0.7	0.7	0.3	2	0.005368033	0.000406167	-0.001911088		-0.0005813175	-0.0004598263	-4.810723e-05		-0.000363055	0.0002809622	-0.002129944	
0.7	0.7	0.5	0	0.003914285	0.006081449	0.006377586		0.000439199	-0.001439857	0.003462483		0.003299603	0.0008582482	0.002503334	
0.7	0.7	0.5	1	0.005947401	0.005328039	0.000513868		0.002781186	0.002474505	0.001581422		0.004289613	0.002622814	0.006635985	
0.7	0.7	0.5	2	0.005632594	0.002705215	-0.001370538		0.001213468	-0.0002744466	0.004215908		-0.00116757	-0.002377081	0.005096021	
0.5	0.9	0	0	0.0002238703	0.001703543	0.00288578		0.002312979	-0.001666616	0.00183406		0.006533649	-0.001236187	0.003024425	
0.5	0.9	0	1	-0.00083978	-0.001488362	0.003549847		-0.002092227	0.0005904543	-0.0006355412		-0.0003536372	-0.0009151367	0.000431246	
0.5	0.9	0	2	-0.003687991	-0.0006671282	0.001286065		-0.005742438	0.004220908	0.005935019		-0.007283539	0.004099958	0.002228412	
0.5	0.9	0.3	0	-0.000192442	-0.0004836224	0.0008470726		0.002414986	0.002652902	0.002327053		0.002421748	0.003821139	0.001616105	
0.5	0.9	0.3	1	-0.001349969	0.003497861	0.002581749		0.001147076	-0.0006426225	0.002894987		0.0001971857	0.002375342	-0.001314613	
0.5	0.9	0.3	2	-0.003634987	0.003458232	0.002309842		0.0007811726	0.004441936	0.002731731		0.00217694	0.002757405	0.0008008085	
0.5	0.9	0.5	0	0.007756165	0.002817252	0.002582424		0.0005954899	0.002864133	0.0008070208		0.007007046	0.005736136	0.002266538	
0.5	0.9	0.5	1	0.001491406	-0.0004526692	0.003015813		7.679607e-05	0.001472525	0.005326278		0.0091866	5.292126e-05	0.001706574	
0.5	0.9	0.5	2	0.002642616	0.0007553224	0.002769663		-0.005181936	0.00355327	0.001786328		0.002773506	0.008658106	0.00184083	
0.1	0.5	0	0	0.001508219	0.00256348	-0.0005230069		6.751049e-05	-0.003182494	-0.002013504		-0.004057951	0.001341849	-0.002477446	
0.1	0.5	0	1	-0.00173023	0.001635342	0.002891784		-0.00214793	0.0005003248	-0.001799187		-0.001219436	0.001330085	-0.001657425	
0.1	0.5	0	2	-0.004191836	0.002570966	0.0009493465		0.002467551	-0.002693586	-0.002782951		-0.002758723	0.002155719	0.001143233	
0.1	0.5	0.3	0	4.173115e-05	0.002633964	0.0009685973		-0.0006433246	0.0003469633	0.000932696		-0.0003681022	0.002694692	0.003388206	
0.1	0.5	0.3	1	0.002527493	0.0002907875	0.004705944		-0.003256921	-0.0005178584	0.002854324		0.001616679	0.006060067	-0.0003824278	
0.1	0.5	0.3	2	-0.0007908335	-0.0002587669	0.003328928		-0.001928827	0.002760463	0.0005883297		0.001117967	0.001242283	-0.002760511	
0.1	0.5	0.5	0	0.003378754	0.003831417	0.005612551		0.006891544	0.001813917	0.003547843		-0.0007694033	0.002823504	0.0006988511	
0.1	0.5	0.5	1	0.006361126	0.007423242	0.006955375		0.001185548	0.009232954	-0.001149023		0.00336411	0.003494942	0.00397185	
0.1	0.5	0.5	2	0.002882925	0.004633803	0.0004843556		-0.0002104346	0.001563166	-0.003422798		0.0005555312	0.003960958	0.001008164	
