				$\Exp(Z)=0.3$				$\Exp(Z)=0.5$				$\Exp(Z)=0.7$			
$p_0$	$p_1$	$\beta$	$\gamma$	CC	SCC	OPT		CC	SCC	OPT		CC	SCC	OPT	
0.7	0.7	0	0	0.2180143	0.2196907	0.2177394		0.2202245	0.2165491	0.2154478		0.2184774	0.2214459	0.218901	
0.7	0.7	0	1	0.2242593	0.2194912	0.2188549		0.2289292	0.2206943	0.2184848		0.2254814	0.2226534	0.2181327	
0.7	0.7	0	2	0.2450411	0.2208535	0.2174128		0.2464167	0.2159522	0.2170414		0.2382276	0.2192609	0.2184161	
0.7	0.7	0.3	0	0.2232775	0.2274734	0.2216836		0.226199	0.2220065	0.2208183		0.2235158	0.2271066	0.2239199	
0.7	0.7	0.3	1	0.2296347	0.2249817	0.2221778		0.2307068	0.2211386	0.2227071		0.2288463	0.2237952	0.2256902	
0.7	0.7	0.3	2	0.2490181	0.2238077	0.2203503		0.2475702	0.2239563	0.2208549		0.2408906	0.2230044	0.2208594	
0.7	0.7	0.5	0	0.2288584	0.2301071	0.2276304		0.2289162	0.2268363	0.2294546		0.230283	0.2286647	0.2259182	
0.7	0.7	0.5	1	0.2355468	0.2270211	0.2250051		0.2338823	0.2283593	0.2259977		0.2329314	0.2279688	0.2250299	
0.7	0.7	0.5	2	0.2550639	0.2256724	0.2213937		0.2534376	0.228509	0.2257098		0.2426441	0.2279016	0.2262359	
0.5	0.9	0	0	0.2228885	0.2438015	0.203686		0.2447513	0.2419055	0.203482		0.2709326	0.2422985	0.2037333	
0.5	0.9	0	1	0.2329053	0.245321	0.2046683		0.2617091	0.2443916	0.2033863		0.2942087	0.2450223	0.2058895	
0.5	0.9	0	2	0.255067	0.243309	0.1993204		0.2999822	0.2403154	0.2031645		0.3214726	0.2454881	0.2028226	
0.5	0.9	0.3	0	0.2235452	0.2450673	0.2051835		0.2491134	0.2492984	0.205581		0.2772873	0.2465081	0.2039523	
0.5	0.9	0.3	1	0.2348037	0.24551	0.2052443		0.2630425	0.2444286	0.2047247		0.2975011	0.2472188	0.2063663	
0.5	0.9	0.3	2	0.2570991	0.2442549	0.2059684		0.3014928	0.2448864	0.2047466		0.3312427	0.2458576	0.2046839	
0.5	0.9	0.5	0	0.2275534	0.2516121	0.205083		0.2515081	0.2495664	0.2054893		0.2882106	0.2536695	0.2062777	
0.5	0.9	0.5	1	0.2388728	0.2488161	0.2086346		0.2693845	0.2520283	0.2054522		0.3058844	0.2523192	0.2079573	
0.5	0.9	0.5	2	0.2601591	0.2453493	0.2070208		0.3066274	0.2444644	0.2077083		0.3441083	0.2523269	0.2076586	
0.1	0.5	0	0	0.2730206	0.2469437	0.203564		0.2446182	0.2466148	0.2022402		0.2244613	0.2437259	0.2037256	
0.1	0.5	0	1	0.2784041	0.2450559	0.2017497		0.2472826	0.2490579	0.2041454		0.2246852	0.2418154	0.2036253	
0.1	0.5	0	2	0.299031	0.242742	0.2065949		0.2548098	0.2403012	0.2024937		0.2293554	0.2413806	0.2030743	
0.1	0.5	0.3	0	0.2692527	0.2458774	0.2045077		0.2459071	0.2445149	0.2034806		0.2236003	0.2432473	0.2041303	
0.1	0.5	0.3	1	0.2765264	0.2436978	0.2037454		0.2452755	0.2441477	0.2069079		0.2240839	0.2446773	0.2069324	
0.1	0.5	0.3	2	0.3021595	0.2405585	0.2043905		0.2571984	0.2447149	0.2044123		0.226971	0.243528	0.2044488	
0.1	0.5	0.5	0	0.2725052	0.2470591	0.2064972		0.2427611	0.245495	0.207367		0.2236899	0.2437965	0.2076339	
0.1	0.5	0.5	1	0.275447	0.2441848	0.2051041		0.2431819	0.242885	0.2049216		0.2257065	0.2414106	0.2059561	
0.1	0.5	0.5	2	0.2988501	0.2413606	0.2058704		0.2591108	0.2403913	0.2063108		0.2285171	0.2421105	0.2061758	
