				$\Exp(Z)=0.1$	
$p_0$	$p_1$	$\beta$	$\gamma$	SCC	OPT
0.7	0.7	0	0	0.9861202	0.9785962	
0.7	0.7	0	1	1.050526	1.050654	
0.7	0.7	0	2	1.165423	1.167525	
0.7	0.7	0.3	0	1.006843	1.025598	
0.7	0.7	0.3	1	1.062635	1.048611	
0.7	0.7	0.3	2	1.176803	1.193596	
0.7	0.7	0.5	0	1.006586	0.9933781	
0.7	0.7	0.5	1	1.047497	1.033001	
0.7	0.7	0.5	2	1.138259	1.117647	
0.5	0.9	0	0	0.966263	1.023307	
0.5	0.9	0	1	0.9938229	1.096224	
0.5	0.9	0	2	0.9505482	1.099671	
0.5	0.9	0.3	0	0.9749552	1.04623	
0.5	0.9	0.3	1	0.9884383	1.083635	
0.5	0.9	0.3	2	0.9572847	1.095149	
0.5	0.9	0.5	0	1.010815	1.064337	
0.5	0.9	0.5	1	0.975772	1.070366	
0.5	0.9	0.5	2	0.9638477	1.086408	
0.1	0.5	0	0	1.012791	1.017018	
0.1	0.5	0	1	1.15928	1.219258	
0.1	0.5	0	2	1.548519	1.557006	
0.1	0.5	0.3	0	1.005714	1.038641	
0.1	0.5	0.3	1	1.163413	1.239494	
0.1	0.5	0.3	2	1.464472	1.503719	
0.1	0.5	0.5	0	1.018287	1.062958	
0.1	0.5	0.5	1	1.161766	1.229256	
0.1	0.5	0.5	2	1.410038	1.433215	
