				$\Exp(Z)=0.1$		
$p_0$	$p_1$	$\beta$	$\gamma$	CC	SCC	OPT
0.7	0.7	0	0	3.466384e-05	-0.001160803	-0.0004205083	
0.7	0.7	0	1	-1.852763e-05	0.001332274	0.001101792	
0.7	0.7	0	2	-0.0002442756	-0.001212413	-0.002368368	
0.7	0.7	0.3	0	0.001843314	0.001005852	0.0002823041	
0.7	0.7	0.3	1	0.0001686456	-0.002141532	-0.002100286	
0.7	0.7	0.3	2	0.0008497223	0.002234914	0.001081941	
0.7	0.7	0.5	0	0.003432556	0.003563892	0.004279385	
0.7	0.7	0.5	1	3.215054e-05	0.001445256	-1.428683e-05	
0.7	0.7	0.5	2	0.002652718	0.0008702287	0.001853999	
0.5	0.9	0	0	0.002302945	0.001808153	0.0005913244	
0.5	0.9	0	1	-0.001241327	-0.002563888	-0.001165549	
0.5	0.9	0	2	0.002002304	0.001594259	0.003145689	
0.5	0.9	0.3	0	0.001344454	0.002512076	0.001262788	
0.5	0.9	0.3	1	-0.0003734087	0.00102017	0.002154356	
0.5	0.9	0.3	2	-0.0002938897	0.0009696837	-0.0001230407	
0.5	0.9	0.5	0	0.0007241623	0.002577577	0.001413926	
0.5	0.9	0.5	1	0.0007752081	-0.0001620453	0.001470377	
0.5	0.9	0.5	2	0.003126304	0.001549176	0.002730027	
0.1	0.5	0	0	0.001502722	0.001317586	0.001551828	
0.1	0.5	0	1	0.002684093	0.0004084323	0.001301298	
0.1	0.5	0	2	-0.0007504147	0.00167153	0.002162548	
0.1	0.5	0.3	0	0.001770704	0.002060676	0.002831447	
0.1	0.5	0.3	1	0.001728216	0.001312796	0.0005844322	
0.1	0.5	0.3	2	-8.399477e-05	0.0003673664	0.0003808581	
0.1	0.5	0.5	0	0.001328527	0.002032197	0.001692557	
0.1	0.5	0.5	1	0.005078829	0.003318043	0.00110488	
0.1	0.5	0.5	2	0.001223507	0.004093703	0.003245366	
