				$\Exp(Z)=0.1$		
$p_0$	$p_1$	$\beta$	$\gamma$	CC	SCC	OPT
0.7	0.7	0	0	0.1315911	0.132514	0.1330224	
0.7	0.7	0	1	0.1328768	0.129642	0.1296341	
0.7	0.7	0	2	0.1407046	0.1303366	0.1302192	
0.7	0.7	0.3	0	0.135947	0.1354843	0.1342398	
0.7	0.7	0.3	1	0.1360674	0.1319964	0.1328761	
0.7	0.7	0.3	2	0.1454687	0.1340966	0.1331499	
0.7	0.7	0.5	0	0.1370595	0.1366104	0.1375156	
0.7	0.7	0.5	1	0.1404729	0.1372513	0.1382109	
0.7	0.7	0.5	2	0.1462148	0.1370474	0.1383054	
0.5	0.9	0	0	0.1232264	0.1253591	0.121815	
0.5	0.9	0	1	0.1265967	0.1269895	0.1209129	
0.5	0.9	0	2	0.1317372	0.1351205	0.1256252	
0.5	0.9	0.3	0	0.1234532	0.1250288	0.1206949	
0.5	0.9	0.3	1	0.1291446	0.1298977	0.1240608	
0.5	0.9	0.3	2	0.1342758	0.1372389	0.1283102	
0.5	0.9	0.5	0	0.1262492	0.125572	0.122374	
0.5	0.9	0.5	1	0.1307562	0.1323695	0.1263852	
0.5	0.9	0.5	2	0.1358893	0.1384143	0.1303734	
0.1	0.5	0	0	0.1872398	0.1860537	0.1856666	
0.1	0.5	0	1	0.1843006	0.1711719	0.1669086	
0.1	0.5	0	2	0.1959436	0.1574609	0.1570311	
0.1	0.5	0.3	0	0.1804682	0.1799548	0.1770794	
0.1	0.5	0.3	1	0.180819	0.1676397	0.1624134	
0.1	0.5	0.3	2	0.1886082	0.1558548	0.1538074	
0.1	0.5	0.5	0	0.1770633	0.1754662	0.1717396	
0.1	0.5	0.5	1	0.1785078	0.1656143	0.1610038	
0.1	0.5	0.5	2	0.1837021	0.1547029	0.153447	
