SRS	ODS	RDS	OPT	ODS_SRS	RDS_SRS	PDS	OPT_SRS
0.06654221	0.03151487	0.02849515	0.02649526	0.03438683	0.03230043	0.03012842	0.03005495
0.06434284	0.0314875	0.02855421	0.02668833	0.03405363	0.03207845	0.0332977	0.02999188
0.06284839	0.0335698	0.02879147	0.02684408	0.03672005	0.03424197	0.03118862	0.03109335
0.05913	0.03200169	0.02794512	0.0262649	0.03442928	0.03263394	0.03137774	0.03020786
0.05981121	0.03181148	0.02869576	0.02674854	0.03691181	0.03305206	0.0512883	0.03107131
0.06216629	0.02993542	0.02763942	0.0261078	0.03334043	0.03170529	0.02979831	0.02976217
0.05795049	0.0334966	0.02851312	0.02649337	0.03628939	0.03311689	0.03039421	0.03038504
0.0599498	0.03184897	0.02898489	0.02705052	0.03597545	0.03344166	0.03091749	0.03091749
0.06148678	0.03413553	0.02834589	0.0266106	0.0363886	0.03283596	0.03066203	0.03059998
0.05924281	0.03203386	0.02821218	0.02639228	0.03655815	0.03286192	0.03870816	0.03046018
0.05765733	0.03261018	0.02811488	0.02638348	0.03528429	0.03251158	0.03042354	0.03040693
0.05605298	0.03252238	0.02830393	0.02641117	0.03569483	0.03295731	0.03442732	0.03057568
0.06130793	0.03133331	0.02874651	0.02670462	0.03554006	0.03343075	0.03086637	0.0308224
0.06051795	0.0336974	0.02886052	0.0270218	0.03644171	0.0335962	0.03132415	0.03132415
0.05808585	0.03170953	0.02812926	0.02628436	0.03494269	0.03281557	0.03272867	0.03043455
0.05829984	0.03148554	0.0278774	0.0261864	0.03519652	0.03251279	0.0301306	0.03011455
0.06379865	0.03186856	0.02841665	0.02663017	0.036149	0.03333442	0.03136651	0.03094952
0.06618259	0.0318464	0.02839615	0.02649017	0.03603138	0.03259325	0.0307297	0.03065428
0.05802896	0.03197272	0.02839847	0.02646829	0.03527828	0.03294103	0.03032613	0.03027874
0.05892867	0.03152413	0.0286091	0.02664929	0.03527688	0.03318204	0.0375107	0.03087397
0.06222691	0.03149606	0.02809159	0.02642668	0.03526655	0.03308637	0.03065528	0.03065528
0.05933188	0.0314452	0.02806068	0.02624713	0.03530921	0.03202755	0.04493742	0.03007544
0.05477074	0.03021312	0.02724111	0.02559103	0.03277863	0.03148971	0.02947901	0.02924579
0.06224021	0.03199971	0.02872837	0.02685079	0.03534477	0.03374089	0.04005527	0.03106903
0.06077933	0.03335427	0.02849228	0.02662596	0.03586609	0.03376049	0.03082024	0.03081895
0.05535317	0.03109919	0.027742	0.0260179	0.03386869	0.03165538	0.02971388	0.02972434
0.06160097	0.03245142	0.02852509	0.02680539	0.03672571	0.03355521	0.03093443	0.03090633
0.06496704	0.03429305	0.03033475	0.02802772	0.03972991	0.03493708	0.0332815	0.03225971
0.06082227	0.03095709	0.02807968	0.02624969	0.03450833	0.03273418	0.03019393	0.03020329
0.06364348	0.03416149	0.02914004	0.02699515	0.03679641	0.03395778	0.03140925	0.03122652
0.06036875	0.03212264	0.02863239	0.0266568	0.03472522	0.03311677	0.04295827	0.03049475
