SRS	ODS	RDS	OPT	ODS_SRS	RDS_SRS	PDS	OPT_SRS
0.06162119	0.02686458	0.02679024	0.0250106	0.03021097	0.03015155	0.02846394	0.02839104
0.06005238	0.02670596	0.02672054	0.02505358	0.03004086	0.03000514	0.02854251	0.02826174
0.05872609	0.0268865	0.02676132	0.02512555	0.03166401	0.03158596	0.02900495	0.02900495
0.0565046	0.02638261	0.02616055	0.02470241	0.03049095	0.03042838	0.02847243	0.02834395
0.05692553	0.02697161	0.02688231	0.025209	0.03152545	0.03134725	0.03188725	0.02922686
0.05964091	0.02591246	0.02598371	0.0245004	0.02966439	0.02968215	0.02790545	0.02790545
0.05400928	0.0267877	0.0264323	0.02477518	0.03083352	0.03034542	0.02843034	0.02842521
0.05599553	0.02706081	0.02690635	0.02524073	0.03089976	0.03102145	0.0288059	0.0288059
0.05791385	0.02679656	0.02669255	0.02512157	0.03070291	0.03052952	0.02892725	0.02889944
0.05604821	0.02628557	0.02610209	0.02446381	0.03033632	0.03033165	0.02831455	0.02827034
0.0548986	0.02648339	0.02625169	0.02473393	0.03032954	0.03015863	0.02845391	0.028446
0.05282385	0.02649216	0.02626735	0.02464155	0.03059772	0.03060988	0.02862113	0.02844006
0.05787524	0.0264829	0.0264263	0.02483159	0.03096989	0.03083825	0.02872186	0.02871714
0.05621172	0.0268076	0.02661098	0.02515434	0.03130251	0.03092117	0.02917136	0.02917136
0.05448296	0.02612273	0.02614115	0.02455938	0.03013385	0.03035245	0.02845114	0.02836917
0.05437803	0.02595366	0.0258507	0.02438698	0.02979142	0.02965187	0.02799305	0.02796507
0.06003455	0.02667973	0.02661935	0.02495192	0.03084696	0.03096241	0.02899525	0.02898112
0.06158715	0.02674106	0.02660474	0.02497011	0.03111993	0.03123428	0.02898646	0.02893671
0.05527894	0.02659574	0.0266892	0.02479898	0.03064134	0.03081976	0.02844726	0.02844726
0.05601616	0.02636579	0.02653452	0.02490719	0.03067869	0.03069602	0.02874754	0.02873205
0.05936273	0.02613865	0.02595088	0.02462809	0.03051974	0.03062215	0.02843319	0.02843319
0.05614817	0.02605455	0.02589386	0.02440956	0.02991984	0.02984711	0.03493599	0.0281058
0.05174399	0.02536625	0.02536023	0.02394685	0.02929572	0.02933722	0.02743156	0.02740995
0.05840378	0.02675204	0.02674371	0.02505194	0.03147763	0.03128851	0.02950265	0.02897898
0.05764558	0.02675802	0.02656107	0.02496387	0.03129662	0.03130969	0.02878623	0.02880494
0.05326801	0.02618068	0.02605338	0.02451571	0.02995611	0.02995688	0.02813785	0.02815363
0.05811152	0.02655782	0.02644058	0.02497786	0.0311431	0.0310741	0.02875684	0.02873513
0.061075	0.02839693	0.02807198	0.0260909	0.03235685	0.0324268	0.03009359	0.03009359
0.05740078	0.02603254	0.02606685	0.02450191	0.03044901	0.03044901	0.02825029	0.02826955
0.05979713	0.02738659	0.02715088	0.02528822	0.03201668	0.03166367	0.02922042	0.02922042
0.05702944	0.02669954	0.02668447	0.02507112	0.03076516	0.0306647	0.02976876	0.02862187
0.05354808	0.02635189	0.02629671	0.02473944	0.03054181	0.0306653	0.02856786	0.02858242
0.05956328	0.02721268	0.02708065	0.02532327	0.03113184	0.0312741	0.03124243	0.02907226
0.05446566	0.02650615	0.02644784	0.02471578	0.03092791	0.03076597	0.02862869	0.02861597
0.05373942	0.0261605	0.02598344	0.02436411	0.02976832	0.02966885	0.02874292	0.02796409
0.05308718	0.02579651	0.02579178	0.02425483	0.030019	0.02998277	0.02811403	0.02811403
