SRS	ODS	RDS	OPT	ODS_SRS	RDS_SRS	PDS	OPT_SRS
0.06983469	0.031712	0.02930207	0.02730982	0.03446849	0.0334439	0.03386296	0.03097091
0.06692016	0.03149843	0.02960701	0.02763173	0.03520789	0.03307625	0.04567286	0.03113604
0.06516117	0.03303451	0.02990811	0.0277889	0.03789641	0.03517948	0.04618709	0.0321136
0.05981707	0.0328312	0.02909495	0.02717598	0.0361397	0.03376461	0.04761548	0.03123394
0.06134151	0.03268335	0.02928279	0.02760493	0.03613501	0.03436352	0.03181521	0.03196694
0.062403	0.03151775	0.02880086	0.02702882	0.03518918	0.0334432	0.05026291	0.03116395
0.06123276	0.03330937	0.02996528	0.02761856	0.03762606	0.03455299	0.04795558	0.03169316
0.06336292	0.03354539	0.03017033	0.02813108	0.03676078	0.03453896	0.03509246	0.03198017
0.06373883	0.03537315	0.0294258	0.02741442	0.03662716	0.03394704	0.03588835	0.0314861
0.06107579	0.03344567	0.03011934	0.02792419	0.03805209	0.03522174	0.03568495	0.03225183
0.05915178	0.03257974	0.02939363	0.02739463	0.0369633	0.03418393	0.03838765	0.0318207
0.05854187	0.03283712	0.02964952	0.02768186	0.03682919	0.03467749	0.04259267	0.03191679
0.06296839	0.03315814	0.03004685	0.02778496	0.03655988	0.03494006	0.04494433	0.03200582
0.06438055	0.03386205	0.03017959	0.02818856	0.03757696	0.03495172	0.05220633	0.03253965
0.06122283	0.0327299	0.02968814	0.02752213	0.03733923	0.03489796	0.03612404	0.03204962
0.06135623	0.03330877	0.02905204	0.02741965	0.03707336	0.03427723	0.03179189	0.0316005
0.06626521	0.0332307	0.02992342	0.02779331	0.03702995	0.03540866	0.03540709	0.03244761
0.06903082	0.03299746	0.02932015	0.02736423	0.03687421	0.03403282	0.04700076	0.03161725
0.05943722	0.03251197	0.02988683	0.0275051	0.03611625	0.03436468	0.04684647	0.03158149
0.0607594	0.03325388	0.02991028	0.02786529	0.0374771	0.03494082	0.035819	0.03223935
0.06370238	0.03305768	0.02977387	0.02776425	0.03822459	0.03518385	0.04576031	0.03221851
0.06152923	0.03309037	0.02970268	0.0276226	0.03662354	0.03438217	0.03910314	0.0316591
0.05673117	0.03149515	0.02864019	0.02667194	0.03456495	0.03298859	0.04404728	0.03051249
0.06519663	0.03265591	0.03004861	0.0280783	0.03719983	0.03560539	0.04463497	0.03246599
0.06281442	0.03327237	0.02960614	0.02754626	0.03697138	0.03478284	0.04810111	0.03198553
0.05629584	0.03160026	0.02877075	0.02682446	0.03465284	0.03258511	0.04548625	0.0305419
0.06386347	0.03417372	0.03003452	0.0280246	0.03774814	0.03555187	0.04765119	0.03249856
0.06749611	0.03592524	0.03131501	0.02900297	0.04044541	0.03615581	0.05067715	0.03338937
0.06271685	0.03149854	0.02944194	0.02737193	0.0358167	0.0341597	0.03835265	0.03150711
0.06616441	0.03359829	0.03036134	0.02791851	0.03698966	0.03507863	0.03528483	0.03231368
0.0621198	0.0322655	0.02977154	0.02757272	0.03543709	0.03407004	0.03521835	0.03139347
0.06099875	0.03225346	0.02935292	0.0273659	0.03578184	0.03462836	0.04627629	0.03158946
0.06356707	0.03646748	0.03048795	0.02821612	0.03743627	0.03579788	0.0460715	0.03262425
0.0592691	0.03204875	0.02925489	0.02734323	0.03644105	0.03408126	0.04846302	0.03149875
0.05978517	0.03166074	0.02845175	0.02653639	0.03411333	0.03207775	0.04407883	0.03017602
0.05760966	0.03309222	0.02950764	0.02741765	0.03607336	0.03406929	0.05005709	0.03156703
0.05824242	0.03559743	0.02942128	0.02738856	0.03824299	0.03454083	0.03173365	0.03162749
0.06282133	0.03317871	0.02953307	0.02742281	0.03725799	0.03438972	0.0324832	0.03172135
0.06417223	0.03293991	0.02947256	0.02760455	0.03738808	0.03421034	0.04634016	0.03175952
0.06235328	0.03265879	0.03014458	0.02767931	0.03621154	0.03485391	0.04787767	0.03198632
0.06009989	0.03253014	0.02927127	0.02744457	0.03647676	0.03370915	0.04884907	0.03144648
0.05869865	0.03285923	0.02944159	0.02757893	0.03643011	0.03381813	0.03147366	0.03136038
0.06132462	0.03204028	0.02876724	0.02685932	0.03548511	0.03338736	0.04597227	0.03093086
0.0589315	0.0316845	0.02895981	0.02712147	0.03591294	0.03379709	0.04952469	0.03129498
0.06313953	0.03350966	0.03000788	0.02809241	0.0365165	0.03519272	0.04740168	0.03249371
0.05858032	0.03138615	0.02862926	0.02665521	0.03548463	0.03316493	0.03227801	0.03068301
0.06351899	0.03284312	0.02935098	0.02736517	0.03772731	0.03460944	0.04858159	0.03189783
0.06780814	0.03487147	0.03058436	0.02836584	0.03838235	0.03540259	0.04933372	0.0326123
0.06632961	0.03455352	0.03021878	0.0279314	0.03669828	0.0349709	0.04383493	0.03203431
0.06199397	0.03222831	0.02926078	0.02731449	0.03619566	0.03374048	0.04965048	0.03121435
0.06086305	0.0325223	0.02991334	0.02784859	0.03643492	0.03435646	0.04394469	0.03189562
0.06139021	0.03190117	0.02973496	0.02785798	0.03772574	0.03550214	0.05291056	0.03230961
0.06761071	0.03345178	0.02952667	0.02761565	0.03767061	0.03465421	0.04603261	0.03192741
0.05865895	0.03358123	0.03004047	0.02788553	0.03718962	0.03504328	0.04952943	0.03211625
0.06499438	0.03400379	0.02999205	0.02775976	0.03747836	0.03508179	0.03223775	0.03218204
0.05874304	0.03203125	0.02944361	0.02738789	0.0375097	0.03417414	0.04808605	0.03159464
0.0647845	0.03368326	0.03039862	0.02819607	0.03755697	0.03512117	0.03253393	0.03248963
0.0590393	0.032758	0.02942485	0.02732164	0.03726656	0.03401585	0.04696759	0.03155071
0.06168055	0.03298557	0.03044837	0.02830291	0.03800863	0.03619809	0.0479428	0.03285274
0.06002943	0.03321409	0.0303188	0.02817643	0.03857428	0.03558462	0.03714653	0.0324651
0.06328579	0.03153064	0.02890796	0.02705195	0.03511049	0.0335366	0.04331175	0.03116047
0.06187137	0.03194799	0.0285937	0.02659614	0.03472068	0.03317172	0.04683949	0.03088264
0.06301931	0.03307264	0.03045072	0.02817756	0.03695836	0.03513493	0.04796907	0.03236115
0.06128835	0.03422953	0.02921576	0.02711485	0.03590234	0.03415259	0.03272032	0.03134485
0.06509504	0.03282624	0.02939878	0.02735543	0.03638103	0.03418372	0.05001629	0.03157179
0.06113509	0.03227729	0.02982862	0.02773767	0.0373147	0.03493737	0.04712865	0.03209252
0.06076894	0.03214485	0.02942194	0.02724234	0.03739944	0.03409256	0.03153947	0.03143573
0.06464846	0.03554104	0.02940877	0.02732228	0.03815772	0.03406399	0.04737674	0.03131442
0.05870574	0.03350495	0.02973589	0.02755057	0.03770702	0.03465494	0.03585677	0.03169173
0.06434179	0.03427266	0.03024192	0.02822033	0.04018057	0.03653176	0.05330497	0.03331541
0.06254082	0.03476872	0.03023217	0.02823255	0.03793334	0.03528987	0.03819647	0.03251629
0.06511146	0.03333253	0.02932486	0.02750515	0.0370584	0.03418353	0.047112	0.03161786
0.06374592	0.0329363	0.02991753	0.02760546	0.03560341	0.03428215	0.04663081	0.03174937
0.06524911	0.03490798	0.02973954	0.02780795	0.03786294	0.03467869	0.0486992	0.03195524
0.06603519	0.03243467	0.02918822	0.02727153	0.03655255	0.03358834	0.04932455	0.0316175
0.06010169	0.03324234	0.02929836	0.02727095	0.03749692	0.03455512	0.03352732	0.03156215
0.05931192	0.03287255	0.02955845	0.0274671	0.03575325	0.03432722	0.0343794	0.03152032
0.06162765	0.0342759	0.02997565	0.02791521	0.03828167	0.03533193	0.04883031	0.03223912
0.06306144	0.03322899	0.02964104	0.027625	0.03812409	0.03462958	0.03372237	0.03215246
0.06290389	0.03245449	0.02898208	0.02700423	0.03576634	0.03376296	0.04546199	0.03094209
0.06734167	0.03206487	0.02955681	0.02770733	0.03585187	0.03439152	0.04804709	0.03167238
0.06202009	0.03233135	0.02957582	0.02769236	0.03555403	0.03434468	0.0395376	0.03175436
