SRS	ODS	RDS	OPT	ODS_SRS	RDS_SRS	PDS	OPT_SRS
0.06983469	0.03945753	0.02930207	0.02730982	0.03907721	0.0334439	0.03386296	0.03097091
0.06692016	0.04262744	0.02960701	0.02763173	0.03911871	0.03307625	0.04567286	0.03113604
0.06516117	0.04335248	0.02990811	0.0277889	0.04187051	0.03517948	0.04618709	0.0321136
0.05981707	0.04617254	0.02909495	0.02717598	0.04083421	0.03376461	0.04761548	0.03123394
0.06134151	0.0439877	0.02928279	0.02760493	0.04401581	0.03436352	0.03181521	0.03196694
0.062403	0.03938706	0.02880086	0.02702882	0.04134814	0.0334432	0.05026291	0.03116395
0.06123276	0.04718184	0.02996528	0.02761856	0.04282901	0.03455299	0.04795558	0.03169316
0.06336292	0.04576739	0.03017033	0.02813108	0.04238674	0.03453896	0.03509246	0.03198017
0.06373883	0.04464236	0.0294258	0.02741442	0.0426134	0.03394704	0.03588835	0.0314861
0.06107579	0.0476591	0.03011934	0.02792419	0.04572578	0.03522174	0.03568495	0.03225183
0.05915178	0.04542492	0.02939363	0.02739463	0.04158187	0.03418393	0.03838765	0.0318207
0.05854187	0.04544218	0.02964952	0.02768186	0.04206155	0.03467749	0.04259267	0.03191679
0.06296839	0.04497111	0.03004685	0.02778496	0.04289281	0.03494006	0.04494433	0.03200582
0.06438055	0.04697266	0.03017959	0.02818856	0.04227946	0.03495172	0.05220633	0.03253965
0.06122283	0.04466341	0.02968814	0.02752213	0.04281793	0.03489796	0.03612404	0.03204962
0.06135623	0.04991218	0.02905204	0.02741965	0.04275896	0.03427723	0.03179189	0.0316005
0.06626521	0.04682958	0.02992342	0.02779331	0.04479049	0.03540866	0.03540709	0.03244761
0.06903082	0.04486183	0.02932015	0.02736423	0.04336751	0.03403282	0.04700076	0.03161725
0.05943722	0.04256614	0.02988683	0.0275051	0.0403864	0.03436468	0.04684647	0.03158149
0.0607594	0.04495551	0.02991028	0.02786529	0.041852	0.03494082	0.035819	0.03223935
0.06370238	0.04578647	0.02977387	0.02776425	0.0439659	0.03518385	0.04576031	0.03221851
0.06152923	0.04619537	0.02970268	0.0276226	0.04133616	0.03438217	0.03910314	0.0316591
0.05673117	0.04169774	0.02864019	0.02667194	0.0375546	0.03298859	0.04404728	0.03051249
0.06519663	0.04225852	0.03004861	0.0280783	0.04257836	0.03560539	0.04463497	0.03246599
0.06281442	0.04465694	0.02960614	0.02754626	0.04225913	0.03478284	0.04810111	0.03198553
0.05629584	0.04075649	0.02877075	0.02682446	0.03958841	0.03258511	0.04548625	0.0305419
0.06386347	0.04679879	0.03003452	0.0280246	0.04404965	0.03555187	0.04765119	0.03249856
0.06749611	0.05860566	0.03131501	0.02900297	0.04693931	0.03615581	0.05067715	0.03338937
0.06271685	0.04128005	0.02944194	0.02737193	0.04112116	0.0341597	0.03835265	0.03150711
0.06616441	0.04573977	0.03036134	0.02791851	0.04458648	0.03507863	0.03528483	0.03231368
0.0621198	0.0424782	0.02977154	0.02757272	0.04062089	0.03407004	0.03521835	0.03139347
0.06099875	0.0436444	0.02935292	0.0273659	0.03991409	0.03462836	0.04627629	0.03158946
0.06356707	0.04734646	0.03048795	0.02821612	0.0425337	0.03579788	0.0460715	0.03262425
0.0592691	0.04275781	0.02925489	0.02734323	0.04515974	0.03408126	0.04846302	0.03149875
0.05978517	0.03982465	0.02845175	0.02653639	0.04020811	0.03207775	0.04407883	0.03017602
0.05760966	0.04318405	0.02950764	0.02741765	0.04271391	0.03406929	0.05005709	0.03156703
0.05824242	0.05287167	0.02942128	0.02738856	0.04273999	0.03454083	0.03173365	0.03162749
0.06282133	0.04754768	0.02953307	0.02742281	0.04241442	0.03438972	0.0324832	0.03172135
0.06417223	0.04565344	0.02947256	0.02760455	0.04217179	0.03421034	0.04634016	0.03175952
0.06235328	0.04244919	0.03014458	0.02767931	0.04173743	0.03485391	0.04787767	0.03198632
0.06009989	0.04328823	0.02927127	0.02744457	0.04194657	0.03370915	0.04884907	0.03144648
0.05869865	0.04611364	0.02944159	0.02757893	0.04185135	0.03381813	0.03147366	0.03136038
0.06132462	0.04088366	0.02876724	0.02685932	0.03985732	0.03338736	0.04597227	0.03093086
