SRS	ODS	RDS	OPT	ODS_SRS	RDS_SRS	PDS	OPT_SRS
0.05237611	0.02455273	0.0224452	0.0224452	0.02746131	0.02593713	0.02632009	0.02593713
0.04798158	0.02534134	0.02288719	0.02288719	0.02765897	0.02610198	0.02990636	0.02611883
0.05069822	0.0261474	0.02289056	0.02289056	0.02919671	0.02687141	0.03274981	0.02687784
0.04731345	0.02581487	0.02278274	0.02278274	0.02845888	0.02655316	0.02867675	0.02657822
0.04664367	0.02584981	0.02307574	0.02307574	0.02925493	0.02685917	0.02962629	0.02740234
0.05042237	0.02477301	0.02274282	0.02274282	0.02772733	0.0262761	0.0288643	0.02639319
0.04684499	0.02692063	0.02294616	0.02294616	0.02864071	0.02661266	0.02879982	0.02662164
0.04590442	0.0255887	0.02304741	0.02304741	0.02836785	0.02655431	0.02925954	0.02676342
0.05079939	0.02799366	0.02330594	0.02330594	0.02942755	0.02701018	0.02953943	0.02702413
0.04706111	0.02589517	0.02273663	0.02273663	0.02928051	0.0264581	0.02886519	0.02648196
0.04741971	0.02652857	0.02291649	0.02291649	0.02839169	0.02650599	0.02862013	0.02649241
0.0467105	0.02627466	0.02295063	0.02295063	0.02906728	0.02671187	0.0296117	0.02671714
0.04789681	0.02532828	0.02283351	0.02283351	0.0285468	0.02660988	0.02891707	0.02665756
0.04875919	0.02728749	0.02357188	0.02357188	0.0298747	0.02723976	0.0292353	0.02735791
0.04796845	0.02574509	0.02286094	0.02286094	0.02885872	0.02675446	0.03006068	0.02677623
0.04571628	0.02682015	0.02303141	0.02303141	0.02930394	0.02675563	0.02718757	0.02685003
0.04902244	0.0258805	0.02302357	0.02302357	0.02911792	0.0269781	0.02964005	0.02701618
0.05253605	0.02611395	0.02279238	0.02279238	0.02940799	0.02673701	0.02900049	0.02673541
0.04677909	0.02473274	0.0223526	0.0223526	0.0273844	0.02585583	0.03275493	0.02589002
0.04710328	0.02580152	0.02302427	0.02302427	0.02850951	0.02676377	0.03269768	0.02690868
0.04858224	0.02596474	0.02293839	0.02293839	0.02901274	0.02694983	0.02963172	0.02718454
0.04868902	0.0260098	0.02306888	0.02306888	0.02912577	0.02683722	0.03210083	0.02699567
0.04625063	0.02469906	0.02235211	0.02235211	0.027291	0.02605256	0.02845819	0.02619431
0.04852538	0.02533855	0.02262579	0.02262579	0.02776684	0.02640531	0.02836346	0.02642011
0.0478933	0.02703164	0.02313227	0.02313227	0.02984143	0.02713014	0.02800328	0.02720452
0.04469321	0.02553951	0.02270958	0.02270958	0.02771642	0.02602894	0.02820642	0.02615307
0.04812594	0.02593835	0.02288537	0.02288537	0.02861587	0.0265233	0.03327282	0.02666928
0.0508371	0.02728789	0.02405217	0.02405217	0.03101952	0.02799591	0.03786751	0.02803952
0.04862772	0.02496959	0.02267875	0.02267875	0.0276859	0.02643361	0.02681541	0.02651509
0.05131996	0.02700743	0.02307821	0.02307821	0.02917765	0.02702768	0.02799293	0.027334
0.04636144	0.02535767	0.02270128	0.02270128	0.02748759	0.02610078	0.02789044	0.02619061
0.04664405	0.02532287	0.02275721	0.02275721	0.02842787	0.02658448	0.0294142	0.0266707
0.05008723	0.02573172	0.02292915	0.02292915	0.02938365	0.0267944	0.02818596	0.02710896
0.04871031	0.02538639	0.02282891	0.02282891	0.02917705	0.02675667	0.02791665	0.026766
0.04687217	0.02645291	0.02263341	0.02263341	0.02847396	0.0260812	0.03207922	0.02607695
0.04568306	0.02527583	0.02271092	0.02271092	0.02836646	0.0264323	0.03203007	0.02681272
0.04608087	0.02727399	0.02289285	0.02289285	0.03009587	0.02686492	0.0284204	0.02692654
0.04830581	0.02574115	0.02250166	0.02250166	0.02877663	0.02626908	0.02704352	0.02633576
0.05021443	0.02641275	0.02299551	0.02299551	0.02900465	0.02671978	0.02791906	0.02672451
0.0458695	0.0246744	0.02258351	0.02258351	0.0275053	0.02627564	0.0283199	0.02627564
0.04738647	0.02564998	0.0224922	0.0224922	0.02875607	0.02619271	0.02854611	0.02617816
0.04709105	0.02693396	0.02301545	0.02301545	0.02856991	0.0264811	0.0283169	0.02655357
0.04850515	0.02601901	0.02284772	0.02284772	0.02825092	0.02633725	0.03019178	0.02633495
0.04789951	0.02593277	0.023021	0.023021	0.02861623	0.02664464	0.03214079	0.02664592
0.04967086	0.02564633	0.02295981	0.02295981	0.02853971	0.02660601	0.02677621	0.02660664
0.04812422	0.0247993	0.0225464	0.0225464	0.02774042	0.02620342	0.02678267	0.02619883
0.05032252	0.02631452	0.02280477	0.02280477	0.02913992	0.02654723	0.02906661	0.02657993
0.0497778	0.02598071	0.02298285	0.02298285	0.02868905	0.02666474	0.02989239	0.02667277
0.04978536	0.02597382	0.02282367	0.02282367	0.02847097	0.02643823	0.03691767	0.02643823
0.04715398	0.02585926	0.02258305	0.02258305	0.02939544	0.02638803	0.02870025	0.02641692
0.04779681	0.02568994	0.02286942	0.02286942	0.02825911	0.02653579	0.0288615	0.02653947
0.04814359	0.02541737	0.02313687	0.02313687	0.02856061	0.02679596	0.03042532	0.0268313
0.05082413	0.02646477	0.02288217	0.02288217	0.02926187	0.02676056	0.02826234	0.02677986
0.0457944	0.02532971	0.02275032	0.02275032	0.02812537	0.02642657	0.02879177	0.02642309
0.04772942	0.02604254	0.02284572	0.02284572	0.02796815	0.02663472	0.02827061	0.02666432
0.04682625	0.02552697	0.02279251	0.02279251	0.02837874	0.02658791	0.03247474	0.02664116
0.04883514	0.02632713	0.023206	0.023206	0.02848111	0.02683999	0.034429	0.02686673
0.0452496	0.02478178	0.02231882	0.02231882	0.02787753	0.02596187	0.02814822	0.02629108
0.04775089	0.02580146	0.02318392	0.02318392	0.02811425	0.02699864	0.02872758	0.02700366
0.04711226	0.02598534	0.0232382	0.0232382	0.02947198	0.02714669	0.03453839	0.02711478
0.04827786	0.02595775	0.02264978	0.02264978	0.0285169	0.02654404	0.02693864	0.02653727
0.04656382	0.02511074	0.02228631	0.02228631	0.02785224	0.02595986	0.03293752	0.02649115
0.04774483	0.02528261	0.02285672	0.02285672	0.02827324	0.02651409	0.02853872	0.02654712
0.04872629	0.02782887	0.02322364	0.02322364	0.02970954	0.02703544	0.0296102	0.02743995
0.05118954	0.02579395	0.02263909	0.02263909	0.02856245	0.02646242	0.03106936	0.02646511
0.04642065	0.02591377	0.02308955	0.02308955	0.02908475	0.02704641	0.02724446	0.02719222
0.04606519	0.02475479	0.02224583	0.02224583	0.02791482	0.02589793	0.02793202	0.02591992
0.04923623	0.02608183	0.02276448	0.02276448	0.02907124	0.02622574	0.02669857	0.02628659
0.04500155	0.02505856	0.02256324	0.02256324	0.02858922	0.02624083	0.028775	0.02654791
0.04867352	0.02680685	0.02317103	0.02317103	0.0294336	0.02743594	0.02924951	0.02800148
0.04699268	0.02685563	0.02332733	0.02332733	0.02906236	0.02701701	0.02798355	0.02704814
0.05047587	0.02637653	0.02279616	0.02279616	0.02932428	0.02648006	0.02679304	0.02663054
0.04837883	0.02618508	0.02286188	0.02286188	0.02858437	0.02663699	0.02781124	0.0268022
0.04966445	0.02755618	0.02288809	0.02288809	0.02932189	0.02663342	0.0287081	0.02665672
0.05102498	0.0266545	0.02307178	0.02307178	0.02910014	0.02678338	0.02927932	0.02701914
0.04668088	0.02569945	0.02249615	0.02249615	0.02875775	0.02648545	0.02872628	0.02657691
0.0463685	0.02700802	0.02305052	0.02305052	0.02965794	0.02689263	0.03098702	0.02690788
0.04768164	0.02719234	0.02311182	0.02311182	0.02996307	0.02706269	0.03057332	0.02708755
0.0481069	0.02645424	0.02298579	0.02298579	0.02967712	0.0270654	0.02784736	0.02709805
0.04739235	0.02539891	0.02237667	0.02237667	0.02736167	0.02573776	0.02823018	0.0257616
0.0504873	0.02582746	0.02310255	0.02310255	0.0282543	0.02692479	0.03487761	0.02693498
0.04944193	0.02528033	0.02256151	0.02256151	0.02766184	0.02617721	0.02843746	0.02619758
0.04913712	0.02579516	0.02302074	0.02302074	0.02947913	0.0268976	0.02947829	0.0271448
0.04624981	0.0275257	0.02312328	0.02312328	0.02972435	0.02696838	0.02904853	0.02697518
0.04783637	0.02733858	0.02294606	0.02294606	0.02975344	0.02676105	0.02829696	0.02707922
0.04938009	0.02665322	0.02264211	0.02264211	0.02948635	0.02644553	0.02735043	0.02656135
