SRS	ODS	RDS	OPT	ODS_SRS	RDS_SRS	PDS	OPT_SRS
0.04805224	0.03029372	0.02105224	0.02105224	0.02873513	0.02424945	0.02474759	0.02424945
0.04420955	0.03055398	0.02136923	0.02136923	0.02959473	0.0244595	0.02607792	0.02447206
0.04675147	0.03209082	0.02136465	0.02136465	0.03119187	0.02501883	0.02751938	0.02504671
0.04440396	0.03033235	0.02133547	0.02133547	0.02999264	0.02486467	0.02594393	0.02488827
0.04351752	0.0328686	0.02157076	0.02157076	0.03141341	0.02507526	0.02756543	0.02551557
0.04767518	0.02863816	0.0212793	0.0212793	0.02931212	0.02455112	0.02624704	0.0247013
0.04325536	0.03466824	0.02137105	0.02137105	0.02975262	0.02485728	0.02598571	0.02486273
0.04248774	0.03280983	0.02147585	0.02147585	0.03034124	0.02484022	0.02647625	0.02515975
0.04745899	0.03525841	0.02191696	0.02191696	0.0312558	0.02550293	0.02678224	0.02551303
0.04417008	0.03456318	0.02102735	0.02102735	0.03057733	0.02457937	0.02595364	0.02459768
0.04467263	0.03218718	0.02145506	0.02145506	0.0296923	0.02479183	0.02663242	0.02481312
0.04375541	0.0318584	0.02148766	0.02148766	0.03104516	0.024988	0.0260213	0.02499189
0.04467826	0.03159131	0.02142265	0.02142265	0.03038829	0.0250365	0.02618105	0.0250851
0.04507074	0.03664424	0.02195365	0.02195365	0.03122853	0.02547123	0.02708618	0.02559929
0.0446738	0.03130676	0.02122824	0.02122824	0.03031748	0.02478535	0.02703778	0.02479525
0.0422318	0.03200091	0.02150792	0.02150792	0.03163624	0.02487887	0.02499389	0.02493886
0.04572804	0.03316764	0.02144314	0.02144314	0.03190618	0.02511848	0.0257717	0.02515473
0.04816995	0.03397387	0.0214548	0.0214548	0.03184721	0.02516548	0.02697025	0.02516654
0.04406484	0.0315353	0.02102368	0.02102368	0.02895275	0.02435307	0.02791712	0.02434534
0.04427472	0.03059278	0.02148424	0.02148424	0.02972854	0.02499348	0.02802169	0.02510809
0.04550654	0.03138297	0.02125408	0.02125408	0.03044726	0.02498029	0.02642781	0.02522086
0.04526251	0.03381091	0.02157448	0.02157448	0.03231	0.02512427	0.03018055	0.0252655
0.04339569	0.02854904	0.02096069	0.02096069	0.02833811	0.02438677	0.02598709	0.02455241
0.04520367	0.02813033	0.02114935	0.02114935	0.0288223	0.0245977	0.02626823	0.02461989
0.04479162	0.03490789	0.02158835	0.02158835	0.03127921	0.02527926	0.0258205	0.0253295
0.04194773	0.03120249	0.02128551	0.02128551	0.02902534	0.02448121	0.02554388	0.02460351
0.04489482	0.03060664	0.02130332	0.02130332	0.02993138	0.02479498	0.02848775	0.02497024
0.04755443	0.03606621	0.02239952	0.02239952	0.03170581	0.02599378	0.0316771	0.02606074
0.04543727	0.02912168	0.02113385	0.02113385	0.02940905	0.02470594	0.02506879	0.02478645
0.04777045	0.0350419	0.02155044	0.02155044	0.03118827	0.02531522	0.02594343	0.02563686
0.04318369	0.03046855	0.02116693	0.02116693	0.02927968	0.02441154	0.02609015	0.02447726
0.04386557	0.0330324	0.02140154	0.02140154	0.0310838	0.02499853	0.02634353	0.0250845
0.04675358	0.03373116	0.02127636	0.02127636	0.03090802	0.02492979	0.02664568	0.02517847
0.04580731	0.03413854	0.0214963	0.0214963	0.03121497	0.02510649	0.0256438	0.02512396
0.04361545	0.03359234	0.02134494	0.02134494	0.02971657	0.02462317	0.02920564	0.02462054
0.0429934	0.03028127	0.02120039	0.02120039	0.02978836	0.0246462	0.02679829	0.0249758
0.04372397	0.03616562	0.02147498	0.02147498	0.03087646	0.02519925	0.02621531	0.02523939
0.04505237	0.03143311	0.02106333	0.02106333	0.03047824	0.02448776	0.02491419	0.02456737
0.04651363	0.03225761	0.02154769	0.02154769	0.03089117	0.02499198	0.02575457	0.02499593
0.0428366	0.02902434	0.02101344	0.02101344	0.02922132	0.02451046	0.02555869	0.02451046
0.04436295	0.03365796	0.02108025	0.02108025	0.03061459	0.02459599	0.02640322	0.02463914
0.04409984	0.03269354	0.02140993	0.02140993	0.02997731	0.02462786	0.02592886	0.0247493
