SRS	ODS	RDS	OPT	ODS_SRS	RDS_SRS	PDS	OPT_SRS
0.05518716	0.02529825	0.02336094	0.02336094	0.02802275	0.02685525	0.02980951	0.02685525
0.05102269	0.02563062	0.02386831	0.02386831	0.02870424	0.02722245	0.03700709	0.0272327
0.05321993	0.02609919	0.0237686	0.0237686	0.03001265	0.02775134	0.03835984	0.02776537
0.04886529	0.02683443	0.02367773	0.02367773	0.02957367	0.02762089	0.0399225	0.02763317
0.0486706	0.02649624	0.02409626	0.02409626	0.02924034	0.02794026	0.03038091	0.02829059
0.05152823	0.02594876	0.02378521	0.02378521	0.02886465	0.02756312	0.03968842	0.02766464
0.04987689	0.02672235	0.02389637	0.02389637	0.0300546	0.02775259	0.03925036	0.02775972
0.04873994	0.02620915	0.02392105	0.02392105	0.02880473	0.0274045	0.02823421	0.02771601
0.05246792	0.02821242	0.02390124	0.02390124	0.0295268	0.02766687	0.02877371	0.02772587
0.04878254	0.02691935	0.02403404	0.02403404	0.03011108	0.02787233	0.03336134	0.02789498
0.04893412	0.02651226	0.02388797	0.02388797	0.0296791	0.0278347	0.03740358	0.02783573
0.04859459	0.02609817	0.0237765	0.0237765	0.02942419	0.02767797	0.02947242	0.02767797
0.04979536	0.0259096	0.02370362	0.02370362	0.02885424	0.02754325	0.0297453	0.0275841
0.05183605	0.02736991	0.02454607	0.02454607	0.03003953	0.02832113	0.03617704	0.02843681
0.05048127	0.02692133	0.02414614	0.02414614	0.0305869	0.02836004	0.03701598	0.02837711
0.04872472	0.02729409	0.02390444	0.02390444	0.030601	0.02788783	0.0305048	0.0279862
0.05115448	0.02716019	0.0242089	0.0242089	0.03001486	0.02828828	0.03164557	0.02831303
0.055768	0.02659994	0.02362008	0.02362008	0.03025625	0.02766124	0.0369633	0.02766142
0.04813471	0.02535975	0.02311655	0.02311655	0.02811502	0.02679221	0.0368687	0.02679055
0.04900535	0.02661836	0.02394563	0.02394563	0.03000251	0.02794282	0.03678938	0.02806359
0.05078477	0.0270862	0.02419048	0.02419048	0.03140368	0.02854385	0.04031422	0.02886296
0.05155321	0.02676404	0.02406327	0.02406327	0.02955594	0.02779731	0.03642257	0.02792118
0.04785664	0.0256965	0.0232453	0.0232453	0.02842011	0.02710973	0.03417715	0.02728456
0.05088139	0.02561985	0.02378046	0.02378046	0.02929993	0.02783761	0.0388192	0.02786007
0.05012733	0.02718636	0.02412645	0.02412645	0.03030066	0.02836385	0.04108286	0.02842203
0.04690799	0.02597694	0.02352886	0.02352886	0.02852401	0.02696038	0.03631922	0.02705459
0.05051692	0.02652241	0.02391664	0.02391664	0.0294386	0.02764843	0.03827371	0.02780101
0.05288465	0.02854769	0.0250179	0.0250179	0.03167719	0.02919962	0.04027466	0.02929374
0.05034791	0.02541985	0.02373772	0.02373772	0.0289361	0.02769989	0.02816814	0.02784423
0.05362386	0.0273112	0.02399793	0.02399793	0.02962908	0.02801781	0.03175442	0.02828084
0.04877299	0.02574416	0.02368927	0.02368927	0.02862675	0.0272342	0.0361988	0.02738237
0.04851506	0.02583055	0.02363323	0.02363323	0.02923668	0.02765097	0.03876438	0.02770947
0.05162324	0.02774101	0.02394359	0.02394359	0.02945925	0.02789269	0.02947687	0.02814295
0.05033441	0.02600439	0.0236379	0.0236379	0.02984886	0.02763271	0.03280801	0.02764363
0.04977991	0.0265299	0.02344987	0.02344987	0.02870199	0.0268888	0.03640727	0.02691222
0.04763339	0.02670826	0.02387411	0.02387411	0.02931156	0.02765989	0.04007339	0.02808086
0.04744859	0.02800024	0.02372552	0.02372552	0.03082284	0.02773175	0.03151134	0.02784097
0.05040289	0.02650351	0.02347231	0.02347231	0.02950753	0.0273824	0.03062537	0.02744985
0.05289321	0.02698787	0.02386391	0.02386391	0.03022997	0.02772149	0.03079322	0.02772796
0.04807007	0.02579205	0.02372493	0.02372493	0.02878856	0.02760776	0.03853996	0.02761574
0.04928437	0.02596919	0.02351628	0.02351628	0.02916439	0.02720599	0.03931432	0.02722393
0.0490197	0.02694872	0.02414461	0.02414461	0.02996683	0.02791334	0.03395493	0.02803332
0.04994917	0.02634379	0.02344894	0.02344894	0.0288216	0.02716408	0.03704617	0.02718265
0.04947171	0.02670746	0.02428917	0.02428917	0.02999663	0.02826882	0.04087183	0.02828919
0.05159023	0.02642838	0.02391472	0.02391472	0.02919521	0.02764813	0.030369	0.0276475
0.04922919	0.02608067	0.02356235	0.02356235	0.02919069	0.02748158	0.02880046	0.02755329
0.05154142	0.0266603	0.0237745	0.0237745	0.02973045	0.02757748	0.03906787	0.02766932
0.05167061	0.02754982	0.0241768	0.0241768	0.03022344	0.02807238	0.04012316	0.02806877
0.05182831	0.02730648	0.02416208	0.02416208	0.02952902	0.02785754	0.03825676	0.02785919
0.04945266	0.02609653	0.02355521	0.02355521	0.02999855	0.02755834	0.04131746	0.0275752
0.05020784	0.02614047	0.02386403	0.02386403	0.0294023	0.02760737	0.02979743	0.02760868
0.04998039	0.02567416	0.0240215	0.0240215	0.02968425	0.02809614	0.04080546	0.02812954
0.0537735	0.02705177	0.02385314	0.02385314	0.03042077	0.02799351	0.03099616	0.02800562
0.04767913	0.02610698	0.02379608	0.02379608	0.02927677	0.02756876	0.04181252	0.02757848
0.05133043	0.02674542	0.02384771	0.02384771	0.0297152	0.02798379	0.03044138	0.02802855
0.04816079	0.0258426	0.02365939	0.02365939	0.03013323	0.02773052	0.03855444	0.02782254
0.05243821	0.02645328	0.02398108	0.02398108	0.02920872	0.02768944	0.03074082	0.02771677
0.04656471	0.026127	0.02342069	0.02342069	0.0294325	0.02730302	0.03621828	0.02767812
0.05056562	0.02593624	0.0241306	0.0241306	0.02942338	0.02826415	0.03937042	0.02828297
0.04967256	0.02635539	0.0242487	0.0242487	0.03022948	0.02819625	0.03683876	0.02823618
0.05044112	0.02573795	0.02351563	0.02351563	0.02892378	0.02752029	0.03106987	0.02752163
0.04884988	0.02613449	0.02331856	0.02331856	0.02838559	0.02717037	0.03862742	0.02762004
0.0501443	0.02641566	0.02423261	0.02423261	0.02927427	0.02812848	0.03180666	0.02814877
0.04923864	0.02808111	0.02395661	0.02395661	0.02963177	0.0279103	0.03575442	0.02815821
0.05351725	0.0266767	0.02373373	0.02373373	0.02950968	0.02774811	0.03028989	0.02775061
0.04918109	0.02625053	0.02383722	0.02383722	0.02982463	0.02803182	0.03033137	0.02813131
0.04829373	0.0257668	0.02337051	0.02337051	0.0295831	0.02723044	0.03062221	0.027258
0.05156751	0.02788336	0.02368966	0.02368966	0.03024658	0.02743938	0.03811475	0.02742469
0.04659785	0.02628871	0.02358425	0.02358425	0.02976383	0.02742274	0.03715118	0.02769398
0.05031952	0.02720244	0.02435812	0.02435812	0.0313496	0.02891474	0.04190343	0.02957234
0.05004459	0.02773714	0.0244729	0.0244729	0.03036537	0.02830509	0.03047994	0.02832798
0.05298283	0.02654101	0.02366281	0.02366281	0.02993877	0.02757971	0.02840273	0.02760608
0.05021719	0.02678815	0.02396441	0.02396441	0.02932913	0.02790796	0.03042534	0.02813535
0.05145864	0.02759228	0.02379243	0.02379243	0.02990781	0.02768251	0.03050175	0.02770538
0.05383199	0.02698978	0.02408561	0.02408561	0.0302379	0.02811687	0.04011706	0.02850698
0.04753235	0.02616226	0.02345398	0.02345398	0.02948196	0.02746597	0.02917844	0.02752604
0.0472271	0.02625803	0.02368443	0.02368443	0.02896229	0.02749027	0.03702786	0.02751161
0.05008564	0.02755712	0.0241883	0.0241883	0.03103126	0.02832626	0.04064926	0.02837687
0.05025357	0.02701825	0.02383998	0.02383998	0.03043197	0.02786612	0.03084793	0.02790949
0.04994189	0.02590208	0.02335307	0.02335307	0.02856714	0.02692969	0.03656367	0.02698101
0.05329789	0.02589446	0.02389554	0.02389554	0.02936012	0.02797118	0.03869583	0.0280027
0.05076947	0.02575105	0.02365257	0.02365257	0.02834072	0.02725907	0.03733894	0.02727927
0.05190427	0.02639971	0.02389725	0.02389725	0.0291917	0.02772306	0.03064887	0.02792458
0.04885608	0.02836249	0.02400358	0.02400358	0.03052157	0.02797954	0.04008159	0.02797433
0.04886479	0.02763037	0.02409737	0.02409737	0.03132263	0.02823673	0.03146393	0.02861458
0.05399204	0.02737136	0.02400208	0.02400208	0.03060669	0.02806407	0.03136074	0.02822243
0.04959321	0.02615699	0.02372061	0.02372061	0.02991022	0.02774709	0.03042064	0.02825515
0.05004824	0.02716326	0.0234378	0.0234378	0.02920984	0.02726694	0.036946	0.02729829
0.04804086	0.02733354	0.02421067	0.02421067	0.03064071	0.02812768	0.03959277	0.02812355
0.05106712	0.02626458	0.02335242	0.02335242	0.02877501	0.02714271	0.02967607	0.02724842
0.05070302	0.02666705	0.02391015	0.02391015	0.02881114	0.02757787	0.02927494	0.02760497
0.04722776	0.02588306	0.02346015	0.02346015	0.0292867	0.02740744	0.03036549	0.02745433
0.04797826	0.02737085	0.02405833	0.02405833	0.02978946	0.02818706	0.04064613	0.02819329
0.04985506	0.02603894	0.02399723	0.02399723	0.02907336	0.02780487	0.04004787	0.02781872
0.05332996	0.02676705	0.02432124	0.02432124	0.03023879	0.02821456	0.03467455	0.02831313
0.04964584	0.02590414	0.0234692	0.0234692	0.02910485	0.02704557	0.03809842	0.02769715
0.05114629	0.02758488	0.02363067	0.02363067	0.03007892	0.02756884	0.02938871	0.02780331
0.0478193	0.02517573	0.02323163	0.02323163	0.02834623	0.02696355	0.03035188	0.02709035
0.049888	0.02576887	0.02356726	0.02356726	0.02873552	0.02749706	0.02982901	0.02762153
0.05294018	0.02572782	0.02398699	0.02398699	0.02913002	0.02771713	0.03919683	0.02772688
0.0498869	0.02690284	0.0239406	0.0239406	0.03022679	0.02798264	0.03888834	0.02827698
0.05056545	0.02516388	0.02362812	0.02362812	0.02914328	0.02753588	0.03003934	0.02753114
0.04790155	0.02633459	0.02396108	0.02396108	0.02958591	0.02762443	0.02986973	0.02769468
0.04745128	0.02624997	0.02349785	0.02349785	0.02918027	0.02748667	0.03930964	0.02807433
0.04799898	0.02694431	0.02425995	0.02425995	0.03112739	0.0286428	0.02950374	0.02865903
0.04699664	0.02661314	0.02401977	0.02401977	0.02914484	0.02788488	0.02967625	0.02788458
0.05153719	0.02678014	0.02387575	0.02387575	0.03025473	0.02794183	0.03987063	0.02806558
0.04703947	0.02611472	0.02391296	0.02391296	0.02933784	0.02784929	0.04013199	0.02805884
0.05088501	0.02720733	0.02410514	0.02410514	0.03011324	0.02798422	0.0395595	0.02805784
0.04856135	0.02660097	0.02386274	0.02386274	0.03040831	0.02826919	0.0408209	0.02839999
0.048767	0.02710411	0.02397334	0.02397334	0.03079969	0.02803293	0.03004898	0.0280865
0.0473013	0.02574547	0.02338876	0.02338876	0.02895066	0.02725148	0.03743617	0.02735009
0.05049954	0.0264613	0.02349691	0.02349691	0.02975147	0.02754045	0.03013767	0.02760124
0.04887981	0.02719031	0.02408418	0.02408418	0.03051448	0.02818503	0.03960592	0.02818503
0.05143578	0.02657443	0.02378841	0.02378841	0.03002906	0.02745952	0.0322681	0.02758187
0.05228264	0.02666091	0.02393631	0.02393631	0.02925502	0.02775063	0.03831807	0.02775834
0.05070181	0.02545753	0.02393085	0.02393085	0.02939725	0.02797661	0.03898106	0.02807321
0.0479505	0.02659348	0.02327378	0.02327378	0.02909331	0.02712637	0.03007393	0.02714055
0.05180024	0.02674959	0.02421359	0.02421359	0.0297707	0.02817135	0.04038629	0.02852736
0.05228403	0.02731238	0.02417254	0.02417254	0.03000499	0.02797207	0.04079064	0.02814794
0.04727758	0.02628078	0.02389992	0.02389992	0.03012567	0.02799684	0.03047089	0.02800656
0.04996564	0.02565545	0.02355762	0.02355762	0.02942629	0.02737052	0.03172431	0.02738804
0.04779098	0.02529247	0.02314407	0.02314407	0.02821979	0.02681879	0.03787205	0.02692665
0.05046633	0.02728463	0.02383682	0.02383682	0.02954609	0.02757781	0.03419365	0.02757666
0.04998568	0.02697229	0.02391231	0.02391231	0.02960069	0.02794991	0.03019425	0.02797529
0.05018104	0.02755108	0.02445075	0.02445075	0.0303999	0.02877534	0.04045896	0.02877155
0.0509595	0.02597983	0.02372386	0.02372386	0.02863605	0.02739512	0.03820974	0.02753273
0.04987912	0.0257752	0.02340602	0.02340602	0.02967498	0.02737983	0.03832467	0.02740288
0.05140361	0.02620846	0.02376621	0.02376621	0.02902009	0.02753523	0.03357273	0.02752483
0.05037915	0.02552932	0.02343778	0.02343778	0.02906734	0.02735837	0.03810029	0.02744819
0.04969935	0.02636758	0.02405056	0.02405056	0.0299699	0.0279952	0.03080796	0.02801097
0.04959245	0.02694508	0.02399473	0.02399473	0.0303798	0.02817939	0.03456362	0.0281843
0.04766158	0.02664879	0.02370476	0.02370476	0.03022746	0.02797372	0.03060644	0.02814349
0.05084428	0.02639258	0.02433026	0.02433026	0.03005467	0.02837657	0.03018816	0.02854964
0.05042538	0.02586386	0.02414033	0.02414033	0.02901411	0.0277986	0.02907867	0.02793105
0.05107444	0.02630681	0.0239096	0.0239096	0.0297194	0.02803556	0.03082004	0.02848292
0.05052073	0.02696904	0.02377966	0.02377966	0.02922019	0.02755435	0.03415938	0.02770488
0.04670406	0.02596798	0.02342506	0.02342506	0.02894131	0.02720561	0.03935252	0.02722072
0.05051133	0.02712465	0.02391563	0.02391563	0.02987233	0.02779449	0.04031683	0.02779799
0.04887421	0.02619573	0.02348132	0.02348132	0.02973642	0.02720581	0.03961064	0.02721377
0.05046884	0.02601151	0.02405939	0.02405939	0.02888278	0.02786035	0.03398428	0.02788765
0.05049063	0.0261892	0.024316	0.024316	0.02928493	0.02786389	0.03844454	0.02786155
0.04796379	0.02726258	0.02380991	0.02380991	0.0300053	0.02798312	0.03962593	0.0279797
0.05128895	0.02582793	0.02364115	0.02364115	0.02905641	0.02773547	0.03941028	0.0278389
0.04928361	0.02604918	0.02382944	0.02382944	0.02913285	0.02775971	0.04180076	0.02776084
0.04943467	0.0253171	0.02375413	0.02375413	0.02879935	0.02759996	0.03599341	0.02758342
0.05465241	0.02506339	0.02339667	0.02339667	0.02807665	0.02708042	0.03252021	0.02711762
0.0493701	0.02669577	0.02366439	0.02366439	0.03072357	0.02777239	0.03110991	0.02807614
0.04901204	0.02612573	0.0234964	0.0234964	0.02927243	0.02728182	0.03277935	0.0272818
0.04998132	0.02704985	0.02387874	0.02387874	0.02967448	0.02782098	0.03087764	0.02799095
0.04902501	0.02593693	0.02363665	0.02363665	0.02909754	0.02729852	0.03661546	0.02764632
0.05037499	0.02641761	0.0236379	0.0236379	0.02935107	0.02759664	0.02982669	0.02761736
0.05086842	0.02587842	0.02379601	0.02379601	0.02910259	0.02770846	0.04054251	0.02774945
0.05135735	0.02726742	0.02419545	0.02419545	0.02974313	0.02795711	0.04115946	0.02797911
0.04948228	0.02606454	0.0235066	0.0235066	0.02893641	0.02725901	0.03103377	0.02726494
0.05177369	0.02563129	0.02383774	0.02383774	0.02904507	0.02800218	0.04007405	0.02802595
0.05181727	0.0277473	0.02399452	0.02399452	0.0306532	0.02798132	0.03842918	0.02809829
0.05109149	0.02747434	0.02424488	0.02424488	0.03049504	0.02808334	0.03807076	0.02881972
0.05031677	0.02716647	0.02394409	0.02394409	0.03017599	0.02799835	0.03329299	0.02799835
0.05017728	0.02635419	0.0236982	0.0236982	0.02862222	0.02762936	0.0291573	0.02774006
0.05066649	0.02666125	0.0239868	0.0239868	0.02998537	0.02768756	0.03049315	0.02775048
0.04952315	0.02642231	0.02415363	0.02415363	0.0300711	0.02829409	0.03169141	0.02846238
0.05088446	0.02593131	0.02367775	0.02367775	0.02888826	0.02762153	0.03766441	0.02770626
0.04738859	0.0261812	0.02394843	0.02394843	0.02910075	0.02783826	0.02999711	0.02786801
0.04901125	0.02722811	0.02386574	0.02386574	0.03103243	0.02790538	0.02973374	0.02789202
0.05190941	0.02765523	0.02418406	0.02418406	0.03096704	0.02818526	0.04040107	0.02819372
0.04826276	0.02668495	0.02407521	0.02407521	0.02984326	0.02820823	0.03035812	0.02837235
