SRS	ODS	RDS	OPT	ODS_SRS	RDS_SRS	PDS	OPT_SRS
0.05518716	0.03148394	0.02336094	0.02336094	0.03171308	0.02685525	0.02980951	0.02685525
0.05102269	0.03476449	0.02386831	0.02386831	0.03218598	0.02722245	0.03700709	0.0272327
0.05321993	0.03437866	0.0237686	0.0237686	0.03386952	0.02775134	0.03835984	0.02776537
0.04886529	0.03626011	0.02367773	0.02367773	0.03379102	0.02762089	0.0399225	0.02763317
0.0486706	0.03524573	0.02409626	0.02409626	0.03474345	0.02794026	0.03038091	0.02829059
0.05152823	0.0325194	0.02378521	0.02378521	0.03340747	0.02756312	0.03968842	0.02766464
0.04987689	0.03785876	0.02389637	0.02389637	0.03406864	0.02775259	0.03925036	0.02775972
0.04873994	0.03446871	0.02392105	0.02392105	0.03320922	0.0274045	0.02823421	0.02771601
0.05246792	0.03649911	0.02390124	0.02390124	0.03421439	0.02766687	0.02877371	0.02772587
0.04878254	0.03755051	0.02403404	0.02403404	0.03557272	0.02787233	0.03336134	0.02789498
0.04893412	0.03602665	0.02388797	0.02388797	0.03362392	0.0278347	0.03740358	0.02783573
0.04859459	0.03624392	0.0237765	0.0237765	0.03398258	0.02767797	0.02947242	0.02767797
0.04979536	0.03437806	0.02370362	0.02370362	0.03301315	0.02754325	0.0297453	0.0275841
0.05183605	0.03652458	0.02454607	0.02454607	0.03342496	0.02832113	0.03617704	0.02843681
0.05048127	0.03801284	0.02414614	0.02414614	0.03485081	0.02836004	0.03701598	0.02837711
0.04872472	0.04220209	0.02390444	0.02390444	0.03547389	0.02788783	0.0305048	0.0279862
0.05115448	0.03953493	0.0242089	0.0242089	0.03572019	0.02828828	0.03164557	0.02831303
0.055768	0.03649315	0.02362008	0.02362008	0.03499617	0.02766124	0.0369633	0.02766142
0.04813471	0.03287102	0.02311655	0.02311655	0.03174701	0.02679221	0.0368687	0.02679055
0.04900535	0.03605542	0.02394563	0.02394563	0.03338396	0.02794282	0.03678938	0.02806359
0.05078477	0.03921534	0.02419048	0.02419048	0.03599584	0.02854385	0.04031422	0.02886296
0.05155321	0.03737185	0.02406327	0.02406327	0.03397826	0.02779731	0.03642257	0.02792118
0.04785664	0.0340092	0.0232453	0.0232453	0.03130314	0.02710973	0.03417715	0.02728456
0.05088139	0.03340032	0.02378046	0.02378046	0.03314427	0.02783761	0.0388192	0.02786007
0.05012733	0.03636514	0.02412645	0.02412645	0.03487162	0.02836385	0.04108286	0.02842203
0.04690799	0.03394012	0.02352886	0.02352886	0.03260767	0.02696038	0.03631922	0.02705459
0.05051692	0.03572705	0.02391664	0.02391664	0.03355023	0.02764843	0.03827371	0.02780101
0.05288465	0.04476573	0.0250179	0.0250179	0.03680356	0.02919962	0.04027466	0.02929374
0.05034791	0.03385247	0.02373772	0.02373772	0.0329457	0.02769989	0.02816814	0.02784423
0.05362386	0.03690707	0.02399793	0.02399793	0.03540633	0.02801781	0.03175442	0.02828084
0.04877299	0.03442626	0.02368927	0.02368927	0.03367397	0.0272342	0.0361988	0.02738237
0.04851506	0.03527017	0.02363323	0.02363323	0.03351628	0.02765097	0.03876438	0.02770947
0.05162324	0.03621419	0.02394359	0.02394359	0.03348897	0.02789269	0.02947687	0.02814295
0.05033441	0.0359732	0.0236379	0.0236379	0.0361436	0.02763271	0.03280801	0.02764363
0.04977991	0.03482914	0.02344987	0.02344987	0.0326917	0.0268888	0.03640727	0.02691222
0.04763339	0.03481696	0.02387411	0.02387411	0.03407823	0.02765989	0.04007339	0.02808086
0.04744859	0.0420598	0.02372552	0.02372552	0.03488058	0.02773175	0.03151134	0.02784097
0.05040289	0.03685318	0.02347231	0.02347231	0.03309835	0.0273824	0.03062537	0.02744985
0.05289321	0.03734856	0.02386391	0.02386391	0.03406657	0.02772149	0.03079322	0.02772796
0.04807007	0.03312851	0.02372493	0.02372493	0.0324032	0.02760776	0.03853996	0.02761574
0.04928437	0.03483678	0.02351628	0.02351628	0.03331997	0.02720599	0.03931432	0.02722393
0.0490197	0.0385423	0.02414461	0.02414461	0.03387061	0.02791334	0.03395493	0.02803332
0.04994917	0.0341397	0.02344894	0.02344894	0.03196181	0.02716408	0.03704617	0.02718265
0.04947171	0.0356561	0.02428917	0.02428917	0.03336324	0.02826882	0.04087183	0.02828919
0.05159023	0.03444528	0.02391472	0.02391472	0.03362773	0.02764813	0.030369	0.0276475
0.04922919	0.03580096	0.02356235	0.02356235	0.03475788	0.02748158	0.02880046	0.02755329
0.05154142	0.03612296	0.0237745	0.0237745	0.03508362	0.02757748	0.03906787	0.02766932
0.05167061	0.03967874	0.0241768	0.0241768	0.03580223	0.02807238	0.04012316	0.02806877
0.05182831	0.03650292	0.02416208	0.02416208	0.0338006	0.02785754	0.03825676	0.02785919
0.04945266	0.03624953	0.02355521	0.02355521	0.03514128	0.02755834	0.04131746	0.0275752
0.05020784	0.03401956	0.02386403	0.02386403	0.03320955	0.02760737	0.02979743	0.02760868
0.04998039	0.03433059	0.0240215	0.0240215	0.03512694	0.02809614	0.04080546	0.02812954
0.0537735	0.03830241	0.02385314	0.02385314	0.03417952	0.02799351	0.03099616	0.02800562
0.04767913	0.03406096	0.02379608	0.02379608	0.03368216	0.02756876	0.04181252	0.02757848
0.05133043	0.03475219	0.02384771	0.02384771	0.03374497	0.02798379	0.03044138	0.02802855
0.04816079	0.03612274	0.02365939	0.02365939	0.03338407	0.02773052	0.03855444	0.02782254
0.05243821	0.03621275	0.02398108	0.02398108	0.03289883	0.02768944	0.03074082	0.02771677
0.04656471	0.03890652	0.02342069	0.02342069	0.03352873	0.02730302	0.03621828	0.02767812
0.05056562	0.03394659	0.0241306	0.0241306	0.03375911	0.02826415	0.03937042	0.02828297
0.04967256	0.03633091	0.0242487	0.0242487	0.03497349	0.02819625	0.03683876	0.02823618
0.05044112	0.03348643	0.02351563	0.02351563	0.03253643	0.02752029	0.03106987	0.02752163
0.04884988	0.03430581	0.02331856	0.02331856	0.03225123	0.02717037	0.03862742	0.02762004
0.0501443	0.03353296	0.02423261	0.02423261	0.03459558	0.02812848	0.03180666	0.02814877
0.04923864	0.0373019	0.02395661	0.02395661	0.0336852	0.0279103	0.03575442	0.02815821
0.05351725	0.0351363	0.02373373	0.02373373	0.03349692	0.02774811	0.03028989	0.02775061
0.04918109	0.03580617	0.02383722	0.02383722	0.03503337	0.02803182	0.03033137	0.02813131
0.04829373	0.03619971	0.02337051	0.02337051	0.03392249	0.02723044	0.03062221	0.027258
0.05156751	0.04096073	0.02368966	0.02368966	0.03501272	0.02743938	0.03811475	0.02742469
0.04659785	0.03686149	0.02358425	0.02358425	0.03396065	0.02742274	0.03715118	0.02769398
0.05031952	0.03971596	0.02435812	0.02435812	0.03580792	0.02891474	0.04190343	0.02957234
0.05004459	0.03739184	0.0244729	0.0244729	0.03570811	0.02830509	0.03047994	0.02832798
0.05298283	0.03570873	0.02366281	0.02366281	0.03529844	0.02757971	0.02840273	0.02760608
0.05021719	0.0357844	0.02396441	0.02396441	0.03404087	0.02790796	0.03042534	0.02813535
0.05145864	0.04003593	0.02379243	0.02379243	0.03442962	0.02768251	0.03050175	0.02770538
0.05383199	0.0378791	0.02408561	0.02408561	0.03505298	0.02811687	0.04011706	0.02850698
0.04753235	0.03810083	0.02345398	0.02345398	0.03403592	0.02746597	0.02917844	0.02752604
0.0472271	0.03409786	0.02368443	0.02368443	0.03366435	0.02749027	0.03702786	0.02751161
0.05008564	0.04047448	0.0241883	0.0241883	0.03713723	0.02832626	0.04064926	0.02837687
0.05025357	0.03674804	0.02383998	0.02383998	0.03808477	0.02786612	0.03084793	0.02790949
0.04994189	0.03451751	0.02335307	0.02335307	0.03240019	0.02692969	0.03656367	0.02698101
0.05329789	0.03644443	0.02389554	0.02389554	0.03388282	0.02797118	0.03869583	0.0280027
0.05076947	0.0321445	0.02365257	0.02365257	0.03227637	0.02725907	0.03733894	0.02727927
0.05190427	0.03645861	0.02389725	0.02389725	0.0343422	0.02772306	0.03064887	0.02792458
0.04885608	0.04342793	0.02400358	0.02400358	0.03545135	0.02797954	0.04008159	0.02797433
0.04886479	0.04303225	0.02409737	0.02409737	0.03612026	0.02823673	0.03146393	0.02861458
0.05399204	0.03729825	0.02400208	0.02400208	0.03560702	0.02806407	0.03136074	0.02822243
0.04959321	0.03751845	0.02372061	0.02372061	0.03485374	0.02774709	0.03042064	0.02825515
0.05004824	0.03560783	0.0234378	0.0234378	0.03341405	0.02726694	0.036946	0.02729829
0.04804086	0.03848204	0.02421067	0.02421067	0.03495482	0.02812768	0.03959277	0.02812355
0.05106712	0.03524417	0.02335242	0.02335242	0.03309121	0.02714271	0.02967607	0.02724842
0.05070302	0.035622	0.02391015	0.02391015	0.03230968	0.02757787	0.02927494	0.02760497
0.04722776	0.03435505	0.02346015	0.02346015	0.03245701	0.02740744	0.03036549	0.02745433
0.04797826	0.03616505	0.02405833	0.02405833	0.03439559	0.02818706	0.04064613	0.02819329
0.04985506	0.03407109	0.02399723	0.02399723	0.03269615	0.02780487	0.04004787	0.02781872
0.05332996	0.03795448	0.02432124	0.02432124	0.03425268	0.02821456	0.03467455	0.02831313
0.04964584	0.03681454	0.0234692	0.0234692	0.03346137	0.02704557	0.03809842	0.02769715
0.05114629	0.03860129	0.02363067	0.02363067	0.03400498	0.02756884	0.02938871	0.02780331
0.0478193	0.03227692	0.02323163	0.02323163	0.03313787	0.02696355	0.03035188	0.02709035
0.049888	0.03354577	0.02356726	0.02356726	0.03292543	0.02749706	0.02982901	0.02762153
0.05294018	0.03413844	0.02398699	0.02398699	0.03270534	0.02771713	0.03919683	0.02772688
0.0498869	0.03595217	0.0239406	0.0239406	0.03397193	0.02798264	0.03888834	0.02827698
0.05056545	0.03361315	0.02362812	0.02362812	0.03304462	0.02753588	0.03003934	0.02753114
0.04790155	0.03691153	0.02396108	0.02396108	0.0337581	0.02762443	0.02986973	0.02769468
0.04745128	0.0360598	0.02349785	0.02349785	0.03368102	0.02748667	0.03930964	0.02807433
0.04799898	0.03955954	0.02425995	0.02425995	0.0364502	0.0286428	0.02950374	0.02865903
0.04699664	0.0390716	0.02401977	0.02401977	0.03452311	0.02788488	0.02967625	0.02788458
0.05153719	0.03769904	0.02387575	0.02387575	0.03415997	0.02794183	0.03987063	0.02806558
0.04703947	0.03763946	0.02391296	0.02391296	0.03408989	0.02784929	0.04013199	0.02805884
0.05088501	0.03784616	0.02410514	0.02410514	0.0342235	0.02798422	0.0395595	0.02805784
0.04856135	0.03570742	0.02386274	0.02386274	0.03637053	0.02826919	0.0408209	0.02839999
0.048767	0.04018258	0.02397334	0.02397334	0.03462152	0.02803293	0.03004898	0.0280865
0.0473013	0.03575501	0.02338876	0.02338876	0.0328845	0.02725148	0.03743617	0.02735009
0.05049954	0.03580235	0.02349691	0.02349691	0.03327271	0.02754045	0.03013767	0.02760124
0.04887981	0.0387314	0.02408418	0.02408418	0.03545768	0.02818503	0.03960592	0.02818503
0.05143578	0.04000631	0.02378841	0.02378841	0.03403821	0.02745952	0.0322681	0.02758187
0.05228264	0.03588034	0.02393631	0.02393631	0.03340802	0.02775063	0.03831807	0.02775834
0.05070181	0.03536498	0.02393085	0.02393085	0.03357816	0.02797661	0.03898106	0.02807321
0.0479505	0.03558068	0.02327378	0.02327378	0.03199377	0.02712637	0.03007393	0.02714055
0.05180024	0.03566823	0.02421359	0.02421359	0.03457429	0.02817135	0.04038629	0.02852736
0.05228403	0.03830976	0.02417254	0.02417254	0.03522812	0.02797207	0.04079064	0.02814794
0.04727758	0.03683279	0.02389992	0.02389992	0.03450758	0.02799684	0.03047089	0.02800656
0.04996564	0.03732528	0.02355762	0.02355762	0.03258245	0.02737052	0.03172431	0.02738804
0.04779098	0.0319242	0.02314407	0.02314407	0.03133402	0.02681879	0.03787205	0.02692665
0.05046633	0.03917232	0.02383682	0.02383682	0.03391185	0.02757781	0.03419365	0.02757666
0.04998568	0.03592319	0.02391231	0.02391231	0.03413592	0.02794991	0.03019425	0.02797529
0.05018104	0.0380179	0.02445075	0.02445075	0.03559432	0.02877534	0.04045896	0.02877155
0.0509595	0.03306527	0.02372386	0.02372386	0.0320885	0.02739512	0.03820974	0.02753273
0.04987912	0.03570221	0.02340602	0.02340602	0.03433897	0.02737983	0.03832467	0.02740288
0.05140361	0.03617618	0.02376621	0.02376621	0.0332512	0.02753523	0.03357273	0.02752483
