SRS	ODS	RDS	OPS	ODS_SRS	RDS_SRS	PDS	OPS_SRS
0.3109601	0.2424316	0.2477032	0.2461475	0.2613202	0.2469248	0.2365564	0.2365784
0.3187274	0.3033722	0.2872443	0.2751454	0.2860266	0.3059915	0.2842292	0.2845436
0.2796551	0.252125	0.2502371	0.2484874	0.2200273	0.2472816	0.2548883	0.2476397
0.2361032	0.3289287	0.2673866	0.2554302	0.2756366	0.2754703	0.2794391	0.2555415
0.2708334	0.2925114	0.3050966	0.2552162	0.2865678	0.2523965	0.2560941	0.2478676
0.2665008	0.3210938	0.3199521	0.3228209	0.3035828	0.3275444	0.314411	0.3085005
0.334554	0.3170562	0.3152526	0.3156414	0.2916925	0.3153472	0.311709	0.3149545
0.3219449	0.2252962	0.2323364	0.2360301	0.2229124	0.2300912	0.2270484	0.2270484
0.2910522	0.2586018	0.2523498	0.256517	0.2024288	0.2232966	0.2596202	0.2522339
0.279938	0.376215	0.3469687	0.3916195	0.3361044	0.3283424	0.3276845	0.331027
0.2720198	0.3579747	0.3187303	0.3020308	0.3861117	0.3875221	0.3600711	0.3600643
0.268035	0.2890067	0.2509829	0.2750553	0.3016056	0.2812041	0.3123462	0.291231
0.2577923	0.2729794	0.287308	0.2818801	0.2557294	0.2509484	0.2814614	0.2732906
0.3672873	0.3088421	0.3176294	0.3143345	0.2876385	0.2976607	0.3047807	0.3047807
0.3495756	0.3693628	0.3489972	0.3544986	0.3467723	0.3380965	0.330478	0.3322491
0.3462463	0.2794769	0.2610617	0.2798144	0.2883072	0.2916377	0.3047006	0.3114566
0.3088031	0.3584448	0.321004	0.3246336	0.3318665	0.3283406	0.3350458	0.3252352
0.3091706	0.238095	0.2573743	0.2561864	0.2585587	0.2547766	0.2528294	0.243864
0.2268422	0.2589733	0.2707402	0.2897734	0.2610967	0.2626412	0.2784149	0.2767693
0.2897917	0.2822685	0.2836523	0.29901	0.253646	0.2720299	0.2551902	0.2796741
0.3389003	0.370456	0.319211	0.3070874	0.3560153	0.4176395	0.3159596	0.3159596
0.3700463	0.3205065	0.3133153	0.3380686	0.2867189	0.2981855	0.2477033	0.3289442
0.2647423	0.2835406	0.271497	0.2975602	0.2630311	0.2510354	0.2682431	0.265993
0.3165769	0.3465618	0.3344167	0.3064667	0.3101998	0.2990548	0.2860544	0.2893662
0.3155431	0.2649908	0.3074362	0.2884246	0.3313334	0.2980335	0.2957976	0.2966923
0.3047088	0.284615	0.2592742	0.2615516	0.285052	0.2934742	0.2590175	0.2583699
0.2843298	0.2681508	0.2763158	0.3063147	0.2500198	0.2697604	0.2850615	0.2873269
0.296925	0.2674861	0.2551874	0.245637	0.2866389	0.2668926	0.2459782	0.245419
0.2732084	0.3328564	0.3105375	0.3040658	0.340534	0.352072	0.3102548	0.3020897
0.3150164	0.2784717	0.2873813	0.2747522	0.2750712	0.2461225	0.2682678	0.2583811
0.2990152	0.2867551	0.2781503	0.2559067	0.2672237	0.2516276	0.2443825	0.2575351
0.3275724	0.2690004	0.3074611	0.2890237	0.2992122	0.2849489	0.3249437	0.3147434
0.1986361	0.2433882	0.2613865	0.2651792	0.2112713	0.2390688	0.2202414	0.2678574
