SRS	ODS	RDS	OPS	ODS_SRS	RDS_SRS	PDS	OPS_SRS
0.3109601	0.2549475	0.2477032	0.2461475	0.2793863	0.2469248	0.2365564	0.2365784
0.3187274	0.2660184	0.2872443	0.2751454	0.2916443	0.3059915	0.2842292	0.2845436
0.2796551	0.2561728	0.2502371	0.2484874	0.2309551	0.2472816	0.2548883	0.2476397
0.2361032	0.2924151	0.2673866	0.2554302	0.2628622	0.2754703	0.2794391	0.2555415
0.2708334	0.3243744	0.3050966	0.2552162	0.2977006	0.2523965	0.2560941	0.2478676
0.2665008	0.293615	0.3199521	0.3228209	0.3044776	0.3275444	0.314411	0.3085005
0.334554	0.2868886	0.3152526	0.3156414	0.2898685	0.3153472	0.311709	0.3149545
0.3219449	0.2147077	0.2323364	0.2360301	0.214836	0.2300912	0.2270484	0.2270484
0.2910522	0.2387651	0.2523498	0.256517	0.2020886	0.2232966	0.2596202	0.2522339
0.279938	0.4057283	0.3469687	0.3916195	0.3466868	0.3283424	0.3276845	0.331027
0.2720198	0.3486033	0.3187303	0.3020308	0.3941359	0.3875221	0.3600711	0.3600643
0.268035	0.2650635	0.2509829	0.2750553	0.2989417	0.2812041	0.3123462	0.291231
0.2577923	0.2775518	0.287308	0.2818801	0.2485228	0.2509484	0.2814614	0.2732906
0.3672873	0.2939375	0.3176294	0.3143345	0.2734174	0.2976607	0.3047807	0.3047807
0.3495756	0.3947568	0.3489972	0.3544986	0.3430398	0.3380965	0.330478	0.3322491
0.3462463	0.2553997	0.2610617	0.2798144	0.291068	0.2916377	0.3047006	0.3114566
0.3088031	0.3215119	0.321004	0.3246336	0.3725891	0.3283406	0.3350458	0.3252352
0.3091706	0.2408887	0.2573743	0.2561864	0.2816024	0.2547766	0.2528294	0.243864
0.2268422	0.253037	0.2707402	0.2897734	0.2853247	0.2626412	0.2784149	0.2767693
0.2897917	0.2932351	0.2836523	0.29901	0.2251892	0.2720299	0.2551902	0.2796741
0.3389003	0.3097141	0.319211	0.3070874	0.3195917	0.4176395	0.3159596	0.3159596
0.3700463	0.3184172	0.3133153	0.3380686	0.2559086	0.2981855	0.2477033	0.3289442
0.2647423	0.2893015	0.271497	0.2975602	0.2443942	0.2510354	0.2682431	0.265993
0.3165769	0.3702788	0.3344167	0.3064667	0.2951992	0.2990548	0.2860544	0.2893662
0.3155431	0.2981713	0.3074362	0.2884246	0.3455435	0.2980335	0.2957976	0.2966923
0.3047088	0.2513332	0.2592742	0.2615516	0.2850805	0.2934742	0.2590175	0.2583699
0.2843298	0.2807183	0.2763158	0.3063147	0.230045	0.2697604	0.2850615	0.2873269
0.296925	0.3430919	0.2551874	0.245637	0.253693	0.2668926	0.2459782	0.245419
0.2732084	0.3049059	0.3105375	0.3040658	0.3432498	0.352072	0.3102548	0.3020897
0.3150164	0.2985893	0.2873813	0.2747522	0.3161044	0.2461225	0.2682678	0.2583811
