SRS	ODS	RDS	OPS	ODS_SRS	RDS_SRS	PDS	OPS_SRS
-0.01378461	-0.02199534	-0.02577831	-0.01570958	-0.005208432	-0.03707335	-0.0157804	-0.02699863
0.02275939	-0.02891226	0.01174115	0.003663445	0.01708587	0.02096904	0.0297142	0.00143424
-0.02562264	-0.04269936	-0.0477191	-0.03263672	-0.03817676	-0.05075388	-0.03289137	-0.05743507
-0.07202407	-0.01701242	-0.007089266	-0.01910601	-0.005098173	-0.04239368	-0.02711844	-0.0154179
-0.01897647	-0.02221603	-0.01475855	-0.03887062	-0.01129448	-0.04067997	-0.04653187	-0.05051135
-0.1351902	0.02485311	-0.009765957	-0.01579302	0.01496751	0.03328928	-0.07776673	0.006398603
0.06522635	-0.006387108	-0.0242824	-0.007233129	-0.01493868	-0.03140089	-0.04143939	-0.008869467
0.06315857	-0.04966943	-0.03272371	-0.007754471	-0.03509819	-0.0666138	-0.06770022	-0.03595729
-0.04593509	-0.05352588	-0.08572072	-0.04907873	-0.08856307	-0.08488282	-0.1179221	-0.07603173
-0.02281515	0.09270433	0.07861895	0.04884549	0.05180843	0.05886687	0.05224904	0.06734019
-0.03546909	0.008047022	0.02910177	-0.0003900507	0.08054042	0.02607722	0.1083221	0.05174683
0.01297326	-0.0178735	-0.008113611	0.006496324	-0.03005379	-0.04855955	-0.04159663	0.005684538
-0.03819671	-0.02915448	-0.03724125	-0.0252169	-0.04920568	-0.03770007	-0.07713802	-0.04444506
0.0890117	-0.008778738	-0.01415869	-0.006946588	-0.01527926	-0.005086294	-0.07212893	-0.03405652
0.06584983	0.05942793	0.04651842	0.03477344	0.07591602	0.06250555	0.03145729	0.02959743
0.06562209	-0.007573838	-0.02188142	-0.006232653	-0.0219853	-0.0019851	-0.02122117	-0.001192855
-0.00490697	0.001689423	0.008167193	-0.007309868	-0.0006685082	0.01236191	0.02352727	0.00240953
0.002212595	-0.03423163	-0.01521677	-0.0174513	0.005435072	-0.01241312	-0.003218328	-0.02963662
-0.04279283	-0.03223472	-0.01651969	0.003445901	-0.0311752	-0.01013248	-0.008335679	0.001165191
0.003017463	0.02065038	0.01974359	0.0135438	-0.033218	-0.01081614	-0.01097969	0.008132709
-0.002096214	0.02710809	0.03409855	0.01981332	0.02659033	0.03215179	0.01409776	0.0286642
0.0514819	-0.01332468	0.02893614	0.03399351	-0.02912098	-0.03422867	-0.02096238	0.0333486
-0.01760692	0.007297617	0.005839006	-0.007323142	-0.009081418	0.01103751	-0.00575407	0.005832277
0.0270053	0.04481183	0.05598748	0.01254795	0.03364197	0.03301148	0.03023065	0.01482364
0.01706494	-0.04223449	-0.036407	-0.02944349	0.006692145	-0.01587668	-0.04869272	-0.03848956
0.01763533	-0.02427813	-0.02574937	-0.02791284	0.0002469246	-0.04476672	-0.02904227	-0.02519642
0.01642766	-0.01707301	-0.003449753	0.003012937	-0.03018499	-0.01604554	0.06208486	0.01496909
-0.009523016	-0.02246113	-0.01890883	-0.0436508	-0.07377092	-0.03620472	-0.06911073	-0.01629577
-0.04360025	0.009442824	0.007849987	-0.01818912	0.0545798	0.008207693	-0.03310097	0.003434364
-0.005587487	-0.02515959	-0.02502072	-0.01620838	-0.009684897	-0.009481527	-0.0002377791	-0.03484816
0.004613384	-0.02725185	-0.01189746	-0.03096548	-0.01237983	-0.02945541	-0.05952662	-0.03738885
0.0546374	0.008789687	-0.003040683	0.01738103	-0.0001959651	-0.009143803	0.01353502	0.01213367
-0.07707335	-0.05615286	-0.04610928	-0.02594376	-0.0343672	-0.04837935	-0.06799753	-0.04215052
-0.03256794	-0.02036225	0.002247813	-0.001087652	-0.04191585	-0.0375024	-0.02833671	0.000807798
0.1257515	-0.0266337	-0.0291705	-0.03451821	-0.04354197	-0.04155733	-0.03203461	-0.03671602
0.01919736	0.01198921	0.01964397	0.0006832388	-0.003823198	-0.001706776	0.06093013	0.01169106
-0.0442183	-0.03733359	-0.04888161	-0.07030542	-0.08915914	-0.07555457	-0.07999077	-0.07996906
0.01337754	-0.02492274	-0.007008834	0.01602205	0.01401807	0.0144887	0.003799355	0.005409876
0.0265643	-0.02567473	-0.01829425	-0.002510371	-0.03177409	-0.02859426	-0.06392129	-0.01108062
0.01882521	0.008098001	0.005213401	-0.0312696	0.01363365	-0.0003211176	-0.03854621	-0.0293163
-0.005261537	0.02697767	0.02591094	0.02173516	0.03225622	0.02343611	0.06431418	0.01694411
-0.008634127	0.02878203	0.03772893	0.0284686	0.07922166	0.04487589	0.04059199	0.03934204
-0.09131739	-0.03177901	-0.03781345	-0.02977169	-0.05173505	-0.05234841	-0.03158244	-0.02035423
-0.05694835	0.02341671	0.01580247	0.009363261	0.05183463	0.02187415	0.0620484	0.004980834
-0.03009378	-0.02492727	-0.01511548	-0.02843701	-0.009634214	-0.01113527	0.008863537	-0.03424201
-0.09464979	-0.0004343536	-0.001834636	-0.02367204	-0.001424033	0.02446006	0.002022309	-0.01227869
-0.1253236	-0.01356976	-0.03320055	-0.0430107	-0.04602717	-0.007117841	-0.002583819	-0.04141285
-0.04504149	0.02405363	0.005316648	0.006812315	-0.02814046	0.007316271	-0.007925809	-0.02762391
-0.001516711	-0.001189447	0.01871744	0.02179191	-0.005447467	0.01486264	-0.0163906	-0.0149936
0.02366184	0.01534808	0.03006616	0.02893787	-0.013706	0.0159867	-0.02109796	0.01369328
0.006443691	0.0436403	-0.02454127	0.004858791	-0.01817479	-0.004687732	-0.01235753	-0.04300993
0.009871704	-0.001478298	0.01634109	-0.002725538	0.008522986	0.0139575	-0.05686071	0.04197219
0.003796665	-0.007622909	-0.0003956355	-0.0130995	0.01525315	-0.001735192	0.007721607	-0.0150565
-0.001376628	0.0191763	0.01464635	-0.003507223	0.0382383	0.005264744	-0.008521206	-0.002170273
0.1177493	0.00960175	-0.01841974	0.0003920178	-0.0009472272	0.0002427567	-0.01750893	-0.02125939
-0.05216402	-0.05992376	-0.0452393	-0.007726076	-0.007329916	-0.02588819	-0.02097115	0.00108587
0.08905002	-0.02820587	-0.01860772	-0.007471651	-0.03938639	-0.01469576	-0.007027419	0.002261765
-0.04616693	0.05665183	0.04934708	0.02996872	0.05820774	0.05412337	-0.01021141	0.03593673
0.04615417	-0.003490893	-0.02060494	0.003659332	-0.00187154	-0.01018051	0.003984111	0.0004962598
0.01393849	-0.03934774	-0.02539486	-0.02298278	-0.0301714	-0.04853761	-0.04550986	-0.03766781
0.01132479	-0.02003769	-0.02035911	-0.007686975	0.02292664	-0.02705257	-0.01711895	-0.04357933
-0.01658435	0.003342804	0.005741085	-0.00689972	0.01323104	0.030369	-0.040132	0.009256646
0.03410981	0.0484974	0.04393037	0.0455136	0.05165528	0.03958496	0.06555014	0.07164644
-0.1405791	-0.05930065	-0.03150343	-0.0251339	-0.04326418	-0.05926449	-0.03200573	-0.01830542
-0.05221041	0.03637682	0.03586997	0.01115117	0.02087458	-0.001025757	0.1003649	0.05362089
0.07105585	-0.04644518	-0.04911013	-0.02858778	-0.0201473	-0.03379233	-0.02073063	-0.0113034
0.02186226	0.06980538	0.04076528	0.0463474	0.04602225	0.06591897	0.0500455	0.04800444
0.03461466	-0.02964641	-0.01247916	0.00810102	0.03102558	0.03060075	0.05894259	0.02673173
-0.01753627	0.009510798	0.04959294	0.04886828	-0.01026787	0.01557338	0.04013872	0.05386229
-0.009753716	0.03585401	0.01792634	0.0274159	0.01440614	0.02062246	0.002604179	0.004327848
0.06860733	0.02514106	0.004320382	0.0323746	0.0183877	-0.004295562	0.0276478	0.02467611
0.01957289	0.04309708	0.01708008	0.01077582	0.04362312	0.02260462	-0.01928005	0.0364744
-0.06712286	-0.0316297	-0.01438522	-0.03621825	0.01177203	0.008066833	-0.07538879	-0.04784315
-0.03740486	-0.00900719	-0.007853274	-0.007724901	-0.01376835	0.002632085	0.002878667	0.0208658
0.03630924	-0.001183763	-0.01750225	-0.01116459	0.01155106	-0.01423496	0.007006341	-0.03097799
-0.1000884	0.005414127	0.008594296	-0.008908948	-0.027079	-0.03051674	-0.03552301	-0.009768595
-0.07932363	-0.07080074	-0.06475141	-0.06051418	-0.05812542	-0.07585415	-0.08981503	-0.06721224
