SRS	ODS	RDS	OPS	ODS_SRS	RDS_SRS	PDS	OPS_SRS
0.3448537	0.2714184	0.2743339	0.2743339	0.2696885	0.2833165	0.2774371	0.2833165
0.3363217	0.299276	0.2908098	0.2908098	0.3016332	0.3159073	0.3153617	0.3174104
0.3130126	0.2634549	0.2557036	0.2557036	0.2558263	0.2585554	0.2391935	0.262045
0.2544471	0.3321836	0.2806577	0.2806577	0.267315	0.2769768	0.2713575	0.2879418
0.2741545	0.3143759	0.3036031	0.3036031	0.2783269	0.2500921	0.2857688	0.2715207
0.2635382	0.3130415	0.303154	0.303154	0.2928763	0.3158814	0.2971484	0.294665
0.3531613	0.3116545	0.3246735	0.3246735	0.2954316	0.3202254	0.3137163	0.3215665
0.3311161	0.2459654	0.2647453	0.2647453	0.2410002	0.2435378	0.2435414	0.2565501
0.2714725	0.2551044	0.2604779	0.2604779	0.2295414	0.2290226	0.2261125	0.2186553
0.2765166	0.3447258	0.3282751	0.3282751	0.3398198	0.3249271	0.2823297	0.3205373
0.2585395	0.3227166	0.321105	0.321105	0.3425191	0.3605901	0.3749335	0.3473803
0.2834214	0.2869435	0.2592321	0.2592321	0.324268	0.2851687	0.26015	0.2818448
0.2751229	0.2806786	0.2758142	0.2758142	0.2557392	0.2472573	0.2750499	0.2407011
0.3576589	0.3101297	0.3147247	0.3147247	0.2618677	0.2934169	0.2960801	0.2948251
0.3289877	0.3463002	0.3522304	0.3522304	0.3370683	0.3411292	0.3325467	0.3476639
0.3428127	0.2562278	0.2356719	0.2356719	0.2748089	0.3007819	0.2778613	0.2929345
0.3087276	0.342615	0.3146707	0.3146707	0.344134	0.3264755	0.3462176	0.3225118
0.3688534	0.2460105	0.2704241	0.2704241	0.2640791	0.2741319	0.2682624	0.2721832
0.2576202	0.2867249	0.2738629	0.2738629	0.2751852	0.2775676	0.2891672	0.2805495
0.2996067	0.2908094	0.282413	0.282413	0.2713944	0.2889881	0.2275964	0.283054
0.3198704	0.3505554	0.3431139	0.3431139	0.3591588	0.3974672	0.3436874	0.3578705
0.3710989	0.3201192	0.3062043	0.3062043	0.2621115	0.3045357	0.2422611	0.2746673
0.2608787	0.3059699	0.2722462	0.2722462	0.2743401	0.2941478	0.2709982	0.2805826
0.3186075	0.3427796	0.3183789	0.3183789	0.3136166	0.3025619	0.2850527	0.3033394
0.3147807	0.2920503	0.2971189	0.2971189	0.3180432	0.3000976	0.3078915	0.3097377
0.3173981	0.280629	0.2665263	0.2665263	0.2835988	0.2911219	0.2949009	0.2847815
0.3260481	0.2611721	0.2840796	0.2840796	0.2657706	0.2686523	0.2565838	0.2684259
0.2964003	0.2767052	0.2652469	0.2652469	0.3183609	0.2933636	0.25736	0.2928354
0.2678575	0.3439197	0.3150126	0.3150126	0.3468918	0.363551	0.3624327	0.371797
0.3313268	0.272742	0.2939808	0.2939808	0.2806733	0.2611944	0.284307	0.2659144
0.3158634	0.3057969	0.2745185	0.2745185	0.2769522	0.2752723	0.2600372	0.2513308
0.291319	0.2741626	0.3006421	0.3006421	0.293639	0.2899708	0.2955122	0.294149
