SRS	ODS	RDS	OPS	ODS_SRS	RDS_SRS	PDS	OPS_SRS
0.5502349	0.4644968	0.4864102	0.4864102	0.4910685	0.4545487	0.4974618	0.4545487
0.5237945	0.4743672	0.491384	0.491384	0.500754	0.5008781	0.4998808	0.5053715
0.5126039	0.4524758	0.4455777	0.4455777	0.4482162	0.4777969	0.4613504	0.4707753
0.4506195	0.5026333	0.4864797	0.4864797	0.4403979	0.4462403	0.4497664	0.4602973
0.4646768	0.5271413	0.4414177	0.4414177	0.4491415	0.4425719	0.4476433	0.4408804
0.4982192	0.4822189	0.4798893	0.4798893	0.4758298	0.5173041	0.4975808	0.5077752
0.5402252	0.551615	0.5421041	0.5421041	0.5125769	0.5011542	0.4906502	0.5027013
0.5118085	0.4703837	0.452147	0.452147	0.4587716	0.4274665	0.4423956	0.4349339
0.4800078	0.4174834	0.4619686	0.4619686	0.4004707	0.4341932	0.4110611	0.4336016
0.4804892	0.5941737	0.5198509	0.5198509	0.5284222	0.5316099	0.5381084	0.5289333
0.4588481	0.4724202	0.495068	0.495068	0.5271515	0.531824	0.54646	0.534471
0.4778417	0.4632178	0.4732829	0.4732829	0.5223736	0.5247318	0.4697883	0.5184223
0.4684596	0.4586989	0.4492811	0.4492811	0.4498121	0.4502866	0.4599284	0.4497631
0.5515854	0.5153702	0.5513466	0.5513466	0.4753698	0.4769542	0.4733509	0.4804515
0.5255328	0.5423822	0.529991	0.529991	0.5040135	0.5245358	0.5167084	0.521226
0.5239781	0.4696643	0.466995	0.466995	0.4976001	0.4989769	0.5146282	0.5158788
0.5142213	0.6061978	0.5034258	0.5034258	0.5552632	0.5496495	0.5353446	0.5452339
0.5679015	0.4396968	0.4368528	0.4368528	0.4866291	0.5002201	0.4309231	0.4976035
0.4553949	0.4773743	0.4853936	0.4853936	0.4583378	0.4565034	0.4687484	0.4685087
0.5081086	0.4878099	0.5355712	0.5355712	0.4571547	0.4931578	0.4688438	0.4858081
0.5255249	0.5289224	0.5729811	0.5729811	0.5353682	0.5647448	0.5512522	0.5708668
0.5719275	0.4417508	0.5318717	0.5318717	0.4522337	0.4868386	0.451451	0.4816934
0.4553993	0.456028	0.4763528	0.4763528	0.4445861	0.4892489	0.462265	0.47401
0.5136115	0.5525737	0.5367689	0.5367689	0.4805802	0.4867807	0.4782372	0.4921476
0.5134795	0.4690134	0.5172817	0.5172817	0.5106077	0.4928702	0.502939	0.4922746
0.5036078	0.4380138	0.4743265	0.4743265	0.5053772	0.4811003	0.4996404	0.4732829
0.5270326	0.4498203	0.4609688	0.4609688	0.4426351	0.4509404	0.4483807	0.4607006
0.5009229	0.5632534	0.5007171	0.5007171	0.4883772	0.5163865	0.4889804	0.4938241
0.4738142	0.5298474	0.5635963	0.5635963	0.5346759	0.5329502	0.5318669	0.541852
0.5465715	0.5483863	0.4629846	0.4629846	0.5135486	0.4813547	0.4955874	0.4758487
0.5080317	0.5290701	0.4620039	0.4620039	0.4491299	0.4536946	0.4588683	0.4356719
0.4858121	0.4369981	0.4750993	0.4750993	0.514724	0.5051375	0.4936209	0.5053897
0.4954264	0.5474256	0.4471795	0.4471795	0.4806986	0.4868537	0.4643098	0.4845625
0.4799635	0.4820273	0.4797685	0.4797685	0.4745854	0.4758867	0.4753386	0.4726952
0.5622986	0.4199196	0.4484431	0.4484431	0.4009268	0.4024156	0.4021816	0.4123301
0.5046123	0.4642589	0.5112218	0.5112218	0.497017	0.5083001	0.5108576	0.5090315
0.4628316	0.3713654	0.4530444	0.4530444	0.4149874	0.5087639	0.4898984	0.5001097
0.5074045	0.43295	0.4659524	0.4659524	0.5195865	0.5244472	0.5151388	0.5466366
0.5404339	0.4073254	0.4436446	0.4436446	0.4178637	0.4330962	0.4224252	0.4333948
0.5051469	0.5699826	0.5746831	0.5746831	0.5380439	0.5146354	0.5060979	0.5146354
