SRS	ODS	RDS	OPS	ODS_SRS	RDS_SRS	PDS	OPS_SRS
-0.01773472	-0.01026019	-0.01447375	-0.01447375	-0.00285163	-0.02614215	-0.01382198	-0.02614215
0.04252049	-0.01944511	0.01253288	0.01253288	0.02316907	0.02037874	0.04821709	0.01549505
-0.01703296	-0.02604542	-0.03473856	-0.03473856	-0.03360536	-0.03759807	-0.02373786	-0.04658333
-0.03721354	-0.01432662	-0.004252089	-0.004252089	-0.009345503	-0.03165631	-0.02464264	-0.01779836
-0.005593988	-0.0110204	-0.004596919	-0.004596919	0.001086017	-0.02201249	-0.04084731	-0.01499445
-0.07748113	0.01356876	-0.01312408	-0.01312408	0.004029196	0.01965329	-0.05084463	0.03280818
0.05964308	-0.006092874	-0.02083908	-0.02083908	-0.01372669	-0.02559114	-0.04394242	-0.02312113
0.05319606	-0.03469817	-0.02394048	-0.02394048	-0.02697178	-0.05433489	-0.06284575	-0.04587863
-0.05433224	-0.04771347	-0.07507735	-0.07507735	-0.07299373	-0.06902517	-0.07441122	-0.06211255
-0.01910015	0.06437768	0.05191221	0.05191221	0.04310081	0.04666259	0.03793311	0.04789945
-0.03065243	0.0008743759	0.01956469	0.01956469	0.06078914	0.01779355	0.08236107	0.01954986
-0.007288048	-0.02289658	-0.01711784	-0.01711784	-0.02770673	-0.03836022	-0.03177536	-0.03836022
-0.02452806	-0.02437813	-0.03198565	-0.03198565	-0.04799802	-0.02915382	-0.05105825	-0.03960422
0.05785309	-0.006228224	-0.006771663	-0.006771663	-0.01624987	-0.004129103	-0.01690154	-0.02209138
0.0334488	0.04803064	0.04199036	0.04199036	0.06283255	0.05226222	0.02600695	0.05357615
0.06374403	-0.01628552	-0.02330231	-0.02330231	-0.03138657	-0.01106032	-0.0153752	-0.01340204
-0.006915119	0.007150783	0.01079934	0.01079934	0.006220106	0.01348627	0.02227404	0.00803729
0.01714633	-0.02230946	-0.01038596	-0.01038596	0.007060103	-0.00419763	-0.007817422	-0.007465569
-0.04818347	-0.03537725	-0.02085127	-0.02085127	-0.0349266	-0.01570675	-0.01770825	-0.01169342
0.006164636	0.01729288	0.01819569	0.01819569	-0.02882505	-0.002714689	-0.01129287	-0.01036616
0.01990822	0.0223476	0.0277545	0.0277545	0.02020077	0.03009317	-0.0002248293	0.02958737
0.06514331	-0.02313797	0.008681042	0.008681042	-0.03620428	-0.03383347	-0.01448867	-0.03039589
-0.02868914	0.007669807	0.001653411	0.001653411	-0.01227912	0.01083867	-0.02002033	0.008879304
0.01438999	0.04457397	0.05751698	0.05751698	0.04029521	0.03919392	0.02555675	0.03899631
0.02037487	-0.03719782	-0.02328822	-0.02328822	0.001699501	-0.01392812	-0.02389663	-0.001543722
0.05209304	-0.02143477	-0.01757505	-0.01757505	0.005492315	-0.03396499	-0.02525369	-0.008481981
0.02584708	-0.02211047	-0.006768299	-0.006768299	-0.03219099	-0.01979767	0.05159536	-0.009918618
-0.01337888	-0.01732177	-0.01496906	-0.01496906	-0.05809708	-0.03055031	-0.06751749	-0.0287304
-0.03926831	0.007489711	0.007397278	0.007397278	0.04260201	0.005150227	0.01350118	0.01128649
-0.008142103	-0.009123272	-0.01818934	-0.01818934	0.002459132	-0.004241571	0.007191507	-0.0199089
0.03094033	0.0009737587	0.004607179	0.004607179	0.006540487	-0.0004892136	-0.06216938	0.02419767
0.00668681	0.0003224973	-0.004439935	-0.004439935	-0.0002652056	-0.008868316	0.01621262	-0.005179316
-0.06599375	-0.03572369	-0.03428978	-0.03428978	-0.02604092	-0.03583726	-0.03025517	-0.035872
-0.03081394	-0.01941971	0.00327967	0.00327967	-0.03244006	-0.02550962	-0.03231579	-0.01912074
0.0861237	-0.01250839	-0.01543097	-0.01543097	-0.03147095	-0.0213892	-0.02921008	-0.01932637
0.02486449	0.0172564	0.02200865	0.02200865	0.00793851	0.01401127	0.04920272	0.007291886
-0.01853496	-0.01600683	-0.02696506	-0.02696506	-0.05152417	-0.04692709	-0.06798153	-0.05887753
-0.007723139	-0.01723216	-0.005043278	-0.005043278	0.01902699	0.01052322	-0.001040471	-0.0004930639
0.01689367	-0.02397222	-0.01673401	-0.01673401	-0.02406426	-0.02321987	-0.008555531	-0.03164706
0.02108268	0.009032249	0.009227016	0.009227016	0.01555448	0.007722977	-0.02243082	0.009227934
-0.01085174	0.02437728	0.02274115	0.02274115	0.02786604	0.02387648	0.04940673	0.02482412
-0.004968079	0.03306494	0.02819843	0.02819843	0.06518251	0.0381061	0.08344443	0.03905795
-0.05845062	-0.02821195	-0.03530564	-0.03530564	-0.02996603	-0.0357506	-0.01678657	-0.03718931
-0.02908453	0.02928914	0.01954665	0.01954665	0.04749031	0.02586689	0.04417157	0.03753728
-0.02898519	-0.01296273	-0.005162483	-0.005162483	2.32662e-05	-0.004850799	0.01239317	-0.003288191
-0.06659378	0.00224617	0.004478217	0.004478217	-0.00162465	0.02616423	-0.003393245	0.01682156
-0.07659994	-0.004533057	-0.01827073	-0.01827073	-0.0302687	-0.0008153068	0.009139827	0.01625424
-0.03130992	0.03494076	0.01867429	0.01867429	-0.01589418	0.01459129	-0.008044636	0.006704802
-0.0147014	0.001254982	0.02034656	0.02034656	-0.006953417	0.01322642	-0.009591668	0.014166
0.02653592	0.009758046	0.02504886	0.02504886	-0.007879969	0.01309991	-0.01479276	-0.003112566
0.02004713	0.03224221	-0.01468037	-0.01468037	-0.01462997	-0.004122964	-0.01403662	-0.003039837
-0.02218818	-0.01271308	0.002667946	0.002667946	-0.00824599	-0.008234314	-0.04996942	-0.01712851
0.03388859	-0.001227719	0.005488482	0.005488482	0.01244424	0.004852564	0.02957914	0.01001149
0.003654794	0.02637527	0.01827857	0.01827857	0.03913738	0.01526978	-0.009411615	0.01253533
0.1152513	0.006596148	-0.01308181	-0.01308181	-0.006383628	0.0009794094	0.0009479018	0.006926191
-0.03848346	-0.04904812	-0.03543037	-0.03543037	-0.01360225	-0.02047366	-0.02314525	-0.01726138
0.0805346	-0.03357484	-0.02790735	-0.02790735	-0.04677713	-0.02077642	-0.0140207	-0.03365249
-0.03671325	0.0423182	0.03403875	0.03403875	0.03459307	0.04248448	-0.003708547	0.04031895
0.0471836	-0.004335531	-0.02048184	-0.02048184	-0.003524818	-0.006097643	-0.00111972	-0.007099324
0.03240472	-0.03155546	-0.01725247	-0.01725247	-0.02082708	-0.03808149	-0.0726635	-0.04020886
0.001660936	-0.004221791	-0.005963446	-0.005963446	0.02575136	-0.01778489	0.01612802	-0.01658029
-0.001606011	0.01036513	0.005218478	0.005218478	0.01219247	0.02480683	-0.022408	0.003148889
0.02221452	0.03237908	0.0311936	0.0311936	0.04940311	0.03504577	0.05228156	0.03835093
-0.1092698	-0.05426395	-0.0327607	-0.0327607	-0.04452366	-0.05384912	-0.0089119	-0.04382641
-0.03201135	0.02068181	0.02826784	0.02826784	0.01617027	-0.001776725	0.04466611	0.0001200471
0.04017184	-0.04201022	-0.04692114	-0.04692114	-0.02520215	-0.04166486	-0.06532728	-0.04784358
0.01856535	0.05081806	0.02626831	0.02626831	0.03570448	0.04372123	0.04888692	0.03776818
0.001036595	-0.03273851	-0.01938552	-0.01938552	0.01550293	0.01913333	0.04131929	0.02618324
-0.01195107	-0.001459748	0.02569071	0.02569071	-0.02166658	0.005725582	-0.01719775	-0.00140452
-0.0109884	0.0184641	0.01200913	0.01200913	0.01134414	0.007993769	-0.006155572	0.01795981
0.05903651	0.01356946	-0.003664544	-0.003664544	0.01121945	-0.005856971	0.01371649	-0.01044652
0.009200267	0.02621201	0.005884462	0.005884462	0.0132822	0.005444794	0.0076981	0.01838549
-0.01080566	-0.01515548	0.0008594813	0.0008594813	0.02231223	0.01645231	0.02612159	0.0363069
-0.04257979	-0.01723157	-0.01935398	-0.01935398	-0.01387282	-0.001603522	-0.02171064	-0.006831588
0.04516592	0.003377237	-0.005373238	-0.005373238	0.02153663	-0.001894591	0.02087976	0.006604223
-0.0740506	0.004447233	0.007332022	0.007332022	-0.02709228	-0.02141076	-0.01240401	-0.02267786
-0.07398127	-0.06128109	-0.05435281	-0.05435281	-0.04990298	-0.06788537	-0.1177966	-0.06769181
0.01134484	-0.004607934	0.006685709	0.006685709	0.009489155	0.00644825	-0.0438953	-0.001403057
0.01617703	-0.04706859	-0.04166808	-0.04166808	-0.04256418	-0.05518952	-0.01710692	-0.06631063
0.03560609	-0.02369315	-0.001616186	-0.001616186	0.001359778	-0.01702806	0.01561827	-0.001959494
0.005427388	-0.02306976	-0.02423426	-0.02423426	-0.01277539	-0.007573349	-0.06119032	-0.008682439
-0.04585642	0.009790593	0.01646913	0.01646913	0.03369251	0.002541221	0.001560288	0.002132539
0.007178549	-0.02765271	-0.02854919	-0.02854919	-0.0185541	-0.02720372	-0.05075564	-0.04409192
0.05480715	-0.04703248	-0.0214925	-0.0214925	-0.04354718	-0.02794354	-0.0135647	-0.03285042
-0.07309262	0.03200135	0.03002607	0.03002607	0.04911539	0.03979142	0.04533949	0.0407646
0.1365754	0.0460026	0.05331976	0.05331976	0.07593147	0.05636433	0.06137046	0.04886254
-0.05231695	0.0005428789	-0.003618575	-0.003618575	0.01764121	0.02167589	0.0346015	0.0337295
-0.006905106	-0.02247207	-0.004472142	-0.004472142	-0.03706414	-0.03147086	0.02437175	-0.03941638
0.01590294	0.01375293	0.01322031	0.01322031	-0.02457932	-0.0113743	0.01863149	-0.01072741
-0.07368685	-0.01098296	-0.02050903	-0.02050903	-0.02336574	-0.0207847	-0.0291652	-0.03328436
-0.03905291	-0.01920324	0.01086189	0.01086189	-0.001481178	-0.004430133	-0.006780073	-0.00672587
-0.01408242	-0.03331824	-0.01678694	-0.01678694	-0.00529611	-0.0173399	0.002276669	-0.01972213
0.0008764142	-0.004198359	-0.01422989	-0.01422989	-0.01950227	-0.01221775	0.02724511	-0.01134532
0.0143747	0.009263454	0.02876929	0.02876929	0.05418586	0.03381966	0.01572457	0.04200419
-0.004159486	0.03030983	0.02201812	0.02201812	0.03154548	0.05851913	0.02645379	0.04765303
0.08915746	0.006974927	0.01072232	0.01072232	0.03680035	0.03124944	-0.01490248	0.02331325
-0.03745174	0.0395779	0.02535039	0.02535039	0.05770858	0.06161223	0.03788678	0.04206979
-0.01612597	-0.02265203	-0.007899273	-0.007899273	-0.009571918	-0.02776855	-0.01291004	-0.01505651
-0.04246788	-0.00606134	-0.009021588	-0.009021588	-0.0142116	-0.00437098	-0.008365651	-0.009214938
0.05916699	0.02599747	0.02031271	0.02031271	0.01566916	0.01815718	0.0285032	0.0198001
-0.07188046	-0.05644836	-0.04488606	-0.04488606	-0.04042642	-0.02546095	-0.008975958	-0.02739483
0.008297281	-0.001938928	-0.003974378	-0.003974378	-0.004357572	0.003991392	0.04956389	0.003790685
-0.02229522	-0.01070664	-0.008265117	-0.008265117	0.01608954	-0.001978436	-0.03025332	0.0002764625
0.03880841	0.0136618	0.01479006	0.01479006	0.003922825	0.006276655	0.0320747	0.01485765
-0.06206534	-0.02410151	-0.02812648	-0.02812648	-0.05281947	-0.06185418	-0.0546203	-0.06034133
0.01060494	-0.01973234	-0.01726881	-0.01726881	-0.005135612	-0.006220076	0.01591015	-0.004567228
0.04251683	-0.01437117	-0.01146986	-0.01146986	-0.01492761	-0.02051333	-0.01567386	-0.01868662
-0.07176315	0.007286449	-0.002316722	-0.002316722	0.004008878	0.0152101	-0.008658649	0.007924394
0.05970113	-0.00927544	0.001878407	0.001878407	0.006732744	0.008801542	0.006421147	0.001115862
-0.06783166	-0.005422408	-0.0329815	-0.0329815	-0.02865447	-0.0175981	-0.05986507	-0.02559552
-0.05826682	-0.01719	-0.02324013	-0.02324013	-0.02511884	-0.02881048	-0.01943048	-0.0284517
0.04252692	0.03368751	0.02567874	0.02567874	0.01416862	0.04886298	-0.009945943	0.02037424
0.07342626	0.05807737	0.04318114	0.04318114	0.05054546	0.03908927	0.01760371	0.03311504
-0.02924899	-0.01809754	-0.02428255	-0.02428255	-0.05119277	-0.03917222	-0.01631401	-0.03917222
-0.01111772	0.01065754	0.01169823	0.01169823	0.06333052	0.04442083	0.04927605	0.03563629
-0.1058482	0.0008430999	-0.007381217	-0.007381217	-0.01954192	0.005372128	0.008564691	0.003397407
0.008652372	-0.01467036	-0.03446487	-0.03446487	-0.03085297	-0.02746762	-0.04451838	-0.0220816
0.03099886	-0.01595867	-0.01257244	-0.01257244	-0.005370333	0.006487103	0.01535124	0.01722474
0.03974057	0.01064551	0.01489157	0.01489157	-0.005854038	0.0002507802	0.02671628	0.01491686
0.01950887	0.004251995	0.007458842	0.007458842	-0.02786989	-0.01743701	0.002013766	-0.01405927
0.06818252	-0.02369005	-0.02328749	-0.02328749	-0.009354536	-0.002362409	0.01044965	-0.002186838
-0.0636562	0.006229752	-0.01131081	-0.01131081	-0.001966932	-0.02128192	0.02413725	-0.01809359
0.004803196	-0.01948995	-0.02766356	-0.02766356	-0.03371233	-0.02056419	-0.0455593	-0.01121042
0.002228631	-0.03649684	-0.01327553	-0.01327553	-0.05280059	-0.0416048	-0.05175128	-0.04473913
-0.01263344	-0.01998746	-0.009589166	-0.009589166	-0.01667522	-0.01418438	-0.03784948	-0.02336364
-0.0520554	0.005034844	0.002342846	0.002342846	-0.01535976	0.01081508	-0.0510754	0.007685562
-0.03422423	-0.005815242	-0.003776295	-0.003776295	-0.02956267	-0.02019684	-0.01043971	-0.006559327
