SRS	ODS	RDS	OPS	ODS_SRS	RDS_SRS	PDS	OPS_SRS
-0.01773472	0.01643271	-0.01447375	-0.01447375	0.009142306	-0.02614215	-0.01382198	-0.02614215
0.04252049	0.01637249	0.01253288	0.01253288	0.02241911	0.02037874	0.04821709	0.01549505
-0.01703296	-0.01498972	-0.03473856	-0.03473856	-0.05012099	-0.03759807	-0.02373786	-0.04658333
-0.03721354	0.008974805	-0.004252089	-0.004252089	-0.01160884	-0.03165631	-0.02464264	-0.01779836
-0.005593988	-0.02473347	-0.004596919	-0.004596919	0.001281058	-0.02201249	-0.04084731	-0.01499445
-0.07748113	0.01612638	-0.01312408	-0.01312408	-0.03315594	0.01965329	-0.05084463	0.03280818
0.05964308	0.01968899	-0.02083908	-0.02083908	-0.02531112	-0.02559114	-0.04394242	-0.02312113
0.05319606	-0.05544206	-0.02394048	-0.02394048	-0.01961501	-0.05433489	-0.06284575	-0.04587863
-0.05433224	-0.04301664	-0.07507735	-0.07507735	-0.05751817	-0.06902517	-0.07441122	-0.06211255
-0.01910015	0.05409733	0.05191221	0.05191221	0.03243277	0.04666259	0.03793311	0.04789945
-0.03065243	0.06422345	0.01956469	0.01956469	0.06977864	0.01779355	0.08236107	0.01954986
-0.007288048	0.00814169	-0.01711784	-0.01711784	0.004858636	-0.03836022	-0.03177536	-0.03836022
-0.02452806	-0.03430787	-0.03198565	-0.03198565	-0.03955553	-0.02915382	-0.05105825	-0.03960422
0.05785309	-0.001099852	-0.006771663	-0.006771663	-0.01355274	-0.004129103	-0.01690154	-0.02209138
0.0334488	0.09593022	0.04199036	0.04199036	0.06706548	0.05226222	0.02600695	0.05357615
0.06374403	-0.02779893	-0.02330231	-0.02330231	-0.01507401	-0.01106032	-0.0153752	-0.01340204
-0.006915119	-0.004779796	0.01079934	0.01079934	-0.01233093	0.01348627	0.02227404	0.00803729
0.01714633	-0.03430984	-0.01038596	-0.01038596	-0.02897487	-0.00419763	-0.007817422	-0.007465569
-0.04818347	-0.03496405	-0.02085127	-0.02085127	-0.02084011	-0.01570675	-0.01770825	-0.01169342
0.006164636	0.01368517	0.01819569	0.01819569	-0.05081266	-0.002714689	-0.01129287	-0.01036616
0.01990822	0.02133634	0.0277545	0.0277545	0.02289481	0.03009317	-0.0002248293	0.02958737
0.06514331	-0.04248464	0.008681042	0.008681042	-0.04492616	-0.03383347	-0.01448867	-0.03039589
-0.02868914	-0.03278743	0.001653411	0.001653411	-0.02493386	0.01083867	-0.02002033	0.008879304
0.01438999	0.07867655	0.05751698	0.05751698	0.05070772	0.03919392	0.02555675	0.03899631
0.02037487	-0.01281688	-0.02328822	-0.02328822	0.02466219	-0.01392812	-0.02389663	-0.001543722
0.05209304	0.01194836	-0.01757505	-0.01757505	-0.01160557	-0.03396499	-0.02525369	-0.008481981
0.02584708	-0.005603137	-0.006768299	-0.006768299	-0.04990806	-0.01979767	0.05159536	-0.009918618
-0.01337888	-0.03920284	-0.01496906	-0.01496906	-0.04945581	-0.03055031	-0.06751749	-0.0287304
-0.03926831	0.05123769	0.007397278	0.007397278	0.05126917	0.005150227	0.01350118	0.01128649
-0.008142103	-0.02649108	-0.01818934	-0.01818934	-0.02509574	-0.004241571	0.007191507	-0.0199089
0.03094033	0.02481292	0.004607179	0.004607179	-0.006530031	-0.0004892136	-0.06216938	0.02419767
0.00668681	-0.008084461	-0.004439935	-0.004439935	0.008733203	-0.008868316	0.01621262	-0.005179316
-0.06599375	-0.06006196	-0.03428978	-0.03428978	-0.02899568	-0.03583726	-0.03025517	-0.035872
-0.03081394	-0.0392065	0.00327967	0.00327967	-0.006500703	-0.02550962	-0.03231579	-0.01912074
0.0861237	-0.01778251	-0.01543097	-0.01543097	-0.04781791	-0.0213892	-0.02921008	-0.01932637
0.02486449	0.05105228	0.02200865	0.02200865	-0.002041095	0.01401127	0.04920272	0.007291886
-0.01853496	-0.001283382	-0.02696506	-0.02696506	-0.05550171	-0.04692709	-0.06798153	-0.05887753
-0.007723139	-0.002606744	-0.005043278	-0.005043278	0.01191096	0.01052322	-0.001040471	-0.0004930639
0.01689367	-0.02356636	-0.01673401	-0.01673401	0.009334631	-0.02321987	-0.008555531	-0.03164706
