tau	beta	gamma	ODS	RDS	OPT	ODS	RDS	PDS	OPT
0	0	0	4.405475	4.403902	4.403902	3.235783	3.238178	2.435567	3.216081
0	0	0.5	3.550974	4.403902	4.403902	2.820388	3.238178	2.435567	3.216081
0	0	1	1.882775	4.403902	4.403902	2.120979	3.238178	2.435567	3.216081
0	0.3	0	2.574942	2.60463	2.60463	2.290134	2.296324	1.925247	2.279141
0	0.3	0.5	2.142827	2.60463	2.60463	2.079108	2.296324	1.925247	2.279141
0	0.3	1	1.37327	2.60463	2.60463	1.742537	2.296324	1.925247	2.279141
0	0.5	0	1.297947	1.297446	1.297446	1.482704	1.487146	1.413963	1.480974
0	0.5	0.5	1.1177	1.297446	1.297446	1.423046	1.487146	1.413963	1.480974
0	0.5	1	0.8532699	1.297446	1.297446	1.321851	1.487146	1.413963	1.480974
-0.7	0	0	4.404443	4.401696	5.071341	3.258353	3.263132	2.515657	3.830266
-0.7	0	0.5	3.546165	4.401696	5.071341	2.830754	3.263132	2.515657	3.830266
-0.7	0	1	1.884361	4.401696	5.071341	2.125237	3.263132	2.515657	3.830266
-0.7	0.3	0	2.476604	2.493372	2.903239	2.141903	2.154839	2.01386	2.346321
-0.7	0.3	0.5	2.080419	2.493372	2.903239	1.933689	2.154839	2.01386	2.346321
-0.7	0.3	1	1.3472	2.493372	2.903239	1.626059	2.154839	2.01386	2.346321
-0.7	0.5	0	1.409643	1.414299	1.649437	1.451658	1.457272	1.412711	1.455735
-0.7	0.5	0.5	1.202832	1.414299	1.649437	1.358997	1.457272	1.412711	1.455735
-0.7	0.5	1	0.8867552	1.414299	1.649437	1.234814	1.457272	1.412711	1.455735
