tau	beta	gamma	SRS	ODS	RDS	OPT	ODS	RDS	PDS	OPT
0	0	0	0.05010467	0.02384368	0.0238336	0.0238336	0.02774714	0.02774148	0.03501674	0.02783337
0	0	0.5	0.05010467	0.02653436	0.0238336	0.0238336	0.02962493	0.02774148	0.03501674	0.02783337
0	0	1	0.05010467	0.03639098	0.0238336	0.0238336	0.03401896	0.02774148	0.03501674	0.02783337
0	0.3	0	0.04799667	0.02287407	0.02283115	0.02283115	0.02660407	0.02657379	0.02980752	0.02666141
0	0.3	0.5	0.04799667	0.0258372	0.02283115	0.02283115	0.02863475	0.02657379	0.02980752	0.02666141
0	0.3	1	0.04799667	0.03529495	0.02283115	0.02283115	0.03271444	0.02657379	0.02980752	0.02666141
0	0.5	0	0.04482148	0.02140424	0.02132125	0.02132125	0.02487882	0.02481627	0.02668718	0.02489856
0	0.5	0.5	0.04482148	0.02413992	0.02132125	0.02132125	0.02674326	0.02481627	0.02668718	0.02489856
0	0.5	1	0.04482148	0.0321271	0.02132125	0.02132125	0.03029645	0.02481627	0.02668718	0.02489856
-0.7	0	0	0.06220172	0.02958446	0.0295721	0.02753446	0.0344338	0.03442613	0.04340372	0.03173449
-0.7	0	0.5	0.06220172	0.03292836	0.0295721	0.02753446	0.03676745	0.03442613	0.04340372	0.03173449
-0.7	0	1	0.06220172	0.04522517	0.0295721	0.02753446	0.04222884	0.03442613	0.04340372	0.03173449
-0.7	0.3	0	0.05999444	0.02833639	0.02828498	0.02641853	0.03289928	0.03286224	0.0327464	0.03044031
-0.7	0.3	0.5	0.05999444	0.03196942	0.02828498	0.02641853	0.03543574	0.03286224	0.0327464	0.03044031
-0.7	0.3	1	0.05999444	0.04362165	0.02828498	0.02641853	0.0406139	0.03286224	0.0327464	0.03044031
-0.7	0.5	0	0.05658218	0.02643198	0.02633315	0.02471738	0.03058166	0.03050457	0.02887309	0.02847384
-0.7	0.5	0.5	0.05658218	0.0296834	0.02633315	0.02471738	0.0328925	0.03050457	0.02887309	0.02847384
-0.7	0.5	1	0.05658218	0.03915535	0.02633315	0.02471738	0.03746119	0.03050457	0.02887309	0.02847384
