tau	beta	gamma	SRS	ODS	RDS	OPT	ODS	RDS	PDS	OPT
0	0	0	-0.0004061818	-0.0003243248	-0.0002976282	-0.0002976282	-0.0003452476	-0.0003921609	-0.0001149311	-0.0003963942
0	0	0.5	-0.0004061818	-0.0001936243	-0.0002976282	-0.0002976282	-0.0004398342	-0.0003921609	-0.0001149311	-0.0003963942
0	0	1	-0.0004061818	9.92091e-05	-0.0002976282	-0.0002976282	-0.0004040693	-0.0003921609	-0.0001149311	-0.0003963942
0	0.3	0	0.000963822	0.002321084	0.002362807	0.002362807	0.002213365	0.002204677	-0.003209982	0.001957476
0	0.3	0.5	0.000963822	0.002872647	0.002362807	0.002362807	0.002074941	0.002204677	-0.003209982	0.001957476
0	0.3	1	0.000963822	0.004083889	0.002362807	0.002362807	0.001853079	0.002204677	-0.003209982	0.001957476
0	0.5	0	0.001593912	0.004725316	0.004710461	0.004710461	0.003273693	0.003164138	0.0003418356	0.003168073
0	0.5	0.5	0.001593912	0.005525685	0.004710461	0.004710461	0.003233861	0.003164138	0.0003418356	0.003168073
0	0.5	1	0.001593912	0.006545159	0.004710461	0.004710461	0.003067441	0.003164138	0.0003418356	0.003168073
-0.7	0	0	-0.0005540439	-0.0003897881	-0.0003683116	-0.0007168899	-0.0005937507	-0.0006509625	-0.0002552675	-0.0005029286
-0.7	0	0.5	-0.0005540439	-0.0003254854	-0.0003683116	-0.0007168899	-0.0006223791	-0.0006509625	-0.0002552675	-0.0005029286
-0.7	0	1	-0.0005540439	0.0002149706	-0.0003683116	-0.0007168899	-0.0005192004	-0.0006509625	-0.0002552675	-0.0005029286
-0.7	0.3	0	0.0001588015	0.002199927	0.00219424	0.001789864	0.002093729	0.002109818	-0.001685312	0.001455083
-0.7	0.3	0.5	0.0001588015	0.002627567	0.00219424	0.001789864	0.002084796	0.002109818	-0.001685312	0.001455083
-0.7	0.3	1	0.0001588015	0.003350558	0.00219424	0.001789864	0.001530082	0.002109818	-0.001685312	0.001455083
-0.7	0.5	0	0.001997937	0.003539934	0.003766095	0.003189177	0.00294162	0.002988622	0.002494303	0.002308365
-0.7	0.5	0.5	0.001997937	0.004616613	0.003766095	0.003189177	0.002945283	0.002988622	0.002494303	0.002308365
-0.7	0.5	1	0.001997937	0.005749875	0.003766095	0.003189177	0.002802193	0.002988622	0.002494303	0.002308365
