tau	beta	gamma	SRS	ODS	RDS	OPT	ODS	RDS	PDS	OPT
0	0	0	0.05091204	0.02425627	0.02426061	0.02426061	0.02830289	0.02829242	0.03262274	0.02838945
0	0	0.5	0.05091204	0.0270176	0.02426061	0.02426061	0.03031559	0.02829242	0.03262274	0.02838945
0	0	1	0.05091204	0.03710405	0.02426061	0.02426061	0.03495846	0.02829242	0.03262274	0.02838945
0	0.3	0	0.04745308	0.029572	0.02940298	0.02940298	0.03135696	0.03131467	0.03419961	0.03143249
0	0.3	0.5	0.04745308	0.03241685	0.02940298	0.02940298	0.03290984	0.03131467	0.03419961	0.03143249
0	0.3	1	0.04745308	0.0404936	0.02940298	0.02940298	0.03594788	0.03131467	0.03419961	0.03143249
0	0.5	0	0.04315681	0.03788095	0.03788825	0.03788825	0.03544232	0.03538935	0.03629361	0.03546301
0	0.5	0.5	0.04315681	0.04082129	0.03788825	0.03788825	0.0361776	0.03538935	0.03629361	0.03546301
0	0.5	1	0.04315681	0.04672035	0.03788825	0.03788825	0.03753687	0.03538935	0.03629361	0.03546301
-0.7	0	0	0.06339234	0.03020587	0.03021529	0.0281498	0.03511864	0.03509291	0.03996788	0.03239085
-0.7	0	0.5	0.06339234	0.03366335	0.03021529	0.0281498	0.03767782	0.03509291	0.03996788	0.03239085
-0.7	0	1	0.06339234	0.04618009	0.03021529	0.0281498	0.04348437	0.03509291	0.03996788	0.03239085
-0.7	0.3	0	0.05483671	0.03484521	0.03472784	0.03218325	0.03746894	0.0373563	0.03864175	0.03579956
-0.7	0.3	0.5	0.05483671	0.03801859	0.03472784	0.03218325	0.03943466	0.0373563	0.03864175	0.03579956
-0.7	0.3	1	0.05483671	0.04724494	0.03472784	0.03218325	0.04300344	0.0373563	0.03864175	0.03579956
-0.7	0.5	0	0.0487719	0.04107855	0.04101087	0.03797536	0.04047973	0.04040168	0.04103392	0.04042301
-0.7	0.5	0.5	0.0487719	0.04447001	0.04101087	0.03797536	0.041837	0.04040168	0.04103392	0.04042301
-0.7	0.5	1	0.0487719	0.05179261	0.04101087	0.03797536	0.04389034	0.04040168	0.04103392	0.04042301
