SRS	ODS	RDS	OPS	ODS_SRS	RDS_SRS	PDS	OPS_SRS
0.3378834	0.2789749	0.2658438	0.2741527	0.259928	0.2661528	0.2639536	0.2506968
0.3120342	0.2929343	0.2857804	0.2815637	0.2988614	0.305957	0.2871442	0.2857686
0.2866326	0.2851996	0.2601982	0.2371547	0.2326695	0.2287627	0.2338283	0.2553036
0.2634197	0.288332	0.2716008	0.2811079	0.2849562	0.2579055	0.2819274	0.2477799
0.2718407	0.2970382	0.3004111	0.2489034	0.2894898	0.2415462	0.1760125	0.2331459
0.2957758	0.3204587	0.339205	0.3298722	0.3132178	0.3332296	0.3165456	0.3039066
0.3494004	0.3228535	0.3331454	0.3313729	0.2978058	0.326413	0.2909364	0.3194379
0.3285362	0.2484706	0.2610051	0.2444006	0.2475096	0.2511066	0.2388755	0.237985
0.2852106	0.2413894	0.2398199	0.2645285	0.197335	0.2136104	0.180316	0.2470647
0.2708241	0.3350062	0.3590164	0.3634019	0.3224949	0.3249999	0.3580078	0.3528311
0.2650979	0.3086967	0.3222157	0.3085732	0.3845988	0.3633131	0.388031	0.341617
0.2675557	0.268361	0.2481931	0.2699357	0.3156848	0.2938938	0.2486966	0.3022372
0.2430156	0.2704417	0.2798901	0.2622127	0.2411268	0.2364231	0.2246755	0.2381232
0.3549439	0.3107985	0.3094469	0.3035423	0.2931842	0.2846028	0.26163	0.2944895
0.2858322	0.3415617	0.3581381	0.34818	0.3577682	0.3385218	0.3527019	0.3447695
0.3391247	0.2394327	0.253626	0.2622583	0.2854516	0.2733171	0.2943106	0.3078951
0.2960224	0.3486029	0.3276579	0.3280901	0.3376972	0.3366271	0.3400772	0.3403623
0.3601502	0.2743053	-999	0.2707725	0.2511739	0.261432	0.2573763	0.2619136
0.246414	0.2692797	0.2679402	0.2897757	0.2766014	0.2713188	0.2752286	0.2689617
0.2943441	0.2845524	0.2891752	0.293492	0.2955563	0.2777762	0.2572838	0.2782327
0.2941825	0.3358177	0.3409196	0.3326801	0.3774846	0.4001595	0.383861	0.3139884
0.3683078	0.2902744	0.294047	0.3345855	0.2816173	0.2817449	0.2349876	0.3115527
0.2625382	0.2910302	0.2654589	0.301115	0.2591647	0.2574351	0.2657437	0.2538528
0.319396	0.3256231	0.3233642	0.3107764	0.3008312	0.2870804	0.2849996	0.2861892
0.3117087	0.2849047	0.3041321	0.2918249	0.3116856	0.3150395	0.3144712	0.2821236
0.293023	0.2749501	0.2682272	0.2808178	0.2884555	0.2822489	0.2514839	0.262906
0.2945177	0.2750139	0.2801726	0.2998213	0.2601517	0.2742555	0.250348	0.2868311
0.3049169	0.2676658	0.2400462	0.2520982	0.2621566	0.290487	0.2204556	0.2626111
0.2628465	0.3178242	0.3338346	0.3454494	0.3688084	0.3502937	0.3471692	0.3265994
0.3341309	0.2886628	0.2740126	0.2783301	0.2611383	0.2544167	0.2536058	0.2492114
0.3159463	0.2741843	0.2783034	0.2731193	0.25231	0.2614408	0.2649782	0.2769392
0.280089	0.2903112	0.292366	0.2976246	0.2867489	0.2878755	0.2802763	0.3098998
0.2264938	0.2815693	0.2712982	0.2851663	0.2437479	0.257465	0.2298566	0.2631641
0.2743853	0.243261	0.2572822	0.2456815	0.2542436	0.2323757	0.2541824	0.2400098
0.361188	0.2392963	0.2478548	0.2584639	0.182009	0.1776045	0.1956881	0.1857881
0.3009052	0.3045241	0.3245004	0.3228229	0.298013	0.3039033	0.2975154	0.2895211
0.2261413	0.2483642	0.2617409	0.2359396	0.2287353	0.232318	0.2332983	0.2235041
0.2950354	0.3016584	0.2909388	0.2917967	0.3056676	0.296513	0.2875679	0.3323571
0.3432061	0.2459113	0.2556635	0.2734716	0.2340211	0.2264476	0.2259812	0.2445779
0.2797775	0.2875214	0.2886518	0.2723219	0.318651	0.3087377	0.3064342	0.2956723
0.2781875	0.3196486	0.3083042	0.3292286	0.2844296	0.2849288	0.2796676	0.2925766
0.2609175	0.35081	0.3655101	0.3291863	0.3579149	0.3330984	0.3247933	0.3219177
0.2052451	0.2462797	0.2368242	0.2628627	0.2202514	0.2450918	0.2235359	0.2642464
0.3085038	0.3676959	0.3611559	0.3527443	0.3720373	0.4128415	0.3940728	0.3750265
0.264973	0.265683	0.302347	0.3031778	0.2968938	0.2939019	0.2917854	0.3169415
0.2007045	0.2788245	0.304518	0.2743831	0.3189771	0.2911265	0.2915868	0.2860002
0.166325	0.2756534	0.2845824	0.2880085	0.3014211	0.2853524	0.3302149	0.3240086
0.2429156	0.3104919	0.3131631	0.2985067	0.2925473	0.3142233	0.2857452	0.2867459
0.3236175	0.3155248	0.3208106	0.3286193	0.3060267	0.3007016	0.2365413	0.3171409
0.3171054	0.3102533	0.2965201	0.3065263	0.28526	0.2818458	0.2881651	0.276517
0.3183609	0.3143707	0.3109773	0.2792143	0.2761907	0.2828336	0.2825994	0.2826117
0.283148	0.2653048	0.2744662	0.3063498	0.3281905	0.322858	0.3134756	0.3551084
0.3335116	0.3068993	0.3116672	0.2932732	0.302864	0.3026644	0.3053701	0.3069531
0.2365311	0.3400273	0.343278	0.3598466	0.3224422	0.3377041	0.3477185	0.3382474
0.4296806	0.299599	0.2674558	0.2826481	0.2991539	0.3109747	0.2666897	0.2908172
0.2435425	0.2655903	0.2632554	0.2846483	0.3039687	0.3041646	0.2903172	0.2930514
0.3937934	0.272585	0.262078	0.2989832	0.2550222	0.2384232	0.1507698	0.2680107
0.2491036	0.3626145	0.3575535	0.3675786	0.3701901	0.3479783	0.3421093	0.3439743
0.3262151	0.2745482	0.2753724	0.2727214	0.3356691	0.3381736	0.3209158	0.3074573
0.3285589	0.2832733	0.2610664	0.2839422	0.2727331	0.2759145	0.2923659	0.2955151
0.3311063	0.2549978	0.2702765	0.298871	0.276146	0.267475	0.2703101	0.2813939
0.3039698	0.3134019	0.3233755	0.2880548	0.3199205	0.3065519	0.2683897	0.304735
0.3120494	0.3242511	0.3518973	0.3404759	0.3396865	0.3221509	0.365403	0.3653425
0.1641197	0.2774754	0.2708238	0.2818103	0.2287337	0.2579722	0.2588864	0.2434916
0.2778314	0.2880834	0.3081159	0.2912861	0.328528	0.3381803	0.3089886	0.3419753
0.3556793	0.2699412	0.2834149	0.2630346	0.2885386	0.2842854	0.2809333	0.314734
0.3304903	0.36526	0.3473819	0.3543908	0.328822	0.339108	0.3343494	0.3119838
