SRS	ODS	RDS	OPS	ODS_SRS	RDS_SRS	PDS	OPS_SRS
0.3378834	0.2667282	0.2658438	0.2741527	0.2658959	0.2661528	0.2639536	0.2506968
0.3120342	0.2854522	0.2857804	0.2815637	0.3058094	0.305957	0.2871442	0.2857686
0.2866326	0.2580585	0.2601982	0.2371547	0.2314031	0.2287627	0.2338283	0.2553036
0.2634197	0.2865014	0.2716008	0.2811079	0.2714693	0.2579055	0.2819274	0.2477799
0.2718407	0.3009723	0.3004111	0.2489034	0.2478093	0.2415462	0.1760125	0.2331459
0.2957758	0.331322	0.339205	0.3298722	0.3320653	0.3332296	0.3165456	0.3039066
0.3494004	0.3221245	0.3331454	0.3313729	0.3211531	0.326413	0.2909364	0.3194379
0.3285362	0.2649111	0.2610051	0.2444006	0.2517028	0.2511066	0.2388755	0.237985
0.2852106	0.2458439	0.2398199	0.2645285	0.2189597	0.2136104	0.180316	0.2470647
0.2708241	0.3591074	0.3590164	0.3634019	0.3211376	0.3249999	0.3580078	0.3528311
0.2650979	0.315968	0.3222157	0.3085732	0.3598974	0.3633131	0.388031	0.341617
0.2675557	0.2482803	0.2481931	0.2699357	0.2995515	0.2938938	0.2486966	0.3022372
0.2430156	0.2778351	0.2798901	0.2622127	0.2403344	0.2364231	0.2246755	0.2381232
0.3549439	0.3115418	0.3094469	0.3035423	0.2863671	0.2846028	0.26163	0.2944895
0.2858322	0.3569031	0.3581381	0.34818	0.3377656	0.3385218	0.3527019	0.3447695
0.3391247	0.2521113	0.253626	0.2622583	0.2617155	0.2733171	0.2943106	0.3078951
0.2960224	0.3208959	0.3276579	0.3280901	0.3420865	0.3366271	0.3400772	0.3403623
0.3601502	0.2679491	-999	0.2707725	0.2534995	0.261432	0.2573763	0.2619136
0.246414	0.2733225	0.2679402	0.2897757	0.2698776	0.2713188	0.2752286	0.2689617
0.2943441	0.2955096	0.2891752	0.293492	0.2834255	0.2777762	0.2572838	0.2782327
0.2941825	0.3348698	0.3409196	0.3326801	0.4082567	0.4001595	0.383861	0.3139884
0.3683078	0.2904698	0.294047	0.3345855	0.2866402	0.2817449	0.2349876	0.3115527
0.2625382	0.2683184	0.2654589	0.301115	0.2573118	0.2574351	0.2657437	0.2538528
0.319396	0.323798	0.3233642	0.3107764	0.2851584	0.2870804	0.2849996	0.2861892
0.3117087	0.3042319	0.3041321	0.2918249	0.3102096	0.3150395	0.3144712	0.2821236
0.293023	0.2685077	0.2682272	0.2808178	0.2812785	0.2822489	0.2514839	0.262906
0.2945177	0.2829867	0.2801726	0.2998213	0.2727275	0.2742555	0.250348	0.2868311
0.3049169	0.2490686	0.2400462	0.2520982	0.2939522	0.290487	0.2204556	0.2626111
0.2628465	0.3367263	0.3338346	0.3454494	0.3425202	0.3502937	0.3471692	0.3265994
0.3341309	0.2819798	0.2740126	0.2783301	0.2605912	0.2544167	0.2536058	0.2492114
0.3159463	0.2791538	0.2783034	0.2731193	0.2530015	0.2614408	0.2649782	0.2769392
0.280089	0.2920016	0.292366	0.2976246	0.2898683	0.2878755	0.2802763	0.3098998
0.2264938	0.2722977	0.2712982	0.2851663	0.257465	0.257465	0.2298566	0.2631641
0.2743853	0.2483548	0.2572822	0.2456815	0.2355539	0.2323757	0.2541824	0.2400098
0.361188	0.2479213	0.2478548	0.2584639	0.1726586	0.1776045	0.1956881	0.1857881
0.3009052	0.3154808	0.3245004	0.3228229	0.30093	0.3039033	0.2975154	0.2895211
0.2261413	0.2515372	0.2617409	0.2359396	0.232307	0.232318	0.2332983	0.2235041
0.2950354	0.291906	0.2909388	0.2917967	0.3057483	0.296513	0.2875679	0.3323571
0.3432061	0.2526456	0.2556635	0.2734716	0.2315473	0.2264476	0.2259812	0.2445779
0.2797775	0.290097	0.2886518	0.2723219	0.3063938	0.3087377	0.3064342	0.2956723
0.2781875	0.3140576	0.3083042	0.3292286	0.277241	0.2849288	0.2796676	0.2925766
0.2609175	0.3588786	0.3655101	0.3291863	0.333657	0.3330984	0.3247933	0.3219177
0.2052451	0.2364316	0.2368242	0.2628627	0.2408421	0.2450918	0.2235359	0.2642464
0.3085038	0.3619783	0.3611559	0.3527443	0.4128342	0.4128415	0.3940728	0.3750265
0.264973	0.3028064	0.302347	0.3031778	0.2940189	0.2939019	0.2917854	0.3169415
0.2007045	0.3024511	0.304518	0.2743831	0.2915621	0.2911265	0.2915868	0.2860002
0.166325	0.287511	0.2845824	0.2880085	0.2852376	0.2853524	0.3302149	0.3240086
0.2429156	0.31073	0.3131631	0.2985067	0.3107885	0.3142233	0.2857452	0.2867459
0.3236175	0.316543	0.3208106	0.3286193	0.2999029	0.3007016	0.2365413	0.3171409
0.3171054	0.301637	0.2965201	0.3065263	0.2863999	0.2818458	0.2881651	0.276517
0.3183609	0.3024156	0.3109773	0.2792143	0.2749413	0.2828336	0.2825994	0.2826117
0.283148	0.2738333	0.2744662	0.3063498	0.3182455	0.322858	0.3134756	0.3551084
0.3335116	0.3037782	0.3116672	0.2932732	0.3067892	0.3026644	0.3053701	0.3069531
0.2365311	0.3435323	0.343278	0.3598466	0.333305	0.3377041	0.3477185	0.3382474
0.4296806	0.2727801	0.2674558	0.2826481	0.3134667	0.3109747	0.2666897	0.2908172
0.2435425	0.2625972	0.2632554	0.2846483	0.2941357	0.3041646	0.2903172	0.2930514
0.3937934	0.2620502	0.262078	0.2989832	0.2449398	0.2384232	0.1507698	0.2680107
0.2491036	0.3586679	0.3575535	0.3675786	0.352398	0.3479783	0.3421093	0.3439743
0.3262151	0.2762306	0.2753724	0.2727214	0.3381736	0.3381736	0.3209158	0.3074573
0.3285589	0.2591469	0.2610664	0.2839422	0.2802243	0.2759145	0.2923659	0.2955151
0.3311063	0.2698788	0.2702765	0.298871	0.2703101	0.267475	0.2703101	0.2813939
0.3039698	0.3194963	0.3233755	0.2880548	0.3133185	0.3065519	0.2683897	0.304735
0.3120494	0.3527479	0.3518973	0.3404759	0.3269921	0.3221509	0.365403	0.3653425
0.1641197	0.2692915	0.2708238	0.2818103	0.2582543	0.2579722	0.2588864	0.2434916
0.2778314	0.3149513	0.3081159	0.2912861	0.3349766	0.3381803	0.3089886	0.3419753
0.3556793	0.2885513	0.2834149	0.2630346	0.283785	0.2842854	0.2809333	0.314734
0.3304903	0.3510416	0.3473819	0.3543908	0.3370523	0.339108	0.3343494	0.3119838
0.3452469	0.3025749	0.2977889	0.3156269	0.3527031	0.3471083	0.327323	0.3472825
0.2365145	0.3220143	0.3208428	0.3137017	0.3102013	0.3122277	0.2172228	0.3133034
0.2367654	0.3353602	0.3381008	0.339509	0.3508781	0.3608857	0.2808579	0.3836203
0.3463894	0.3075664	0.2983769	0.3068695	0.287033	0.2874468	0.3078264	0.293692
0.3573059	0.2992666	0.2988487	0.3207514	0.3185333	0.3176271	0.3084277	0.3390118
0.2805968	0.316288	0.3141585	0.3016961	0.3050639	0.3134886	0.3185763	0.2994722
0.2601003	0.3009206	0.2925513	0.2648602	0.2729822	0.2655595	0.3152537	0.2985054
0.3389741	0.2921224	0.292953	0.3083972	0.3164935	0.3154048	0.3048699	0.2805839
0.1857463	0.2854638	0.2847083	0.2925137	0.2722763	0.2675753	0.277399	0.2684053
0.1558986	0.2240588	0.2224427	0.222903	0.1996383	0.2003804	0.2150224	0.2017798
0.3031131	0.3182724	0.3109999	0.338205	0.3054704	0.2977111	0.3237637	0.3310168
0.2764331	0.265627	0.2730987	0.2387914	0.2440759	0.2331845	0.2141458	0.2360001
0.4090475	0.2935783	0.2904992	0.2903972	0.3018273	0.3060898	0.3102096	0.2869177
0.3616312	0.2563729	0.2559265	0.258436	0.2726349	0.2753157	0.2809012	0.2544381
0.2708652	0.3051774	0.3108869	0.311766	0.2932271	0.2931582	0.2911029	0.2883849
0.3145167	0.262452	0.2630833	0.2819125	0.2361938	0.2322002	0.228571	0.2859281
0.3546879	0.2618667	0.2606421	0.2716658	0.2629166	0.2651223	0.2737393	0.2767548
0.2143658	0.368065	0.3658454	0.3428237	0.3754677	0.3721216	0.3632031	0.3767784
0.460223	0.3602095	0.3559086	0.3233346	0.3755385	0.3745518	0.3806347	0.3474153
0.2366171	0.3341471	0.3335618	0.3366347	0.3186287	0.3196061	0.3569585	0.3428086
0.2833679	0.2789805	0.2864509	0.2800265	0.227333	0.2289514	0.1901404	0.2428811
0.3051336	0.3012778	0.3021826	0.3166011	0.3317637	0.3312821	0.3293088	0.3073252
0.2300009	0.2978001	0.3033216	0.3157093	0.2715077	0.2725688	0.2635929	0.3029605
0.2770061	0.3085253	0.3061515	0.3198625	0.3178735	0.3140399	0.3099485	0.3336101
0.2626002	0.2787357	0.2717671	0.2423073	0.3139509	0.3102533	0.2792891	0.2794634
0.2900221	0.3074226	0.308162	0.3162501	0.3361519	0.3272907	0.3540044	0.3825679
0.3443685	0.3623991	0.3529224	0.3658056	0.3583761	0.356611	0.3693111	0.3295371
0.3294342	0.3402916	0.3449908	0.3121093	0.3463681	0.3446266	0.3460287	0.3564577
0.4095392	0.2966235	0.299579	0.3236272	0.3155657	0.3244027	0.3153387	0.2875522
