SRS	ODS	RDS	OPS	ODS_SRS	RDS_SRS	PDS	OPS_SRS
0.01300366	-0.01785642	-0.02203373	-0.01115132	-0.01208678	-0.0263237	0.03408444	-0.01975775
0.04548041	-0.01570563	0.01514437	0.009720235	0.009691791	0.02368804	0.03037923	0.003501739
-0.03109404	-0.05619349	-0.04964595	-0.04894696	-0.01760563	-0.03575279	-0.0218791	-0.0211082
-0.06989728	0.005802002	-0.002078054	-0.006112255	-0.02773062	-0.03418825	0.03476789	-0.005673923
0.02222197	-0.01918112	-0.01045926	-0.014347	-0.01541089	-0.04109323	-0.01772689	-0.05750524
-0.09533791	0.01386674	-0.01124423	-999	0.03689799	0.04281739	-0.05032437	-0.006492686
0.05403032	-0.01631341	-0.02385083	-0.008889418	-0.02487171	-0.02725086	-0.008536017	-0.004318868
0.07814493	-0.0254198	-0.03773982	-0.03455043	-0.07645871	-0.08022927	-0.1218933	-0.06755996
-0.0550741	-0.09020667	-0.08960207	-0.06143728	-0.08664563	-0.09141817	-0.09292166	-0.07651688
-0.03366671	0.06811453	0.06835192	0.03749734	0.05988805	0.06376171	0.04343167	0.06377732
-0.0281719	0.02384216	0.03195026	0.03192535	0.07112491	0.02616835	0.1011772	0.0459601
0.02587888	-0.006856278	-0.01579279	0.01024166	-0.02658682	-0.03589372	0.0055504	-0.01097133
-0.05697101	-0.0221262	-0.03299594	-0.03412591	-0.06459264	-0.03836217	-0.05396472	-0.0706877
0.05083814	-0.004042453	-0.00857325	-0.01938189	-0.01812856	-0.009923124	-0.08863241	-0.02745029
-0.002007016	0.0428357	0.04185685	0.03196551	0.05849601	0.05426237	-0.05709393	0.06357152
0.07935379	-0.01752917	-0.01810852	-0.01912813	-0.008167671	-0.009438935	-0.03818952	-0.006777382
-0.04319738	0.00720866	0.009384062	0.008522033	0.004102354	0.01235562	-0.03975043	-0.01436065
0.02351377	-0.0297457	-0.003171097	-0.01700068	0.009352082	-0.004745366	0.02175392	0.005977585
-0.008540694	-0.034592	-0.01475101	-0.03819046	-0.04133992	-0.02834246	-0.04407369	-0.009998607
-0.003860855	0.03864981	0.03225004	0.0398936	-0.0140573	0.001576496	0.02906144	0.008501504
0.04343957	0.03297361	0.03894787	0.03622566	0.0319862	0.03347001	0.06225593	0.02555207
0.07980587	0.007547905	0.02205289	0.04793407	-0.03316675	-0.02441388	-4.898944e-05	0.0003526795
-0.02546455	0.02196765	0.01594764	-0.004725239	0.01857156	0.01472587	0.01031359	0.01900334
0.05810869	0.05949243	0.05934071	0.03199619	0.02610859	0.04192506	0.01372657	0.01941358
0.04638905	-0.02687376	-0.02647464	-0.04635276	-0.009110278	-0.0153503	-0.09865089	-0.02902775
0.08240893	-0.01833533	-0.01119362	-0.02427046	-0.02032354	-0.03820129	-0.03554745	-0.01534321
0.06862366	-0.01723892	0.001263696	0.006747329	-0.01926077	-0.0157423	0.05950706	0.01383842
-0.04091485	-0.03668089	-0.02244849	-0.03253778	-0.06647294	-0.05281008	-0.01847072	-0.02014733
-0.03291461	0.002684825	0.006377319	-0.01009508	0.02610523	-0.003683719	0.02063755	0.006621233
-0.03792111	-0.0389718	-0.02415868	-0.01975601	-0.009768143	-0.004523125	-0.07886189	-0.02768397
0.0197136	-0.01117901	-2.448442e-05	-0.003982751	-0.002372408	-0.01023125	-0.02567577	-0.003331056
0.03489949	0.001785718	0.006990506	0.02094751	0.0119438	0.0005181348	-0.02263163	0.0183137
-0.094701	-0.02947281	-0.04167012	-0.04031676	-0.05654103	-0.04530969	-0.04915141	-0.05912456
-0.01110077	-0.02658739	-0.01097453	-0.03563069	-0.03126942	-0.02910534	0.01502685	-0.01820837
