SRS	ODS	RDS	OPS	ODS_SRS	RDS_SRS	PDS	OPS_SRS
0.01300366	-0.02203373	-0.02203373	-0.01115132	-0.02613108	-0.0263237	0.03408444	-0.01975775
0.04548041	0.01587808	0.01514437	0.009720235	0.02208186	0.02368804	0.03037923	0.003501739
-0.03109404	-0.05257352	-0.04964595	-0.04894696	-0.03472111	-0.03575279	-0.0218791	-0.0211082
-0.06989728	-0.001086719	-0.002078054	-0.006112255	-0.03010317	-0.03418825	0.03476789	-0.005673923
0.02222197	-0.009931228	-0.01045926	-0.014347	-0.04211697	-0.04109323	-0.01772689	-0.05750524
-0.09533791	-0.01124423	-0.01124423	-999	0.03793657	0.04281739	-0.05032437	-0.006492686
0.05403032	-0.02077406	-0.02385083	-0.008889418	-0.02583422	-0.02725086	-0.008536017	-0.004318868
0.07814493	-0.0373901	-0.03773982	-0.03455043	-0.07949249	-0.08022927	-0.1218933	-0.06755996
-0.0550741	-0.09021214	-0.08960207	-0.06143728	-0.09019388	-0.09141817	-0.09292166	-0.07651688
-0.03366671	0.06740577	0.06835192	0.03749734	0.0591235	0.06376171	0.04343167	0.06377732
-0.0281719	0.03136114	0.03195026	0.03192535	0.02868295	0.02616835	0.1011772	0.0459601
0.02587888	-0.009951192	-0.01579279	0.01024166	-0.0402109	-0.03589372	0.0055504	-0.01097133
-0.05697101	-0.0334699	-0.03299594	-0.03412591	-0.04183122	-0.03836217	-0.05396472	-0.0706877
0.05083814	-0.01058928	-0.00857325	-0.01938189	-0.01034276	-0.009923124	-0.08863241	-0.02745029
-0.002007016	0.04206578	0.04185685	0.03196551	0.0558548	0.05426237	-0.05709393	0.06357152
0.07935379	-0.01927231	-0.01810852	-0.01912813	-0.009024578	-0.009438935	-0.03818952	-0.006777382
-0.04319738	0.01053971	0.009384062	0.008522033	0.008070343	0.01235562	-0.03975043	-0.01436065
0.02351377	-0.004856166	-0.003171097	-0.01700068	-0.003732583	-0.004745366	0.02175392	0.005977585
-0.008540694	-0.01389151	-0.01475101	-0.03819046	-0.02249051	-0.02834246	-0.04407369	-0.009998607
-0.003860855	0.03077752	0.03225004	0.0398936	0.001688454	0.001576496	0.02906144	0.008501504
0.04343957	0.04584092	0.03894787	0.03622566	0.01916697	0.03347001	0.06225593	0.02555207
0.07980587	0.02122124	0.02205289	0.04793407	-0.02083701	-0.02441388	-4.898944e-05	0.0003526795
-0.02546455	0.008315546	0.01594764	-0.004725239	0.01703272	0.01472587	0.01031359	0.01900334
0.05810869	0.05694312	0.05934071	0.03199619	0.03470574	0.04192506	0.01372657	0.01941358
0.04638905	-0.02553077	-0.02647464	-0.04635276	-0.02031576	-0.0153503	-0.09865089	-0.02902775
0.08240893	-0.01677345	-0.01119362	-0.02427046	-0.03891624	-0.03820129	-0.03554745	-0.01534321
0.06862366	0.0005646522	0.001263696	0.006747329	-0.01197211	-0.0157423	0.05950706	0.01383842
-0.04091485	-0.02459942	-0.02244849	-0.03253778	-0.05717178	-0.05281008	-0.01847072	-0.02014733
-0.03291461	0.004292798	0.006377319	-0.01009508	-0.002815065	-0.003683719	0.02063755	0.006621233
-0.03792111	-0.02143539	-0.02415868	-0.01975601	-0.0004281488	-0.004523125	-0.07886189	-0.02768397
0.0197136	-0.0004578563	-2.448442e-05	-0.003982751	-0.008285354	-0.01023125	-0.02567577	-0.003331056
0.03489949	0.005408245	0.006990506	0.02094751	-0.006071723	0.0005181348	-0.02263163	0.0183137
-0.094701	-0.03927696	-0.04167012	-0.04031676	-0.0457442	-0.04530969	-0.04915141	-0.05912456
-0.01110077	-0.006052067	-0.01097453	-0.03563069	-0.03275967	-0.02910534	0.01502685	-0.01820837
0.09768731	-0.02710716	-0.02608559	-0.0223567	-0.03787251	-0.0364434	-0.03975344	-0.0517164
0.01369842	0.02762807	0.02291093	0.02317074	0.02004762	0.02035774	0.07916982	0.0242524
-0.07196696	-0.05148745	-0.05119481	-0.07270715	-0.0625386	-0.06167457	-0.07867296	-0.09039984
0.0249482	-0.01307454	-0.01219702	0.01722275	0.02082194	0.03134431	0.04663747	0.02997674
0.05592072	-0.01988758	-0.02000539	-0.003386487	-0.03727725	-0.03801052	-0.05186556	-0.03228899
0.03140628	0.009149294	0.01313548	-6.345041e-05	0.0116024	0.006899587	0.01418921	0.003943357
0.03840214	0.02946204	0.02590124	0.04682483	0.03005557	0.02595252	-0.06522238	0.004964957
-0.04229695	0.03128879	0.0291938	0.01551305	0.05276989	0.05505268	0.06990387	0.05495578
-0.06629121	-0.04192079	-0.04294173	-0.02941004	-0.05634107	-0.05411766	-0.07361307	-0.0362555
-0.03239912	0.02558397	0.02276755	0.01756609	0.03114999	0.0303519	0.1292178	0.04881193
-0.05725992	-0.01756515	-0.01580778	-0.02900137	-0.0137202	-0.0161759	-0.007787738	-0.03285232
-0.06465228	0.003838742	0.006172336	0.00443562	0.02367068	0.03201132	0.03192566	0.007417951
-0.1054653	-0.02935118	-0.02820935	-0.03463772	-0.005627917	-0.006798334	0.0756201	-0.01748634
-0.04599074	0.01158808	0.009144956	-0.001084426	0.01355019	0.01355594	0.04238763	-0.01368262
0.05247789	0.02030636	0.01869562	0.01957756	0.01515746	0.01384519	-0.03657895	0.009364891
0.05714126	0.03540371	0.03685077	0.04179979	0.02598384	0.02802635	0.01283303	0.008547456
-0.0005245828	-0.02220173	-0.02298547	-0.01985523	-0.01276448	-0.01344081	-0.0315408	-0.05286985
-0.04928256	-0.0001802774	0.001899214	-0.007068647	0.004900225	0.004924483	0.134601	0.02380543
0.02815507	-0.004335928	0.001476625	-0.003564682	0.008490018	0.004614639	0.009679317	-0.00221394
-0.004566627	0.0244392	0.01159272	-0.0001434745	-0.001747947	0.005547328	0.01891802	0.02032869
0.07863121	-0.02646665	-0.02672748	-0.001139539	-0.007395041	-0.008445221	0.01385815	-0.03393446
-0.07867271	-0.04709716	-0.04927857	-0.03709735	-0.02241472	-0.03174182	0.0005217814	-0.01565742
0.1305774	-0.03494195	-0.03166318	-0.02392112	-0.02086479	-0.01929066	-0.06001159	-0.02769333
-0.05143377	0.04733295	0.04713746	0.04074204	0.06056532	0.06085427	-0.004249856	0.04462007
0.05481016	-0.03234759	-0.02940148	-0.02523044	-0.008536706	-0.005996967	0.005124455	-0.01241206
0.03392539	-0.02241927	-0.02315536	-0.03105714	-0.04087222	-0.0349816	-0.07647608	-0.04571809
0.004150246	-0.01499581	-0.01152633	-0.009849216	-0.02248039	-0.02809522	-0.03186268	-0.02203575
-0.03154183	0.005461042	0.006126344	-0.00930634	0.01490965	0.01243805	0.006421348	0.01436154
0.01064791	0.04046171	0.03780382	0.03940521	0.03422007	0.03672187	0.04038296	0.06460984
-0.1319161	-0.03308328	-0.03495619	-0.03775282	-0.05721598	-0.06483278	-0.02629101	-0.0283911
-0.05066383	0.02686619	0.02932754	0.003384212	-0.004478457	-0.003862221	-0.04477058	0.02526646
0.05721326	-0.05310713	-0.05973005	-0.04955183	-0.03734345	-0.04490981	-0.06913498	-0.04100258
0.01074785	0.03447412	0.03409165	0.06104933	0.05688467	0.05361285	0.05990587	0.02566035
0.02716444	-0.009296649	-0.004427221	0.01159712	0.04563899	0.04396584	-0.02135595	0.06537081
-0.03505166	0.03378107	0.03304939	0.03169067	0.008776617	0.008331414	0.04208357	0.01525872
-0.03828568	0.01459066	0.007539937	0.02165579	0.01980368	0.02096236	-0.04223668	0.02812029
0.06014623	-0.003138684	-0.001915056	0.02228619	-0.01700766	-0.02481425	-0.06954093	0.01409465
0.04116573	0.0110388	0.01092369	0.002621319	0.02995447	0.01896442	-0.02094144	0.0438859
-0.06385761	-0.003493274	-0.002734762	-0.006853079	0.001382449	0.01455628	-0.007401461	-0.01660558
-0.06003974	-0.01747241	-0.01181373	-0.01059903	-0.00463313	0.007225293	-0.02211394	0.01701897
0.04506592	-0.01760211	-0.01700316	-0.02231481	-0.0130819	-0.01310332	0.09613647	0.0006209567
-0.09636414	-0.01173222	-0.003108844	-0.01577213	-0.04286341	-0.04274743	-0.0007563384	-0.02309032
-0.09753622	-0.06460126	-0.0667246	-0.0713214	-0.08929128	-0.08653214	-0.09807166	-0.08568815
