SRS	ODS	RDS	OPS	ODS_SRS	RDS_SRS	PDS	OPS_SRS
0.5439815	0.4792015	0.4745861	0.4745861	0.4556601	0.4468802	0.4521965	0.4468802
0.5079037	0.4803315	0.4819817	0.4819817	0.4950246	0.487815	0.4839041	0.487815
0.5140171	0.4364439	0.4600606	0.4600606	0.468644	0.470324	0.4740471	0.470324
0.4643842	0.5090784	0.4904731	0.4904731	0.4510445	0.4416423	0.4539815	0.4416423
0.4634097	0.4843171	0.433506	0.433506	0.4647778	0.4449702	0.4143534	0.4449702
0.4990519	0.4964065	0.4939393	0.4939393	0.5263898	0.5129134	0.52228	0.5129134
0.5360365	0.5410425	0.5372204	0.5372204	0.4858405	0.4986225	0.4900825	0.4986225
0.5089015	0.4632278	0.4572532	0.4572532	0.4426722	0.4269356	0.4320819	0.4269356
0.4916897	0.4449442	0.4608721	0.4608721	0.4418521	0.4428209	0.4456872	0.4428209
0.4672798	0.5402126	0.5395837	0.5395837	0.5386051	0.5345333	0.5314331	0.5345333
0.4674013	0.4891908	0.5120577	0.5120577	0.5430676	0.5340642	0.5404683	0.5340642
0.4680643	0.4823329	0.4710489	0.4710489	0.5191677	0.5155515	0.5043157	0.5155515
0.4640002	0.4493778	0.4431159	0.4431159	0.4579047	0.4419062	0.4537839	0.4419062
0.5464371	0.5190455	0.5466615	0.5466615	0.4844306	0.4762005	0.4822898	0.4762005
0.5108966	0.5194015	0.5229569	0.5229569	0.5027662	0.5188641	0.5034592	0.5188641
0.5152459	0.4656828	0.4619431	0.4619431	0.5038962	0.5032959	0.5091606	0.5032959
0.5102903	0.5448999	0.506894	0.506894	0.5251528	0.5462718	0.5401385	0.5462718
0.5701945	0.42877	0.4268883	0.4268883	0.5090375	0.494223	0.508623	0.494223
0.4458385	0.4767639	0.4950227	0.4950227	0.4674512	0.4535386	0.4615808	0.4535386
0.5111932	0.5077152	0.5250409	0.5250409	0.4656231	0.4815929	0.4549545	0.4815929
0.5304983	0.5502765	0.5926803	0.5926803	0.5605699	0.5681212	0.5565569	0.5681212
0.5587888	0.5322764	0.532101	0.532101	0.461102	0.4823816	0.4508338	0.4823816
0.4649548	0.4740954	0.5031781	0.5031781	0.4765108	0.4936979	0.4778554	0.4936979
0.5032733	0.5287635	0.5288885	0.5288885	0.4878934	0.4896739	0.4793288	0.4896739
0.5135483	0.5150745	0.5126543	0.5126543	0.5098214	0.4957275	0.5010197	0.4957275
0.4736286	0.4908516	0.4705679	0.4705679	0.4742115	0.4754927	0.4742801	0.4754927
0.5151162	-999	0.454361	0.454361	0.4347834	0.4415737	0.4417621	0.4415737
0.5238566	0.5424202	0.5076818	0.5076818	0.5016548	0.5201827	0.5005537	0.5201827
0.4840468	0.5332948	0.5548195	0.5548195	0.5222553	0.5294288	0.5302431	0.5294288
0.533237	0.4378155	0.4605631	0.4605631	0.4889425	0.4698495	0.4698634	0.4698495
0.5067694	0.4922371	0.4608224	0.4608224	0.4512285	0.4486855	0.4504217	0.4486855
0.4685552	0.437279	0.4610597	0.4610597	0.5124787	0.4981256	0.5248653	0.4981256
0.4941629	0.457867	0.4358133	0.4358133	0.4773439	0.4802478	0.4803191	0.4802478
0.492338	0.4509044	0.4847421	0.4847421	0.4807629	0.4717193	0.4709801	0.4717193
0.5574122	0.433999	0.4436999	0.4436999	0.406067	0.3948016	0.4049082	0.3948016
0.5078087	0.502304	0.525952	0.525952	0.5272724	0.5141521	0.5137152	0.5141521
0.4664487	0.4288909	0.4405423	0.4405423	0.4641295	0.5104044	0.4784145	0.5104044
0.511601	0.4924403	0.4651765	0.4651765	0.5120611	0.5199934	0.5089364	0.5199934
0.5357511	0.4409072	0.4477957	0.4477957	0.4285622	0.420242	0.416602	0.420242
0.5135409	0.5770317	0.5723007	0.5723007	0.5373603	0.5285215	0.5397788	0.5285215
0.4823278	0.4958107	0.5000725	0.5000725	0.4684447	0.453367	0.4630996	0.453367
0.4631958	0.5679748	0.5650266	0.5650266	0.5215868	0.5089654	0.496003	0.5089654
0.4386327	0.4196578	0.4250501	0.4250501	0.4736431	0.4647884	0.4897047	0.4647884
0.4806327	0.5691565	0.5745999	0.5745999	0.5629925	0.5442614	0.5585428	0.5442614
0.4940586	0.4721964	0.4912032	0.4912032	0.5069925	0.5233939	0.5121537	0.5233939
0.4440255	0.4629926	0.4694498	0.4694498	0.5391995	0.5365146	0.5360866	0.5365146
0.4600073	0.4670744	0.4961207	0.4961207	0.4984886	0.4881198	0.5000243	0.4881198
0.5089363	0.4816258	0.5062603	0.5062603	0.4933663	0.5008239	0.5102623	0.5008239
0.4948132	0.5623357	0.5287698	0.5287698	0.4797003	0.4888371	0.4695291	0.4888371
0.5141664	0.4912239	0.4982654	0.4982654	0.5077041	0.4943081	0.5086064	0.4943081
0.5234244	0.4811137	0.4941171	0.4941171	0.4501597	0.4411122	0.4525346	0.4411122
0.4748606	0.5134649	0.5241482	0.5241482	0.5080912	0.5104775	0.5094818	0.5104775
0.5679391	0.4868442	0.5538417	0.5538417	0.4572589	0.4679313	0.4634654	0.4679313
0.4578451	0.5195819	0.5093853	0.5093853	0.5140892	0.5079768	0.5122116	0.5079768
0.5902223	0.5018934	0.4833497	0.4833497	0.4928054	0.4982716	0.4944232	0.4982716
0.456946	0.4623583	0.4985948	0.4985948	0.5012239	0.4872959	0.5109066	0.4872959
0.5713684	0.4963565	0.4932552	0.4932552	0.4385242	0.44438	0.4299533	0.44438
0.4457415	0.5453213	0.5035338	0.5035338	0.5309432	0.5183841	0.5310897	0.5183841
0.5177305	0.5309414	0.537628	0.537628	0.5686089	0.565509	0.5557966	0.565509
0.5058673	0.4400456	0.4628157	0.4628157	0.4895591	0.4813271	0.4884273	0.4813271
0.5051859	0.4942747	0.5000992	0.5000992	0.4768806	0.4714164	0.4700755	0.4714164
0.4803794	0.5045834	0.4992837	0.4992837	0.4730645	0.495226	0.4674152	0.495226
0.5147715	0.5623779	0.560083	0.560083	0.5597493	0.5783426	0.5620763	0.5783426
0.4220268	0.4906652	0.49744	0.49744	0.4489158	0.4537737	0.4594191	0.4537737
0.5153771	0.4955994	0.5225569	0.5225569	0.5440948	0.5501139	0.5163204	0.5501139
0.5205158	0.4618821	0.4899678	0.4899678	0.4791505	0.4780925	0.4713423	0.4780925
0.5102346	0.50476	0.523832	0.523832	0.5010992	0.4990554	0.5023504	0.4990554
0.5287744	0.5158869	0.5320453	0.5320453	0.5088391	0.5075983	0.5059379	0.5075983
0.4702795	0.4959541	0.5167306	0.5167306	0.4837574	0.5087543	0.4765735	0.5087543
0.4818373	0.5209633	0.5349781	0.5349781	0.5465624	0.5488606	0.5462707	0.5488606
0.5199435	0.473541	0.4933483	0.4933483	0.5061227	0.4869082	0.4885011	0.4869082
0.5533521	0.512638	0.5093347	0.5093347	0.5583935	0.5356257	0.4903814	0.5356257
0.5292375	0.5230389	0.5273691	0.5273691	0.5260495	0.4820462	0.4972889	0.4820462
0.4764586	0.4421726	0.4605305	0.4605305	0.5080022	0.4961248	0.5014368	0.4961248
0.5950251	0.4843657	0.471748	0.471748	0.4711472	0.4810619	0.4728768	0.4810619
0.4300602	0.5426627	0.4944732	0.4944732	0.5359705	0.5456609	0.5444494	0.5456609
