SRS	ODS	RDS	OPS	ODS_SRS	RDS_SRS	PDS	OPS_SRS
0.5439815	0.4923742	0.4745861	0.4745861	0.4507046	0.4468802	0.4521965	0.4468802
0.5079037	0.4770144	0.4819817	0.4819817	0.4875768	0.487815	0.4839041	0.487815
0.5140171	0.4608624	0.4600606	0.4600606	0.4745811	0.470324	0.4740471	0.470324
0.4643842	0.5053496	0.4904731	0.4904731	0.4456012	0.4416423	0.4539815	0.4416423
0.4634097	0.4441465	0.433506	0.433506	0.4630085	0.4449702	0.4143534	0.4449702
0.4990519	0.4974384	0.4939393	0.4939393	0.5237395	0.5129134	0.52228	0.5129134
0.5360365	0.5377843	0.5372204	0.5372204	0.4946238	0.4986225	0.4900825	0.4986225
0.5089015	0.4673592	0.4572532	0.4572532	0.434446	0.4269356	0.4320819	0.4269356
0.4916897	0.4680427	0.4608721	0.4608721	0.4422768	0.4428209	0.4456872	0.4428209
0.4672798	0.5289131	0.5395837	0.5395837	0.5368992	0.5345333	0.5314331	0.5345333
0.4674013	0.4879384	0.5120577	0.5120577	0.5312001	0.5340642	0.5404683	0.5340642
0.4680643	0.4761012	0.4710489	0.4710489	0.5151726	0.5155515	0.5043157	0.5155515
0.4640002	0.4556851	0.4431159	0.4431159	0.4488464	0.4419062	0.4537839	0.4419062
0.5464371	0.5415942	0.5466615	0.5466615	0.4761325	0.4762005	0.4822898	0.4762005
0.5108966	0.5148089	0.5229569	0.5229569	0.5156349	0.5188641	0.5034592	0.5188641
0.5152459	0.4801034	0.4619431	0.4619431	0.5083651	0.5032959	0.5091606	0.5032959
0.5102903	0.5102044	0.506894	0.506894	0.5372421	0.5462718	0.5401385	0.5462718
0.5701945	0.4318761	0.4268883	0.4268883	0.4926558	0.494223	0.508623	0.494223
0.4458385	0.4896751	0.4950227	0.4950227	0.4682098	0.4535386	0.4615808	0.4535386
0.5111932	0.5247781	0.5250409	0.5250409	0.4792535	0.4815929	0.4549545	0.4815929
0.5304983	0.5773476	0.5926803	0.5926803	0.5733634	0.5681212	0.5565569	0.5681212
0.5587888	0.5243565	0.532101	0.532101	0.4842472	0.4823816	0.4508338	0.4823816
0.4649548	0.5013775	0.5031781	0.5031781	0.4911038	0.4936979	0.4778554	0.4936979
0.5032733	0.5285356	0.5288885	0.5288885	0.4826936	0.4896739	0.4793288	0.4896739
0.5135483	0.5133339	0.5126543	0.5126543	0.5012002	0.4957275	0.5010197	0.4957275
0.4736286	0.4716761	0.4705679	0.4705679	0.4753731	0.4754927	0.4742801	0.4754927
0.5151162	0.4589768	0.454361	0.454361	0.4477948	0.4415737	0.4417621	0.4415737
0.5238566	0.5151347	0.5076818	0.5076818	0.5100729	0.5201827	0.5005537	0.5201827
0.4840468	0.5552	0.5548195	0.5548195	0.5297094	0.5294288	0.5302431	0.5294288
0.533237	0.4556667	0.4605631	0.4605631	0.4810509	0.4698495	0.4698634	0.4698495
0.5067694	0.4654805	0.4608224	0.4608224	0.4532083	0.4486855	0.4504217	0.4486855
0.4685552	0.4625374	0.4610597	0.4610597	0.4985933	0.4981256	0.5248653	0.4981256
0.4941629	0.4334986	0.4358133	0.4358133	0.4787127	0.4802478	0.4803191	0.4802478
0.492338	0.4910215	0.4847421	0.4847421	0.4753164	0.4717193	0.4709801	0.4717193
0.5574122	0.4359669	0.4436999	0.4436999	0.397461	0.3948016	0.4049082	0.3948016
0.5078087	0.5151278	0.525952	0.525952	0.5136983	0.5141521	0.5137152	0.5141521
0.4664487	0.4414404	0.4405423	0.4405423	0.4825695	0.5104044	0.4784145	0.5104044
0.511601	0.4655036	0.4651765	0.4651765	0.5215421	0.5199934	0.5089364	0.5199934
0.5357511	0.4510469	0.4477957	0.4477957	0.4160952	0.420242	0.416602	0.420242
0.5135409	0.5773425	0.5723007	0.5723007	0.5322679	0.5285215	0.5397788	0.5285215
0.4823278	0.5051774	0.5000725	0.5000725	0.4519703	0.453367	0.4630996	0.453367
0.4631958	0.5873041	0.5650266	0.5650266	0.5116141	0.5089654	0.496003	0.5089654
0.4386327	0.427041	0.4250501	0.4250501	0.4647044	0.4647884	0.4897047	0.4647884
0.4806327	0.5727473	0.5745999	0.5745999	0.5461574	0.5442614	0.5585428	0.5442614
0.4940586	0.4906815	0.4912032	0.4912032	0.5199698	0.5233939	0.5121537	0.5233939
0.4440255	0.4586271	0.4694498	0.4694498	0.5341233	0.5365146	0.5360866	0.5365146
0.4600073	0.4914133	0.4961207	0.4961207	0.4886485	0.4881198	0.5000243	0.4881198
0.5089363	0.4948269	0.5062603	0.5062603	0.5110202	0.5008239	0.5102623	0.5008239
0.4948132	0.5217612	0.5287698	0.5287698	0.4822041	0.4888371	0.4695291	0.4888371
0.5141664	0.4929129	0.4982654	0.4982654	0.4959905	0.4943081	0.5086064	0.4943081
0.5234244	0.4951206	0.4941171	0.4941171	0.4514655	0.4411122	0.4525346	0.4411122
0.4748606	0.5255899	0.5241482	0.5241482	0.5109762	0.5104775	0.5094818	0.5104775
0.5679391	0.5322624	0.5538417	0.5538417	0.4590542	0.4679313	0.4634654	0.4679313
0.4578451	0.509075	0.5093853	0.5093853	0.5088066	0.5079768	0.5122116	0.5079768
0.5902223	0.48504	0.4833497	0.4833497	0.5009613	0.4982716	0.4944232	0.4982716
0.456946	0.4958418	0.4985948	0.4985948	0.4922793	0.4872959	0.5109066	0.4872959
0.5713684	0.495091	0.4932552	0.4932552	0.4490256	0.44438	0.4299533	0.44438
0.4457415	0.5073962	0.5035338	0.5035338	0.5196546	0.5183841	0.5310897	0.5183841
0.5177305	0.5379096	0.537628	0.537628	0.5561694	0.565509	0.5557966	0.565509
0.5058673	0.461202	0.4628157	0.4628157	0.4893757	0.4813271	0.4884273	0.4813271
0.5051859	0.4925231	0.5000992	0.5000992	0.4743125	0.4714164	0.4700755	0.4714164
0.4803794	0.4909289	0.4992837	0.4992837	0.4905817	0.495226	0.4674152	0.495226
0.5147715	0.5512142	0.560083	0.560083	0.5763977	0.5783426	0.5620763	0.5783426
0.4220268	0.5097632	0.49744	0.49744	0.4552901	0.4537737	0.4594191	0.4537737
0.5153771	0.5231564	0.5225569	0.5225569	0.5401098	0.5501139	0.5163204	0.5501139
0.5205158	0.4803996	0.4899678	0.4899678	0.4799706	0.4780925	0.4713423	0.4780925
0.5102346	0.5227828	0.523832	0.523832	0.4996937	0.4990554	0.5023504	0.4990554
0.5287744	0.5314206	0.5320453	0.5320453	0.5136724	0.5075983	0.5059379	0.5075983
0.4702795	0.5243707	0.5167306	0.5167306	0.5052236	0.5087543	0.4765735	0.5087543
0.4818373	0.5368906	0.5349781	0.5349781	0.544178	0.5488606	0.5462707	0.5488606
0.5199435	0.4816333	0.4933483	0.4933483	0.4944003	0.4869082	0.4885011	0.4869082
0.5533521	0.5382605	0.5093347	0.5093347	0.5447033	0.5356257	0.4903814	0.5356257
0.5292375	0.5154874	0.5273691	0.5273691	0.4946285	0.4820462	0.4972889	0.4820462
0.4764586	0.4598295	0.4605305	0.4605305	0.5080767	0.4961248	0.5014368	0.4961248
0.5950251	0.4849389	0.471748	0.471748	0.4895244	0.4810619	0.4728768	0.4810619
0.4300602	0.4980549	0.4944732	0.4944732	0.5397541	0.5456609	0.5444494	0.5456609
0.3994836	0.4197894	0.4172013	0.4172013	0.4535041	0.4618441	0.4527941	0.4618441
0.5060258	0.5300868	0.5262115	0.5262115	0.4886977	0.4919449	0.5062312	0.4919449
0.512114	0.4598459	0.4854706	0.4854706	0.4611098	0.4538629	0.4458729	0.4538629
0.5367123	0.5383664	0.5394331	0.5394331	0.4990252	0.4920277	0.4952736	0.4920277
0.5353733	0.4794445	0.4797755	0.4797755	0.5083265	0.5092993	0.5063184	0.5092993
0.5116881	0.4492643	0.4533306	0.4533306	0.5063881	0.5025731	0.5284504	0.5025731
0.513291	0.4447724	0.4452841	0.4452841	0.4970917	0.4976847	0.4965291	0.4976847
0.5177753	0.4888024	0.4622552	0.4622552	0.4621466	0.4720211	0.4506862	0.4720211
0.4214183	0.5528438	0.5507824	0.5507824	0.5338853	0.534353	0.5375769	0.534353
0.6266967	0.5346672	0.4967337	0.4967337	0.6120376	0.6120092	0.6090078	0.6120092
0.5089262	0.5422491	0.5427493	0.5427493	0.5537109	0.5437944	0.5763819	0.5437944
0.4831843	0.5017185	0.5061131	0.5061131	0.4527532	0.4494826	0.4516334	0.4494826
0.4920748	0.5109481	0.5096686	0.5096686	0.489646	0.4907033	0.4959168	0.4907033
0.4526462	0.5020585	0.50748	0.50748	0.4720321	0.4609626	0.4727338	0.4609626
0.5006602	0.5678474	0.535478	0.535478	0.5281915	0.5331863	0.532726	0.5331863
0.4396134	0.4744636	0.4738952	0.4738952	0.4718767	0.4722042	0.4653456	0.4722042
0.4564383	0.4970358	0.497718	0.497718	0.5198948	0.5176289	0.540369	0.5176289
0.5183575	0.5731036	0.5603618	0.5603618	0.5107898	0.5110955	0.5277343	0.5110955
0.5460432	0.5084099	0.5069452	0.5069452	0.5472031	0.5523829	0.5542192	0.5523829
0.5654332	0.4941743	0.4942856	0.4942856	0.4942557	0.4945379	0.4950364	0.4945379
0.5074943	0.5157312	0.5077831	0.5077831	0.5608595	0.5612709	0.561611	0.5612709
0.47033	0.5120286	0.5037858	0.5037858	0.5033413	0.5066743	0.5011743	0.5066743
0.4914571	0.5097535	0.5122128	0.5122128	0.509025	0.5061685	0.5048579	0.5061685
0.6073009	0.4927775	0.5007158	0.5007158	0.5176976	0.5159608	0.5122431	0.5159608
0.4429883	0.4774866	0.4891585	0.4891585	0.5418298	0.5421584	0.5342953	0.5421584
0.5223385	0.5356998	0.532563	0.532563	0.5581374	0.5604864	0.5675919	0.5604864
0.4551385	0.5498068	0.5489872	0.5489872	0.4785487	0.4770934	0.4811195	0.4770934
0.5022413	0.5325796	0.5569922	0.5569922	0.5731331	0.5732683	0.5668891	0.5732683
0.3943712	0.5025846	0.520607	0.520607	0.510703	0.5036608	0.4803554	0.5036608
0.4826076	0.5201794	0.5223591	0.5223591	0.504811	0.5061175	0.5166764	0.5061175
0.5228728	0.4591159	0.4524463	0.4524463	0.4619809	0.4629661	0.4630695	0.4629661
0.4042684	0.5159623	0.5295954	0.5295954	0.5063843	0.517728	0.5225258	0.517728
0.5571235	0.5364723	0.5397893	0.5397893	0.5548947	0.5560828	0.5554012	0.5560828
0.4131459	0.4598279	0.4710433	0.4710433	0.4944971	0.4985891	0.4986406	0.4985891
0.4264216	0.4571995	0.4471196	0.4471196	0.447371	0.454924	0.4449857	0.454924
0.5189209	0.5719199	0.5718281	0.5718281	0.5145673	0.520664	0.5328574	0.520664
0.576345	0.5300659	0.524526	0.524526	0.5186774	0.5234881	0.5100222	0.5234881
0.4565944	0.5302398	0.5181077	0.5181077	0.4598192	0.460056	0.4608813	0.460056
0.5020698	0.5331641	0.528662	0.528662	0.6108817	0.5895161	0.5990067	0.5895161
0.4548928	0.4678911	0.4691274	0.4691274	0.511458	0.5173734	0.5054167	0.5173734
0.5170115	0.5043522	0.4838475	0.4838475	0.4803372	0.4821374	0.4621556	0.4821374
0.5126823	0.4702198	0.4629241	0.4629241	0.496668	0.4906628	0.4739316	0.4906628
