SRS	ODS	RDS	OPS	ODS_SRS	RDS_SRS	PDS	OPS_SRS
-0.00176798	-0.01342329	-0.01603355	-0.01603355	-0.008877943	-0.01931613	-0.005047738	-0.01931613
0.04434291	-0.009913902	0.01390674	0.01390674	0.01200347	0.01941924	0.0559614	0.01941924
-0.01134313	-0.04172022	-0.03824762	-0.03824762	-0.0169616	-0.02705813	-0.01508517	-0.02705813
-0.04481446	0.0007414653	-0.002786393	-0.002786393	-0.02424848	-0.02705497	0.01773892	-0.02705497
0.01365073	-0.01227243	-0.003127774	-0.003127774	-0.006678437	-0.02728288	0.004543499	-0.02728288
-0.04533106	0.007643577	-0.009613615	-0.009613615	0.02697533	0.03114686	-0.04977652	0.03114686
0.05035381	-0.01576924	-0.01944407	-0.01944407	-0.02003949	-0.02400938	0.0163573	-0.02400938
0.06121456	-0.01967634	-0.02794371	-0.02794371	-0.06045444	-0.06387727	-0.09515433	-0.06387727
-0.06091274	-0.0791305	-0.07616767	-0.07616767	-0.07288944	-0.07590981	-0.07288751	-0.07590981
-0.03035405	0.04920915	0.0483977	0.0483977	0.04937058	0.05192672	0.034808	0.05192672
-0.02059917	0.012725	0.02345992	0.02345992	0.05773097	0.01877385	0.07614985	0.01877385
0.01205754	-0.0174743	-0.02259854	-0.02259854	-0.02775817	-0.03290562	-0.0092567	-0.03290562
-0.0325958	-0.01862593	-0.02794925	-0.02794925	-0.05597411	-0.03007416	-0.04282855	-0.03007416
0.04160546	-0.001581088	-0.005753586	-0.005753586	-0.01605412	-0.01032885	-0.0235398	-0.01032885
-0.009251283	0.03893943	0.03650432	0.03650432	0.0508956	0.04710905	-0.04448547	0.04710905
0.0690308	-0.01999896	-0.02001088	-0.02001088	-0.0119257	-0.01317509	-0.02952996	-0.01317509
-0.03143216	0.00745363	0.008980285	0.008980285	0.00693836	0.00926078	-0.02851351	0.00926078
0.02684553	-0.02526669	-0.002034086	-0.002034086	0.01168798	-0.002865611	0.02200815	-0.002865611
0.0009868137	-0.033642	-0.01866097	-0.01866097	-0.04454894	-0.03218518	-0.05133612	-0.03218518
0.001666115	0.03351444	0.03043301	0.03043301	-0.003798679	0.008318303	0.04484143	0.008318303
0.03606252	0.03071554	0.03617765	0.03617765	0.03154327	0.03798247	0.04957469	0.03798247
0.07001169	0.0001960549	0.01125179	0.01125179	-0.03258373	-0.02378158	-0.003554232	-0.02378158
-0.01968602	0.01658803	0.01327137	0.01327137	0.0155868	0.01505801	0.01026375	0.01505801
0.03804219	0.05444559	0.05427695	0.05427695	0.02832815	0.03835937	-0.03977064	0.03835937
0.03510161	-0.01887262	-0.01831842	-0.01831842	-0.0089483	-0.01119772	-0.07448371	-0.01119772
0.07297417	-0.01815894	-0.01338943	-0.01338943	-0.01925065	-0.03384061	-0.01198356	-0.03384061
0.05517596	-0.01771214	-0.003295636	-0.003295636	-0.02097675	-0.01855095	0.03314709	-0.01855095
-0.03936872	-0.02886766	-0.01651938	-0.01651938	-0.05327127	-0.04154589	0.001217329	-0.04154589
-0.02701954	-0.0002734358	0.004121908	0.004121908	0.01973073	-0.005966948	-0.1078315	-0.005966948
-0.02256603	-0.03142697	-0.02019199	-0.02019199	-0.004917082	-0.004688134	0.003065167	-0.004688134
