SRS	ODS	RDS	OPS	ODS_SRS	RDS_SRS	PDS	OPS_SRS
-0.00176798	-0.01717792	-0.01603355	-0.01603355	0.00879299	-0.01931613	-0.005047738	-0.01931613
0.04434291	-0.01391354	0.01390674	0.01390674	0.008792381	0.01941924	0.0559614	0.01941924
-0.01134313	-0.0326383	-0.03824762	-0.03824762	0.003426604	-0.02705813	-0.01508517	-0.02705813
-0.04481446	-0.002495589	-0.002786393	-0.002786393	0.01015455	-0.02705497	0.01773892	-0.02705497
0.01365073	0.005353396	-0.003127774	-0.003127774	-0.00949203	-0.02728288	0.004543499	-0.02728288
-0.04533106	0.01789225	-0.009613615	-0.009613615	0.01312617	0.03114686	-0.04977652	0.03114686
0.05035381	-0.02785867	-0.01944407	-0.01944407	0.002376878	-0.02400938	0.0163573	-0.02400938
0.06121456	-0.04276432	-0.02794371	-0.02794371	-0.04747078	-0.06387727	-0.09515433	-0.06387727
-0.06091274	-0.07069951	-0.07616767	-0.07616767	-0.05537714	-0.07590981	-0.07288751	-0.07590981
-0.03035405	0.08108783	0.0483977	0.0483977	0.04732828	0.05192672	0.034808	0.05192672
-0.02059917	0.04789328	0.02345992	0.02345992	0.05868438	0.01877385	0.07614985	0.01877385
0.01205754	-0.03370417	-0.02259854	-0.02259854	-0.002726674	-0.03290562	-0.0092567	-0.03290562
-0.0325958	-0.02783696	-0.02794925	-0.02794925	-0.05841314	-0.03007416	-0.04282855	-0.03007416
0.04160546	-0.009124519	-0.005753586	-0.005753586	-0.009357421	-0.01032885	-0.0235398	-0.01032885
-0.009251283	0.0549539	0.03650432	0.03650432	0.05309827	0.04710905	-0.04448547	0.04710905
0.0690308	-0.02705044	-0.02001088	-0.02001088	-0.008889963	-0.01317509	-0.02952996	-0.01317509
-0.03143216	0.002951132	0.008980285	0.008980285	-0.008130776	0.00926078	-0.02851351	0.00926078
0.02684553	-0.03532777	-0.002034086	-0.002034086	0.008994038	-0.002865611	0.02200815	-0.002865611
0.0009868137	-0.04238559	-0.01866097	-0.01866097	-0.03027864	-0.03218518	-0.05133612	-0.03218518
0.001666115	0.02084997	0.03043301	0.03043301	-0.004404999	0.008318303	0.04484143	0.008318303
0.03606252	0.02898959	0.03617765	0.03617765	0.03159064	0.03798247	0.04957469	0.03798247
0.07001169	-0.009158922	0.01125179	0.01125179	-0.03719001	-0.02378158	-0.003554232	-0.02378158
-0.01968602	0.0001179825	0.01327137	0.01327137	0.01443072	0.01505801	0.01026375	0.01505801
0.03804219	0.05047644	0.05427695	0.05427695	0.04295168	0.03835937	-0.03977064	0.03835937
0.03510161	-0.03778082	-0.01831842	-0.01831842	-0.003516159	-0.01119772	-0.07448371	-0.01119772
0.07297417	-0.02375676	-0.01338943	-0.01338943	-0.01472224	-0.03384061	-0.01198356	-0.03384061
0.05517596	-0.008163108	-0.003295636	-0.003295636	-0.02019497	-0.01855095	0.03314709	-0.01855095
-0.03936872	-0.0368817	-0.01651938	-0.01651938	-0.04857908	-0.04154589	0.001217329	-0.04154589
-0.02701954	0.01441635	0.004121908	0.004121908	0.04740021	-0.005966948	-0.1078315	-0.005966948
-0.02256603	-0.03143727	-0.02019199	-0.02019199	-0.002639815	-0.004688134	0.003065167	-0.004688134
0.03001694	0.002453293	0.002805582	0.002805582	0.010694	-0.001332204	0.0007271701	-0.001332204
0.01573405	0.01368944	0.004628941	0.004628941	0.004092542	-0.0002205295	0.03587858	-0.0002205295
-0.08018832	-0.0207509	-0.03342869	-0.03342869	-0.04428603	-0.03748242	0.02311786	-0.03748242
-0.01231205	-0.0327855	-0.006721559	-0.006721559	-0.02972177	-0.02073352	-0.002204341	-0.02073352
0.07976537	-0.0144267	-0.01685951	-0.01685951	-0.03486097	-0.02416709	-0.03699014	-0.02416709
0.02619096	0.01852926	0.02131354	0.02131354	0.01848704	0.0244774	0.0778348	0.0244774
-0.05783852	-0.03645531	-0.03413093	-0.03413093	-0.06065152	-0.04628717	-0.08104582	-0.04628717
0.003742931	-0.01528691	-0.007615201	-0.007615201	0.02746388	0.02249894	0.02989624	0.02249894
0.0431399	-0.04949042	-0.01563329	-0.01563329	-0.02528396	-0.03158938	0.007519825	-0.03158938
0.02560451	0.01705775	0.01365492	0.01365492	0.01855232	0.009015182	0.0003766908	0.009015182
0.01979475	0.0431654	0.02195485	0.02195485	0.02756174	0.02349129	-0.03457952	0.02349129
-0.03735446	0.03905985	0.02360087	0.02360087	0.06466766	0.04499901	0.07758118	0.04499901
-0.05050076	-0.02669594	-0.03746511	-0.03746511	-0.03799596	-0.04218149	-0.04761397	-0.04218149
-0.01358224	0.02143207	0.02142197	0.02142197	0.04969284	0.02858605	0.08419344	0.02858605
-0.05186462	-0.02599388	-0.008802657	-0.008802657	0.006446713	-0.009044386	-0.004656192	-0.009044386
-0.05944546	0.0165646	0.006315886	0.006315886	-0.002703143	0.02642968	0.003047196	0.02642968
-0.07991191	-0.02256603	-0.01896723	-0.01896723	-0.01228072	-0.002857778	0.0605801	-0.002857778
-0.0370498	0.03806845	0.0126246	0.0126246	-0.006482767	0.01596517	0.0009568639	0.01596517
0.01796521	0.01104447	0.01865748	0.01865748	0.01063773	0.01129027	-0.02718511	0.01129027
0.04011173	0.03699877	0.02904898	0.02904898	-0.008809208	0.02262811	-0.001100892	0.02262811
0.01311486	0.02153326	-0.01451892	-0.01451892	-0.02627768	-0.009608434	-0.01381272	-0.009608434
-0.0545066	-0.00556301	-0.003780192	-0.003780192	-0.02294784	-0.004930278	0.05099593	-0.004930278
0.03015054	-0.0005862537	0.002383952	0.002383952	0.03083076	0.002914613	0.01212083	0.002914613
-0.001166854	0.007298882	0.01242647	0.01242647	0.04626301	0.007506424	0.0131623	0.007506424
0.08045106	-0.001966625	-0.01889673	-0.01889673	-0.02493212	-0.005858184	0.0153124	-0.005858184
-0.05863505	-0.03459434	-0.03532379	-0.03532379	-0.01459969	-0.02325605	-0.01026197	-0.02325605
0.1081484	-0.02410859	-0.03310998	-0.03310998	-0.0573465	-0.0213345	-0.06522141	-0.0213345
-0.04074475	0.04348617	0.03726875	0.03726875	0.04062203	0.04521136	-0.05190063	0.04521136
0.04964855	-0.01246388	-0.02603324	-0.02603324	-0.02526724	-0.004613474	-0.005588472	-0.004613474
0.04454403	-0.03294585	-0.01484064	-0.01484064	-0.02614738	-0.02737812	-0.0617923	-0.02737812
-0.006586621	-0.007790975	-0.006837758	-0.006837758	0.01519343	-0.02273453	-0.01199004	-0.02273453
-0.01898948	0.002454839	0.005582797	0.005582797	0.003676608	0.01052658	0.0146747	0.01052658
0.01286458	0.02240047	0.0269122	0.0269122	0.03466429	0.03130318	0.02678953	0.03130318
-0.1127168	-0.05109002	-0.03213809	-0.03213809	-0.04591598	-0.05596004	-0.05392109	-0.05596004
-0.03170997	0.01807453	0.02536767	0.02536767	0.02595967	-0.002405346	-0.01045525	-0.002405346
0.04131189	-0.04163802	-0.04907117	-0.04907117	-0.03129997	-0.03910383	-0.06360444	-0.03910383
0.009918629	0.06194751	0.02497197	0.02497197	0.03344895	0.04068686	0.03258111	0.04068686
-0.001454685	-0.02576405	-0.00959961	-0.00959961	0.02603662	0.02922437	-0.007547722	0.02922437
-0.0252682	0.02198021	0.02342211	0.02342211	-0.004397612	0.005661516	0.04855449	0.005661516
-0.03236933	0.02765724	0.005195232	0.005195232	0.01721768	0.01147746	0.002972156	0.01147746
0.04776822	0.0001414608	-0.006356476	-0.006356476	-0.009986967	-0.02147119	-0.01648754	-0.02147119
0.02740099	0.004672677	0.002519676	0.002519676	-0.005117572	0.003554443	-0.01929842	0.003554443
-0.02444368	-0.008299705	0.001446374	0.001446374	0.008707074	0.01513022	0.002351071	0.01513022
-0.05062586	-0.005335721	-0.01498511	-0.01498511	0.001249015	0.00519721	0.008107771	0.00519721
0.04809713	-0.006643541	-0.01102451	-0.01102451	0.01610794	-0.00496468	0.04538447	-0.00496468
-0.0649978	-0.007088919	-0.0006594614	-0.0006594614	0.0004623553	-0.03265212	0.002940954	-0.03265212
-0.07653803	-0.058228	-0.05096836	-0.05096836	-0.03246672	-0.06888293	-0.07357103	-0.06888293
0.01897985	0.01065608	0.007814352	0.007814352	0.02014495	1.584196e-05	-0.09802817	1.584196e-05
0.01361954	-0.03552564	-0.04084735	-0.04084735	-0.04899036	-0.05251908	-0.06173113	-0.05251908
0.05838673	-0.00535526	-0.006465137	-0.006465137	0.0004999909	-0.01614866	0.03947994	-0.01614866
0.01264166	0.004089956	-0.02052121	-0.02052121	-0.01651698	-0.01010388	-0.03432952	-0.01010388
