tau	beta	gamma	ODS	RDS	OPS	ODS	RDS	PDS	OPS
0	0	0	4.934892	4.939094	4.939094	3.565006	3.559769	2.000765	3.559769
0	0	0.5	4.612016	4.934815	4.934815	3.379181	3.552937	2.002239	3.552937
0	0	1	3.693512	4.937489	4.937489	2.992171	3.55375	1.999218	3.55375
0	0.3	0	2.818071	2.829131	2.829131	2.496245	2.503717	2.009829	2.503717
0	0.3	0.5	2.647475	2.829096	2.829096	2.414695	2.512642	2.018247	2.512642
0	0.3	1	2.260394	2.829574	2.829574	2.224156	2.506961	2.013031	2.506961
0	0.5	0	1.36048	1.359557	1.359557	1.580656	1.574955	1.505796	1.574955
0	0.5	0.5	1.295494	1.356565	1.356565	1.540107	1.568848	1.499324	1.568848
0	0.5	1	1.162235	1.357365	1.357365	1.481	1.571075	1.502352	1.571075
-0.7	0	0	4.922949	4.923281	5.064224	3.566652	3.564887	1.854077	3.789604
-0.7	0	0.5	4.599307	4.920697	5.062417	3.380071	3.560513	1.856194	3.789621
-0.7	0	1	3.694666	4.923182	5.061493	2.991192	3.560012	1.8523	3.788205
-0.7	0.3	0	3.182477	3.211809	3.398392	2.676089	2.67311	1.863863	2.765545
-0.7	0.3	0.5	2.99029	3.202518	3.386767	2.550634	2.666983	1.857383	2.7585
-0.7	0.3	1	2.548836	3.207256	3.392892	2.35607	2.66836	1.861894	2.762084
-0.7	0.5	0	1.820045	1.82305	1.961525	1.86183	1.860058	1.69305	1.851206
-0.7	0.5	0.5	1.72002	1.820321	1.957663	1.808023	1.856681	1.689199	1.848383
-0.7	0.5	1	1.515885	1.821253	1.957243	1.710259	1.857276	1.692028	1.849148
