tau	beta	gamma	SRS	ODS	RDS	OPS	ODS	RDS	PDS	OPS
0	0	0	-0.0005547349	-0.000383155	-0.0004140553	-0.0004140553	-0.0004612696	-0.0004628635	-0.0006234335	-0.0004628635
0	0	0.5	-0.0005077019	-0.0002997206	-0.000398845	-0.000398845	-0.0004807709	-0.0004358935	-0.0006170133	-0.0004358935
0	0	1	-0.0005026454	-0.0003125816	-0.0003942312	-0.0003942312	-0.0004878519	-0.0004481972	-0.0005903287	-0.0004481972
0	0.3	0	-0.0001395394	0.002398875	0.002353299	0.002353299	0.002081281	0.002124098	-0.00431094	0.002124098
0	0.3	0.5	-0.000136717	0.002438849	0.002353656	0.002353656	0.002017464	0.002098669	-0.004335759	0.002098669
0	0.3	1	-0.0001284418	0.002877793	0.002382289	0.002382289	0.001856078	0.00213879	-0.004287641	0.00213879
0	0.5	0	0.002337516	0.004722782	0.004698158	0.004698158	0.003126172	0.003108071	0.000336663	0.003108071
0	0.5	0.5	0.002335235	0.004863588	0.004697218	0.004697218	0.003212827	0.003079301	0.0003227678	0.003079301
0	0.5	1	0.002378302	0.005105608	0.004694239	0.004694239	0.003163442	0.003105352	0.0003279431	0.003105352
-0.7	0	0	-0.0005520919	-0.0003858953	-0.0004269643	-0.000457509	-0.0006076143	-0.0006049127	-0.0009087147	-0.0006147752
-0.7	0	0.5	-0.000508839	-0.0003076751	-0.0004040414	-0.0004310115	-0.0005926451	-0.0005781351	-0.0008800348	-0.0005725642
-0.7	0	1	-0.0005090983	-0.0003291151	-0.0004056733	-0.0004285593	-0.0005305142	-0.0005782732	-0.0008497414	-0.0005881735
-0.7	0.3	0	-0.0004476436	0.002200715	0.002220095	0.001560516	0.002012886	0.002055893	-0.007596478	0.001859907
-0.7	0.3	0.5	-0.0004709126	0.002341621	0.002240331	0.001576477	0.002079392	0.002075747	-0.007586101	0.001876749
-0.7	0.3	1	-0.0004418785	0.002689866	0.002221572	0.001553172	0.001912299	0.0020624	-0.007564982	0.001866998
-0.7	0.5	0	0.003861857	0.003843742	0.004099904	0.003172287	0.002997449	0.002921628	-0.00125084	0.003104063
-0.7	0.5	0.5	0.003901976	0.004397382	0.004168756	0.003193226	0.003132067	0.002951867	-0.001239008	0.003133566
-0.7	0.5	1	0.003881143	0.005022762	0.00412023	0.00317042	0.002987225	0.002913452	-0.001266683	0.003114246
