tau	beta	gamma	SRS	ODS	RDS	OPS	ODS	RDS	PDS	OPS
0	0	0	0.05448578	0.02452699	0.02451656	0.02451656	0.02885712	0.02887834	0.03851989	0.02887834
0	0	0.5	0.0544864	0.0253713	0.02452747	0.02452747	0.02964029	0.02890643	0.03850616	0.02890643
0	0	1	0.05447447	0.02834479	0.02451546	0.02451546	0.03149197	0.02889679	0.0385268	0.02889679
0	0.3	0	0.05022862	0.02992094	0.0298624	0.0298624	0.03179125	0.03174378	0.03543004	0.03174378
0	0.3	0.5	0.05023815	0.03087576	0.02986825	0.02986825	0.03232977	0.03169337	0.03536279	0.03169337
0	0.3	1	0.05024384	0.03341879	0.02986911	0.02986911	0.03368994	0.03173285	0.03541258	0.03173285
0	0.5	0	0.04504289	0.03861714	0.03863026	0.03863026	0.03582676	0.03589155	0.03670651	0.03589155
0	0.5	0.5	0.04496823	0.03950828	0.03860872	0.03860872	0.03623518	0.03590173	0.03672468	0.03590173
0	0.5	1	0.04500764	0.04174834	0.03863117	0.03863117	0.03698356	0.03590771	0.0367198	0.03590771
-0.7	0	0	0.06759388	0.03046455	0.03046352	0.03003661	0.03579126	0.03580012	0.04964134	0.03472246
-0.7	0	0.5	0.06760157	0.03152177	0.03047498	0.03004539	0.03677002	0.03582618	0.04961868	0.03472633
-0.7	0	1	0.06759377	0.03516569	0.03046378	0.03004467	0.0390827	0.03582457	0.04966507	0.03472881
-0.7	0.3	0	0.0623251	0.03493658	0.03477668	0.03380853	0.03809892	0.03812015	0.0456516	0.03747767
-0.7	0.3	0.5	0.06228204	0.03601689	0.03480303	0.0338431	0.03899767	0.03813754	0.04569956	0.03749958
-0.7	0.3	1	0.06232086	0.03903575	0.03479899	0.03383362	0.04060125	0.03815147	0.04567263	0.0374986
-0.7	0.5	0	0.05675939	0.04207234	0.04203766	0.04052666	0.04159754	0.04161736	0.04362172	0.04171674
-0.7	0.5	0.5	0.05674653	0.04326857	0.04205961	0.04055742	0.04220242	0.04164575	0.04366152	0.04173912
-0.7	0.5	1	0.05674344	0.04608744	0.04204656	0.04055956	0.0433895	0.04163681	0.04362263	0.04172822
