snp	beta	se	pvalue	se_aa	se_ea	ods_beta	ods_se	ods_pvalue	rds_beta	rds_se	rds_pvalue	opt_beta	opt_se	opt_pvalue
22:23632636	0.0329901937911161	0.00797001417437395	3.79260827214192e-05	0.618310543143551	0.662593791241863	0.0235812027928083	0.0105374362132097	0.0252308313528002	0.0286862655091904	0.0100042464789238	0.0041384791581851	0.028692136400021	0.0100086479338201	0.00414730769423732
4:153864174	-0.067562797967305	0.0168872805424155	6.80222086205519e-05	0.385870925464193	0.275461688720601	-0.0626863812260119	0.0253380169510894	0.0133607818050109	-0.0865964376990032	0.0243089939498713	0.000367590647027294	-0.0732336841353134	0.0220646906075285	0.00090326119991635
3:151012497	-0.0361190613688107	0.00931379527823448	0.000112546063428041	0.544893089263078	0.560374333820828	-0.0266030693198849	0.0112119833112042	0.0176569095025382	-0.0204261373293668	0.0107824832308733	0.0581743831553579	-0.0196621155711945	0.0107742089435109	0.0680124556523473
22:23632621	0.0336821530788511	0.00876645230999503	0.000130036158783726	0.561886183664317	0.60504565876094	0.0252531264990914	0.0111905639403641	0.0240302865938403	0.0328874388603753	0.0114737151610609	0.00415262851658582	0.0341132649884007	0.0114797254196396	0.00296242887499776
20:1615959	-0.0407614629148406	0.0106293546157558	0.000133932419263561	0.337339460747939	0.529776315908832	-0.0447477655650713	0.013830611344857	0.00121466101441625	-0.0430182583347162	0.0127372696868274	0.000731870112799404	-0.0395625759545929	0.0133116724727545	0.00295846026432456
14:74086415	-0.0556251128981938	0.0149042997446382	0.000201122695303803	0.155503073922633	0.394178396155549	-0.0608139065961573	0.0204692433129776	0.00296841946490867	-0.0552356633080303	0.021350709001812	0.00967974445067821	-0.0621610877857368	0.0193864234223649	0.00134395934425768
15:60653205	0.0455266792170739	0.012371312090495	0.00024630554393721	0.208319303680243	0.469703455921895	0.0348240901124451	0.0159190788977993	0.028700981741462	0.0301478918548619	0.0147675123514594	0.0412010503973703	0.0267554767413286	0.0139689205516472	0.0554469272868457
4:114275942	0.0538146868997341	0.0146961832594162	0.000264242561860418	0.614863123699043	0.209546521425842	0.0836527181957899	0.0232993773362053	0.000330245172859622	0.0751656741974979	0.02001659149288	0.000173224887122236	0.0457841690593812	0.016641005496841	0.00593617521056955
1:160318940	-0.0272850373196486	0.00748401897120846	0.000281025560911868	0.709112012501685	0.687937980859893	-0.0266719321928964	0.0101153799895037	0.00836995195329615	-0.0282783901098586	0.00902595009916732	0.00173023665409366	-0.0257428793800058	0.00905596114693072	0.00447409253056441
10:7318803	0.0285345555072312	0.00786001564757006	0.000298125584571533	0.52460462501178	0.70044181829978	0.0365179567796385	0.0111057987669679	0.00100834398227789	0.0358911389177959	0.0105528475841511	0.000671187845597832	0.0323493824196758	0.0101078801537627	0.0013723119839163
